cytoband	5q35.1	3q26.32	Xq11.2	7q31.2	1q32.1	1q24.1	Xq28	8q24.22	10p14	4q32.1	
				ASB15		DDR2	TMLHE	C8orf33			
				C7orf60		PBX1	SAGE1	ZBTB10			
				CLEC2L		CDK18	PLXNA3	LYNX1			
				C7orf55		PDC	HAUS7	DSCC1			
				IQUB		PDZK1	ZNF280C	DERL1			
				TMEM213		PFDN2	MBNL3	SLC52A2			
				GIMAP8		PFKFB2	BEX1	PLEKHF2			
				CRYGN		PIGC	NXT2	ZFAND1			
				ZNF425		PIGR	NKRF	ZFHX4			
				ZNF746		PIK3C2B	NXF5	GSDMD			
				ATP6V0E2		PI4KB	NXF3	BAALC			
				RBM33		PKLR	NXF2	GRHL2			
				GALNTL5		PKP1	TEX13B	ARHGAP39			
				RNF133		PLA2G4A	TEX13A	ZNF34			
				GIMAP7		PLXNA2	MOSPD1	SLC25A32			
				ZNF467		PRRX1	BEX4	DCSTAMP			
				ZNF800		POU2F1	TCEAL7	SLCO5A1			
				GIMAP1		PPOX	THOC2	SHARPIN			
				C7orf33		PRCC	KIAA1210	SCRT1			
				UBN2		PRELP	PCDH19	CRISPLD1			
				TAS2R39		PRKAB2	RGAG1	TRAPPC9			
				TAS2R40		PSMB4	PDZD4	TATDN1			
				TAS2R41		PSMD4	LRCH2	NCALD			
				CNPY1		PTGS2	RAP2C	MAF1			
				FAM115C		QSOX1	TMEM35	UTP23			
				ZNF775		PTPN7	FAM3A	PARP10			
				ATG9B		PTPRC	BCORL1	C8orf76			
				LSMEM1		PEX19	CXorf56	TIGD5			
				TAS2R60		RAB13	TNMD	NUDCD1			
				BLACE		RBBP5	SPANXC	FAM83A			
				CTAGE6		REN	ARMCX5	PPP1R16A			
				AGBL3		RFX5	UPF3B	LRRCC1			
				OR6V1		RGS1	PRRG3	TSPYL5			
				OR2A12		RGS2	BRCC3	PSKH2			
				OR2A1		RGS4	NKAP	MED30			
				FAM71F2		RGS13	RNF128	ZNF251			
				STRA8		RGS16	MAP7D3	KIFC2			
				WDR86		RIT1	MORC4	TMEM67			
				GSTK1		RNASEL	LONRF3	MTDH			
				RNF148		RNF2	ALG13	CHMP4C			
				FEZF1		RNPEP	TCEAL4	PKHD1L1			
				FAM180A		RORC	TRMT2B	NAPRT1			
				OR2A25		RPS27	ESX1	TBC1D31			
				OR2A5		RXRG	BHLHB9	TP53INP1			
				PRRT4		S100A1	GPR101	MFSD3			
				RAB19		S100A2	CD99L2	MAL2			
				OR2A7		S100A3	H2AFB3	CSMD3			
				OR2A42		S100A4	USP26	RHPN1			
				MIR182		S100A5	TMEM164	FBXO32			
				MIR183		S100A6	PHF6	SLC26A7			
				MIR96		S100A7	FRMPD3	CTHRC1			
				AKR1B15		S100A8	ZMAT1	OSR2			
				CTAGE15		S100A9	RHOXF2	C8orf34			
				OR2A2		S100A10	TMEM185A	TOP1MT			
				LMOD2		S100A11	SLITRK2	ZNF572			
				ARHGEF35		S100A12	BEX2	FAM92A1			
				GIMAP6		S100A13	TCEAL3	NDUFAF6			
				WEE2		XCL1	FATE1	ABRA			
				MIR490		SELE	HS6ST2	LYPD2			
				ZNF862		SELL	FRMD7	TMEM71			
				ACTR3C		SELP	KLHL13	DCAF4L2			
				TMEM229A		SHC1	TCEAL8	RALYL			
				CTAGE4		SLAMF1	CHRDL1	RDH10			
				CTAGE8		SOAT1	CXorf40A	C8orf56			
				SMKR1		UAP1	FAM58A	ANKRD46			
				ZNF783		SPRR1A	RIPPLY1	FAM84B			
				MIR548F4		SPRR1B	MMGT1	C8orf37			
				MTRNR2L6		SPRR2A	SYTL4	VPS13B			
				TMEM178B		SPRR2D	PNMA5	SLC7A13			
				MIR4468		SPRR2E	GPRASP2	FAM91A1			
				MIR5707		SPRR2F	ATG4A	SBSPON			
						SPRR2G	RAB39B	CNBD1			
						SPRR3	SLITRK4	SLC30A8			
						SPTA1	SPANXN3	COL22A1			
						TROVE2	MAGEC3	SNX31			
						SSR2	PASD1	TMEM64			
						XCL2	DCAF12L1	ADCK5			
						CNTN2	PIH1D3	TSNARE1			
						VPS72	MUM1L1	C8orf47			
						THBS3	FAM199X	MAPK15			
						TCHH	GPR112	ATP6V0D2			
						TNNI1	GAB3	REXO1L1			
						TNNT2	PNCK	NSMCE2			
						TNR	ZFP92	ZNF707			
						TPM3	ACTRT1	FAM83H			
						TPR	GPR119	C8orf31			
						CCT3	RBMXL3	ZFP41			
						TUFT1	DOCK11	TRIQK			
						TNFSF4	TCEAL2	DPY19L4			
						USF1	RAB40A	FBXO43			
						DAP3	AMOT	GPIHBP1			
						NPHS2	CSAG1	KLHL38			
						BTG2	FMR1NB	NRBP2			
						HIST2H2AC	ARHGAP36	ZNF517			
						HIST2H2BE	AKAP14	KIAA1875			
						HIST2H4A	RHOXF1	TMEM249			
						PIP5K1A	NKAPP1	RSPO2			
						TAGLN2	H2BFWT	SPATC1			
						ANXA9	FAM122B	CA13			
						DYRK3	FAM122C	XKR9			
						RGS5	ZCCHC12	C8orf87			
						PPFIA4	CXorf61	RBM12B			
						ITGA10	SLC25A43	MROH5			
						BLZF1	NRK	MAFA			
						VAMP4	DDX26B	GDF6			
						PEA15	ZNF449	C8orf59			
						B4GALT3	VMA21	SAMD12			
						B3GALT2	TMEM31	MIR30B			
						ADAM15	CTAG1A	MIR30D			
						PEX11B	CT47A11	LRRC24			
						CREG1	RAB40AL	ZNF704			
						CD84	ATP11C	MROH6			
						RAB7L1	LINC00632	FABP9			
						SELENBP1	H2BFM	FABP12			
						MPZL1	TMSB15B	FER1L6			
						SH2D2A	BEX5	MIR548A3			
						ANGPTL1	TCEAL5	MIR599			
						TBX19	VSIG1	MROH1			
						PRPF3	LHFPL1	FAM203B			
						ARHGEF2	SOWAHD	OC90			
						DEDD	OR13H1	MIR875			
						XPR1	CCDC160	LRRC69			
						MAPKAPK2	CXorf66	MIR1205			
						GPR52	UBE2NL	MIR1207			
						AIM2	ARL13A	PVT1			
						RASAL2	SLC25A53	MIR2053			
						CHD1L	XKRX	MIR1208			
						SOX13	MIR106A	MIR3686			
						PRDX6	MIR19B2	MIR548AA1			
						IKBKE	MIR92A2	MIR3150B			
						PDE4DIP	GLRA4	MIR3610			
						SLC25A44	FAM127C	MIR378D2			
						KIAA0040	CT45A3	MIR4662B			
						NOS1AP	CT45A4	MIR4663			
						ARHGEF11	CT45A5	MIR4664			
						CEP350	SPANXN4	MIR4471			
						SETDB1	H2AFB2	MIR5680			
						ZC3H11A	H2AFB1	MIR5194			
						SMG7	SPANXN2	MIR5708			
						UBAP2L	MIR503HG	MIR5681A			
						SV2A	CT45A6				
						DENND4B	CT45A1				
						RABGAP1L	CXorf40B				
						TMCC2	MIR450A1				
						FAM20B	MIR363				
						KIF14	MIR20B				
						RBM8A	MIR18B				
						NR1I3	MIR450A2				
						SCAMP3	MIR503				
						ARPC5	MIR513A1				
						PRG4	MIR513A2				
						GPA33	MIR506				
						STX6	MIR507				
						SF3B4	MIR508				
						PIAS3	MIR510				
						TIMM17A	MIR514A1				
						LRRN2	MIR514A2				
						HAX1	MIR514A3				
						C1orf61	CT47B1				
						SEMA6C	CT47A7				
						SLC19A2	MIR542				
						POLR3C	CT47A10				
						IVNS1ABP	CT47A9				
						TXNIP	CT47A8				
						PMVK	CT47A6				
						FAM189B	CT47A5				
						NES	CT47A4				
						KDM5B	CT47A3				
						CFHR4	CT47A2				
						CFHR3	CT47A1				
						OCLM	MAGEA9B				
						JTB	NXF2B				
						MTMR11	OPN1MW2				
						SLC27A3	SPANXB1				
						IL24	CT45A2				
						TDRKH	MIR767				
						CD160	MIR450B				
						PMF1	MIR890				
						DUSP12	MIR891B				
						VPS45	MIR888				
						PLEKHA6	MIR892B				
						KIAA0907	MIR891A				
						KIFAP3	MIR892A				
						ATF6	LINC00892				
						KIF21B	HSFX2				
						NMNAT2	CXorf64				
						NFASC	ARMCX4				
						POGZ	SMIM9				
						COLGALT2	SPANXB2				
						RGL1	CMC4				
						SYT11	PNMA6C				
						PRRC2C	MIR513C				
						RPRD2	MIR1912				
						CAMSAP2	MIR1298				
						SMG5	MIR320D2				
						NCSTN	MIR548M				
						CRB1	MIR718				
						GPR161	MIR513B				
						ZNF281	MIR764				
						SNAPIN	MIR2114				
						PHLDA3	MIR514B				
						RUSC1	MIR4330				
						CA14	MIR3672				
						DSTYK	HSFX1				
						CCDC19	TCP11X2				
						LMOD1					
						NBPF14					
						MPC2					
						OLFML2B					
						C1orf43					
						DNM3					
						TOR1AIP1					
						CHTOP					
						LCE2B					
						OPTC					
						OR10J1					
						USP21					
						CACYBP					
						SLC39A1					
						KLHL20					
						LAMTOR2					
						UBE2T					
						TMOD4					
						NME7					
						IL19					
						CERS2					
						CRNN					
						DCAF8					
						F11R					
						GLRX2					
						BOLA1					
						ZBTB7B					
						RRNAD1					
						ADIPOR1					
						APH1A					
						PLEKHO1					
						IER5					
						UCHL5					
						SUCO					
						GPR89B					
						HSD17B7					
						UFC1					
						METTL13					
						OAZ3					
						CYB5R1					
						CD244					
						DPM3					
						MRPS21					
						ADAMTSL4					
						CRCT1					
						SWT1					
						GON4L					
						GPATCH4					
						LAX1					
						DUSP23					
						C1orf27					
						C1orf56					
						RALGPS2					
						MSTO1					
						DARS2					
						GOLPH3L					
						KLHDC8A					
						ETNK2					
						KIRREL					
						YY1AP1					
						YOD1					
						UBE2Q1					
						ITLN1					
						IPO9					
						C1orf106					
						FAM63A					
						ADCY10					
						DCAF6					
						ASH1L					
						LENEP					
						SLC50A1					
						SLAMF8					
						CDC42SE1					
						UBQLN4					
						LHX9					
						RAB25					
						PGLYRP4					
						RHBG					
						SCYL3					
						ATP8B2					
						VANGL2					
						PBXIP1					
						S100A14					
						GATAD2B					
						CGN					
						IGSF9					
						ZNF687					
						HCN3					
						FAM5B					
						CCDC181					
						SLAMF7					
						CADM3					
						PRUNE					
						KLHL12					
						LGR6					
						HAPLN2					
						PAPPA2					
						BCAN					
						TNN					
						MRPS14					
						SEMA4A					
						RFWD2					
						RGS18					
						NUCKS1					
						MRPL9					
						INTS3					
						SCNM1					
						C1orf116					
						FCRL2					
						CDC73					
						MRPL24					
						TNFAIP8L2					
						C1orf54					
						PAQR6					
						TRIM46					
						MROH9					
						TARS2					
						EDEM3					
						FLAD1					
						NPL					
						OR6N2					
						OR6K2					
						CFHR5					
						C1orf21					
						PVRL4					
						SNX27					
						ANP32E					
						SHCBP1L					
						TRMT1L					
						NUAK2					
						ISG20L2					
						FCRL5					
						FCRL4					
						DDX59					
						NUF2					
						RASSF5					
						HMCN1					
						FCAMR					
						TEX35					
						HORMAD1					
						TOMM40L					
						POLR3GL					
						TMEM79					
						ACBD6					
						ZBTB37					
						LCE3D					
						FCRLA					
						PPP1R15B					
						MAEL					
						RGS8					
						SLC45A3					
						NAV1					
						SEC16B					
						AQP10					
						SLAMF9					
						PYGO2					
						IGFN1					
						NUP210L					
						CENPL					
						DUSP27					
						RCSD1					
						MEX3A					
						METTL18					
						GORAB					
						C1orf105					
						TMEM183A					
						PIGM					
						IGSF8					
						LEMD1					
						C1orf85					
						PGLYRP3					
						SLAMF6					
						SLC26A9					
						FCRL1					
						FCRL3					
						FMO9P					
						TSEN15					
						FAM129A					
						TADA1					
						SH2D1B					
						GABPB2					
						TCHHL1					
						RPTN					
						TDRD10					
						SHE					
						KLHDC9					
						AXDND1					
						ATP6V1G3					
						OR10J5					
						DCST2					
						ZNF648					
						TEDDM1					
						ARL8A					
						SYT2					
						GOLT1A					
						UHMK1					
						FCRLB					
						LIX1L					
						TSACC					
						IQGAP3					
						APOA1BP					
						OR10T2					
						OR6P1					
						OR10X1					
						OR10Z1					
						OR6K6					
						OR6N1					
						S100A16					
						NEK7					
						ITLN2					
						CREB3L4					
						C1orf51					
						HFE2					
						ANKRD35					
						FAM163A					
						MFSD4					
						PM20D1					
						NBPF12					
						LELP1					
						RC3H1					
						DCST1					
						METTL11B					
						FAM78B					
						SHISA4					
						BNIPL					
						LRRC71					
						PYHIN1					
						DENND1B					
						TDRD5					
						TOR1AIP2					
						SPRR4					
						PPIAL4A					
						TTC24					
						LCE4A					
						NBPF11					
						KRTCAP2					
						CRTC2					
						TMEM9					
						SLC41A1					
						LCE5A					
						ARHGAP30					
						C1orf192					
						ASPM					
						TIPRL					
						RIIAD1					
						THEM5					
						SLC9C2					
						NBPF16					
						LINC00303					
						ANKRD34A					
						C1orf204					
						HIST2H2AB					
						S100A7A					
						RXFP4					
						FAM5C					
						C1orf110					
						OR10R2					
						FCRL6					
						KCNT2					
						LCE1A					
						LCE1B					
						LCE1C					
						LCE1D					
						LCE1E					
						LCE1F					
						LCE2A					
						LCE2C					
						LCE2D					
						LCE3A					
						LCE3B					
						LCE3C					
						LCE3E					
						RGSL1					
						ZBTB41					
						PEAR1					
						ILDR2					
						NOTCH2NL					
						LYSMD1					
						HRNR					
						FLG2					
						FMO6P					
						LINC00272					
						C1orf53					
						TMEM81					
						VHLL					
						OR10K2					
						OR10K1					
						OR6Y1					
						OR6K3					
						VSIG8					
						C1orf226					
						C1ORF220					
						NBPF9					
						APOBEC4					
						MIR181B1					
						MIR199A2					
						MIR181A1					
						MIR214					
						C1orf132					
						RGS21					
						HIST2H2BF					
						ETV3L					
						LRRC52					
						OR10J3					
						MIR135B					
						KPRP					
						LCE6A					
						HIST2H4B					
						PRR9					
						PPIAL4G					
						PPIAL4D					
						PPIAL4B					
						GPR89A					
						PPIAL4C					
						HIST2H3D					
						FAM72B					
						PCP4L1					
						MIR557					
						MIR92B					
						HIST2H2AA4					
						FAM72D					
						GPR89C					
						MIR190B					
						C1orf68					
						TSTD1					
						C2CD4D					
						NBPF20					
						MIR1295A					
						MIR4257					
						MIR4424					
