gene	Nnon	Nsil	Nflank	nnon	npat	nsite	nsil	nflank	nnei	fMLE	p	score	time	q
ANKRD12	2758865	687563	182966	18	18	17	5	0	17	4.274453e-01	1.787014e-02	4.972195e+01	7.847330e-01	1.664869e-01
MICAL3	2206049	651444	411026	27	24	26	6	3	7	5.869912e-01	1.791996e-02	6.357806e+01	5.698760e-01	1.668659e-01
MEPCE	679476	224606	50120	6	6	5	2	0	20	4.943621e-01	1.794095e-02	2.719865e+01	5.961350e-01	1.669762e-01
RAB3GAP2	1940689	529811	679378	16	16	15	2	0	20	6.892680e-01	1.796931e-02	5.071484e+01	1.008817e+00	1.670190e-01
BAZ2B	2887341	779979	535220	29	24	27	4	0	14	8.016086e-01	1.797045e-02	7.244850e+01	7.127370e-01	1.670190e-01
HLA-A	461380	139540	119028	8	8	8	1	0	20	1.091858e+00	1.797301e-02	3.195178e+01	5.438180e-01	1.670190e-01
KIAA0513	531556	141341	167300	5	5	5	0	0	20	4.202041e-01	1.799061e-02	2.118753e+01	7.211870e-01	1.670975e-01
C12orf74	249465	80509	26796	5	5	4	1	0	20	1.868102e+00	1.806022e-02	2.749892e+01	4.740040e-01	1.676587e-01
SENP2	813000	214503	264376	8	8	6	1	0	20	8.208819e-01	1.807364e-02	3.221175e+01	9.102810e-01	1.676980e-01
MAGEB18	345716	97682	9198	16	15	15	4	0	20	2.844924e+00	1.810178e-02	3.919973e+01	6.218640e-01	1.678738e-01
OR5A2	420589	125549	23058	11	11	9	1	0	20	1.509787e+00	1.812056e-02	3.098171e+01	5.353130e-01	1.679626e-01
TBKBP1	417074	121384	89446	5	5	5	1	0	20	7.275072e-01	1.813630e-02	2.405218e+01	8.347120e-01	1.680206e-01
LCE1C	155979	44477	20384	7	6	7	2	0	18	1.433884e+00	1.814523e-02	1.863374e+01	6.714650e-01	1.680206e-01
SNAP23	294505	75442	116130	3	3	3	0	0	19	3.155431e-01	1.820012e-02	1.366120e+01	6.230790e-01	1.684434e-01
ANKRD30A	1665152	404458	407708	60	56	60	15	0	5	3.821149e+00	1.821705e-02	1.255379e+02	5.748830e-01	1.685146e-01
LRPPRC	1856124	485418	563808	13	13	12	2	0	1	2.728045e-01	1.825166e-02	4.764149e+01	8.090760e-01	1.687493e-01
LMAN2	451243	130700	117264	5	5	5	0	0	20	4.401959e-01	1.826769e-02	2.174485e+01	5.071590e-01	1.687582e-01
HNRNPUL1	1047631	292732	233282	9	9	9	2	0	20	6.679639e-01	1.827112e-02	3.903543e+01	5.458240e-01	1.687582e-01
MARK4	720105	216192	236516	9	9	9	4	2	20	9.100008e-01	1.833461e-02	3.692488e+01	5.075370e-01	1.692476e-01
HAPLN3	441560	137428	60718	8	8	7	4	0	20	8.979321e-01	1.834733e-02	2.708980e+01	7.354950e-01	1.692476e-01
G6PC	474046	137935	84574	7	7	7	4	0	20	7.439282e-01	1.835433e-02	2.356722e+01	5.035790e-01	1.692476e-01
KLK8	404234	111474	76790	10	10	9	2	5	20	1.132280e+00	1.836937e-02	2.847539e+01	6.037810e-01	1.692476e-01
FUNDC2	217066	62409	67200	4	4	4	2	0	20	8.535877e-01	1.837124e-02	1.701318e+01	4.841600e-01	1.692476e-01
PLCXD3	429457	116513	102382	17	16	16	4	0	4	2.171986e+00	1.837975e-02	4.340913e+01	9.683970e-01	1.692476e-01
OSBPL3	1220612	319812	377104	16	16	15	2	0	6	5.121645e-01	1.839834e-02	4.616462e+01	1.576512e+00	1.693334e-01
LY9	918057	273562	187978	16	16	15	4	4	20	1.134997e+00	1.843284e-02	4.384225e+01	6.804110e-01	1.695654e-01
MT4	91206	19705	55356	2	2	2	0	0	20	5.340846e-01	1.847628e-02	1.027527e+01	4.653370e-01	1.698794e-01
C8orf31	176275	53457	57778	4	4	3	2	0	20	1.114546e+00	1.848678e-02	1.844311e+01	5.647230e-01	1.698904e-01
CACNB2	948711	263484	303562	23	21	23	5	1	4	1.225813e+00	1.852758e-02	6.045292e+01	5.587860e-01	1.701796e-01
UBD	219598	62493	37380	6	6	6	0	0	20	1.294517e+00	1.854000e-02	2.058005e+01	8.460090e-01	1.702080e-01
MYLIP	562521	154290	92960	8	8	7	1	0	20	8.891566e-01	1.857095e-02	2.875566e+01	5.522920e-01	1.704065e-01
COTL1	121664	33245	31178	4	4	4	0	0	20	7.136340e-01	1.859507e-02	1.354110e+01	5.374750e-01	1.705420e-01
GPATCH4	640862	167239	153454	8	8	7	0	0	15	5.389372e-01	1.867239e-02	2.496822e+01	5.080940e-01	1.711651e-01
RLIM	811311	238684	58744	15	15	15	0	0	20	9.721913e-01	1.875401e-02	3.786393e+01	1.056163e+00	1.717492e-01
SLC35E3	412172	125549	84742	7	7	6	1	0	20	6.611890e-01	1.875492e-02	2.153281e+01	7.495280e-01	1.717492e-01
SPON2	308129	99707	50834	5	5	4	2	0	20	7.407617e-01	1.877684e-02	2.137315e+01	6.651510e-01	1.718059e-01
FZD10	688798	202369	6188	26	26	25	5	0	20	2.517007e+00	1.877995e-02	6.328978e+01	7.864130e-01	1.718059e-01
SPERT	411186	118286	43652	10	9	10	2	0	20	9.302642e-01	1.881486e-02	2.620708e+01	5.905320e-01	1.720391e-01
TEAD4	589461	163833	175742	7	6	7	1	0	18	4.449532e-01	1.887078e-02	2.339191e+01	1.083040e+00	1.724640e-01
OR52E6	407668	119919	17150	10	9	10	8	0	20	1.817891e+00	1.889314e-02	3.299436e+01	7.037620e-01	1.725819e-01
NPY5R	588982	163833	15680	22	20	22	7	0	20	2.838983e+00	1.892508e-02	5.087243e+01	1.256310e+00	1.727872e-01
CLDN10	388865	118737	83286	7	7	7	1	0	20	7.283999e-01	1.895635e-02	2.228736e+01	6.267720e-01	1.729861e-01
CNTNAP2	1761879	474693	384426	91	77	88	23	0	0	3.838762e+00	1.897192e-02	1.554452e+02	8.207970e-01	1.730417e-01
PTGDS	226802	66011	73318	4	4	4	0	0	20	5.294588e-01	1.901841e-02	1.563039e+01	1.009537e+00	1.733791e-01
SERTAD2	407021	124986	17612	5	5	5	3	0	20	6.905833e-01	1.903989e-02	2.237270e+01	9.030780e-01	1.734883e-01
TLK1	1045743	272520	393386	9	9	9	3	0	14	4.575063e-01	1.907577e-02	3.104748e+01	6.418050e-01	1.736936e-01
NDUFC2	123017	33668	38234	3	3	3	0	0	20	4.713404e-01	1.908146e-02	1.106677e+01	5.490610e-01	1.736936e-01
FN3KRP	401052	112656	94654	6	6	6	2	0	20	6.145535e-01	1.911166e-02	2.159776e+01	4.921860e-01	1.738266e-01
SPEM1	356715	113275	35980	6	6	6	3	0	20	6.349064e-01	1.911511e-02	2.074862e+01	5.708590e-01	1.738266e-01
STOML3	382868	119356	109998	10	10	9	3	0	5	9.719117e-01	1.914244e-02	3.304695e+01	7.109410e-01	1.739496e-01
OR13C8	413214	126084	20510	14	12	14	10	0	20	1.958532e+00	1.915450e-02	3.452791e+01	5.439110e-01	1.739496e-01
COX7A2L	149674	45012	43988	4	4	3	0	0	20	1.099221e+00	1.915724e-02	1.611908e+01	4.796590e-01	1.739496e-01
SNX1	655472	172897	225372	7	7	7	0	0	20	6.918596e-01	1.923473e-02	2.719049e+01	1.057324e+00	1.745664e-01
TGM7	906682	265820	200858	14	13	13	4	0	20	8.128791e-01	1.925990e-02	3.701420e+01	1.044698e+00	1.747080e-01
ANKRD34B	674614	192574	15778	9	9	8	0	0	20	6.122326e-01	1.930978e-02	2.606875e+01	4.858040e-01	1.750734e-01
KYNU	641621	174586	223468	17	14	17	8	0	20	1.404401e+00	1.933056e-02	3.738466e+01	7.002860e-01	1.751384e-01
UBR5	3725962	1055597	884338	31	29	30	3	1	20	6.291528e-01	1.933614e-02	7.148515e+01	9.218820e-01	1.751384e-01
SSFA2	1582338	445417	247562	18	16	17	5	1	19	8.165611e-01	1.944581e-02	4.964062e+01	1.138024e+00	1.760443e-01
FGR	647369	185003	142436	6	6	6	2	0	20	6.112674e-01	1.952228e-02	2.662917e+01	4.905950e-01	1.766490e-01
ADAT3	112345	40085	0	3	3	3	1	0	20	8.456878e-01	1.955290e-02	1.411513e+01	6.860770e-01	1.768384e-01
MUS81	691529	227704	210000	5	5	5	0	0	19	2.955544e-01	1.959830e-02	2.207455e+01	5.995450e-01	1.771612e-01
OR11G2	440182	136781	15848	13	13	13	4	0	20	1.567464e+00	1.960902e-02	3.245372e+01	5.660450e-01	1.771704e-01
ANKRD24	581958	174900	110152	10	10	9	3	0	20	8.005146e-01	1.965863e-02	3.000027e+01	5.618950e-01	1.775308e-01
PHACTR1	693532	199865	424326	9	9	8	3	0	3	8.452770e-01	1.967565e-02	3.837475e+01	9.075180e-01	1.775966e-01
RABGGTB	457775	119919	293006	9	9	9	1	0	9	9.348021e-01	1.969095e-02	2.729811e+01	8.260580e-01	1.776468e-01
BLMH	626168	156542	175140	5	5	5	1	0	19	6.326496e-01	1.977313e-02	2.452634e+01	5.922060e-01	1.782950e-01
ACSM1	779220	221259	275520	10	10	10	10	0	20	9.382707e-01	1.978233e-02	3.601412e+01	8.992860e-01	1.782950e-01
ADAD1	781584	212279	167468	15	15	14	1	0	11	1.405284e+00	1.979894e-02	4.375126e+01	1.060096e+00	1.783566e-01
IL27	265235	91996	65632	7	7	6	3	0	20	7.832921e-01	1.983441e-02	1.917568e+01	7.679520e-01	1.785314e-01
HLTF	1365244	359334	361424	12	10	12	2	0	18	4.568965e-01	1.983791e-02	3.300305e+01	7.102950e-01	1.785314e-01
KCNC2	743754	232858	146104	34	29	32	9	2	5	3.307322e+00	1.990477e-02	7.510350e+01	6.259940e-01	1.790448e-01
LYRM7	87573	22604	43904	2	2	2	0	0	20	6.870543e-01	1.996673e-02	1.021088e+01	4.696400e-01	1.795123e-01
GNB5	489499	134613	174188	7	7	7	0	0	6	2.639583e-01	1.997641e-02	2.634795e+01	6.856160e-01	1.795123e-01
RTP2	295802	79834	33138	11	11	11	3	0	5	9.986842e-01	2.003706e-02	2.687436e+01	8.267970e-01	1.799524e-01
CDR1	354746	88391	19936	15	14	14	2	0	20	3.234448e+00	2.004881e-02	4.194763e+01	7.255300e-01	1.799524e-01
PADI2	808496	228015	218064	11	11	10	3	0	20	6.946224e-01	2.005497e-02	3.257629e+01	5.405100e-01	1.799524e-01
NCF1	219032	59283	54278	3	3	3	1	0	20	5.859193e-01	2.010366e-02	1.554813e+01	7.174040e-01	1.803007e-01
VPREB1	175544	50642	22540	8	6	6	0	0	20	1.038640e+00	2.014222e-02	1.668244e+01	8.991220e-01	1.805578e-01
PSEN1	623325	177345	159726	6	6	6	1	0	20	5.576484e-01	2.026454e-02	2.412499e+01	9.799300e-01	1.815651e-01
NRAS	259599	68686	67760	4	4	3	1	0	20	6.138128e-01	2.028341e-02	1.606556e+01	6.135430e-01	1.815948e-01
PHLDA2	118930	35102	4270	2	2	2	0	0	18	3.454824e-01	2.028776e-02	1.097775e+01	1.034919e+00	1.815948e-01
XPR1	935087	258980	236404	8	8	8	2	0	20	5.452015e-01	2.033661e-02	3.034917e+01	1.125472e+00	1.817221e-01
CENPH	295404	64266	119798	4	4	4	0	0	20	5.314308e-01	2.034296e-02	1.598448e+01	7.437950e-01	1.817221e-01
FAM155B	387602	119104	19390	9	9	9	4	0	14	1.152062e+00	2.034316e-02	2.881468e+01	6.407100e-01	1.817221e-01
KIAA1522	1137154	420592	92036	11	11	10	3	0	20	6.449937e-01	2.034777e-02	3.897177e+01	5.916460e-01	1.817221e-01
DOT1L	1584289	492140	460950	15	14	15	0	0	3	2.612760e-01	2.035176e-02	5.539848e+01	6.096010e-01	1.817221e-01
SLC6A11	782374	220640	227724	11	11	11	3	0	18	9.604958e-01	2.038720e-02	3.609283e+01	7.411370e-01	1.819495e-01
ITLN1	430132	114289	127820	10	10	9	2	0	5	1.023151e+00	2.039765e-02	3.584846e+01	6.236320e-01	1.819538e-01
TRPA1	1531752	389117	402542	49	46	47	14	2	2	3.325690e+00	2.041457e-02	1.196014e+02	9.296040e-01	1.820158e-01
STRN	970668	257882	258720	11	11	11	1	0	20	8.215588e-01	2.044123e-02	3.530277e+01	8.350700e-01	1.821645e-01
BTN3A3	775363	229732	148484	7	7	7	2	0	19	6.527839e-01	2.045951e-02	2.991823e+01	5.325960e-01	1.822384e-01
CEACAM8	456114	143002	95704	7	7	7	2	1	20	7.171841e-01	2.053691e-02	2.314478e+01	6.174410e-01	1.828007e-01
KCNN2	675625	191616	122262	14	14	14	1	0	9	1.751510e+00	2.054267e-02	4.741551e+01	7.723490e-01	1.828007e-01
KRTAP21-2	109757	30402	25158	8	7	8	0	0	20	4.597080e+00	2.057730e-02	2.715625e+01	5.691850e-01	1.830196e-01
ZFP14	733082	173432	64008	12	12	12	2	0	19	9.417113e-01	2.061291e-02	3.279189e+01	2.097939e+00	1.831634e-01
HUWE1	5343021	1575793	1151906	50	44	49	12	0	8	6.491947e-01	2.061353e-02	1.004427e+02	5.331670e-01	1.831634e-01
C1orf101	1096382	291858	270508	14	14	13	2	0	6	6.423727e-01	2.063921e-02	4.284829e+01	6.227560e-01	1.833023e-01
TEX14	2087125	568630	1115366	25	22	25	9	0	2	6.705562e-01	2.066541e-02	6.524255e+01	9.147270e-01	1.833705e-01
DPP10	1102267	282738	421610	33	31	31	6	0	1	2.283518e+00	2.066782e-02	8.583731e+01	8.155440e-01	1.833705e-01
LANCL3	295718	84310	53172	6	5	6	1	0	20	9.150087e-01	2.068594e-02	2.115596e+01	6.616070e-01	1.833705e-01
ZNF566	581663	132896	67844	9	9	7	3	0	20	1.531958e+00	2.068899e-02	3.674714e+01	8.238800e-01	1.833705e-01
POP1	1396296	400293	259588	16	15	16	5	0	20	7.192648e-01	2.069712e-02	4.358523e+01	1.177554e+00	1.833705e-01
DFNA5	656458	197050	149828	9	9	8	3	0	20	9.298402e-01	2.075759e-02	3.122479e+01	5.470250e-01	1.836971e-01
LRP5	2016181	602774	302946	18	18	17	3	0	20	5.988208e-01	2.076853e-02	5.702397e+01	8.637310e-01	1.836971e-01
IL10RB	424530	109785	103320	6	6	6	0	0	20	9.445443e-01	2.077214e-02	2.462047e+01	6.690170e-01	1.836971e-01
TNN	1636025	473878	324100	90	74	84	22	0	0	3.953197e+00	2.077425e-02	1.555956e+02	1.013898e+00	1.836971e-01
TIE1	1361505	429457	319592	14	14	14	16	0	20	7.200947e-01	2.079111e-02	4.567850e+01	9.842140e-01	1.837571e-01
PPIG	1037155	241104	182966	15	13	13	2	1	20	7.249676e-01	2.081212e-02	3.481930e+01	1.283141e+00	1.838538e-01
CCDC141	1198204	302922	196210	25	22	25	4	0	11	1.538331e+00	2.088145e-02	5.801641e+01	9.236020e-01	1.843770e-01
TNNT2	421939	92951	263326	6	6	6	2	0	17	8.812169e-01	2.092147e-02	2.620046e+01	9.429920e-01	1.846411e-01
SERPINB9	506728	141313	106820	6	6	6	2	0	20	4.997687e-01	2.094904e-02	2.126924e+01	8.158180e-01	1.847951e-01
PAX6	579834	167774	156450	11	11	11	5	1	11	1.182501e+00	2.099785e-02	3.620257e+01	6.400800e-01	1.851361e-01
RPL22L1	133098	32458	40908	3	3	2	0	0	15	9.792618e-01	2.101887e-02	1.557399e+01	1.039361e+00	1.852320e-01
TPH2	667774	181877	277480	16	16	16	3	1	3	8.882767e-01	2.105422e-02	4.189377e+01	7.545700e-01	1.853679e-01
TPPP2	227480	61930	45122	4	4	4	1	0	20	8.583713e-01	2.105461e-02	1.805213e+01	6.942110e-01	1.853679e-01
OR9I1	404769	125549	19068	10	8	10	3	0	20	8.688027e-01	2.113484e-02	2.208337e+01	7.289730e-01	1.859845e-01
COLQ	566938	174698	310730	8	8	7	2	0	20	5.073756e-01	2.116846e-02	2.287181e+01	4.892940e-01	1.861906e-01
MOCOS	1122650	324851	231588	11	11	10	1	0	15	8.395877e-01	2.128197e-02	4.113074e+01	6.442650e-01	1.870179e-01
EBP	248566	77019	45122	3	3	3	1	0	20	5.243958e-01	2.128301e-02	1.592578e+01	5.955530e-01	1.870179e-01
MIB1	1302754	359166	362250	13	13	12	1	0	20	6.639268e-01	2.136583e-02	3.903978e+01	7.760270e-01	1.876273e-01
KCTD8	472528	134417	23968	20	19	17	7	0	20	3.071943e+00	2.138180e-02	5.244233e+01	5.754160e-01	1.876273e-01
PRNP	334761	92248	12292	7	7	6	1	0	20	7.151076e-01	2.139225e-02	2.040292e+01	1.776244e+00	1.876273e-01
FGD6	1967234	504476	360444	17	17	16	3	0	20	7.668347e-01	2.139348e-02	5.043536e+01	4.997200e-01	1.876273e-01
SGOL2	1741216	400968	125846	20	19	20	5	0	20	1.019886e+00	2.143207e-02	5.631237e+01	8.526700e-01	1.878755e-01
AOX1	1807821	499381	553644	23	21	22	7	0	20	8.581906e-01	2.145114e-02	5.543784e+01	7.776280e-01	1.879524e-01
ADCY7	1248538	381095	333452	13	13	13	0	0	20	7.684816e-01	2.148189e-02	4.318497e+01	5.492620e-01	1.881315e-01
BAI2	1518495	472948	379078	14	14	14	6	0	20	5.765536e-01	2.160193e-02	4.275376e+01	4.926010e-01	1.888663e-01
GUCY1A3	929653	255658	119392	17	16	16	1	0	14	1.492259e+00	2.160278e-02	4.978168e+01	8.416230e-01	1.888663e-01
PKLR	793606	268467	176288	16	14	16	4	0	20	9.831656e-01	2.160397e-02	4.100780e+01	6.917650e-01	1.888663e-01
SLC22A6	660685	214786	116466	20	20	16	2	0	2	1.716533e+00	2.160719e-02	5.872228e+01	9.403430e-01	1.888663e-01
VRK1	550558	137907	177772	6	6	6	0	0	14	6.368893e-01	2.164892e-02	2.416448e+01	1.030449e+00	1.890961e-01
KRT37	598976	172250	107324	14	13	14	2	1	20	1.599073e+00	2.165420e-02	4.168162e+01	7.606700e-01	1.890961e-01
ERLIN2	484883	128927	215964	5	5	5	0	1	5	1.972150e-01	2.168937e-02	2.450240e+01	4.763100e-01	1.893126e-01
RHD	440409	136134	131936	7	6	7	0	0	9	3.149639e-01	2.174649e-02	1.885601e+01	1.159076e+00	1.897204e-01
SEC61A1	628448	194291	184996	6	6	5	1	0	20	8.876692e-01	2.175967e-02	2.993557e+01	8.507110e-01	1.897448e-01
HAND2	175908	51289	21112	10	9	10	0	0	20	2.405295e+00	2.177486e-02	2.700068e+01	5.020320e-01	1.897865e-01
GDF3	476298	141313	35924	6	6	6	3	0	20	8.748254e-01	2.180372e-02	2.551716e+01	4.931350e-01	1.899473e-01
ABCA2	2046124	621061	390768	21	18	21	2	0	20	6.196136e-01	2.182288e-02	5.693239e+01	8.618040e-01	1.899632e-01
TRAIP	639341	176303	246176	8	8	8	1	0	20	7.043101e-01	2.183269e-02	2.719785e+01	9.811140e-01	1.899632e-01
SNCB	168365	48418	71050	5	5	5	0	0	20	8.357564e-01	2.183779e-02	1.492278e+01	8.257890e-01	1.899632e-01
TMEM202	364345	101368	82446	6	5	6	2	0	10	6.604764e-01	2.184717e-02	2.153113e+01	9.388380e-01	1.899632e-01
DSG1	1395394	402038	240772	29	26	29	11	0	20	1.475427e+00	2.188691e-02	6.175890e+01	5.047260e-01	1.902181e-01
CIB4	226298	53485	106722	5	5	5	1	0	20	1.167011e+00	2.192275e-02	1.898373e+01	5.540870e-01	1.904218e-01
ZNF638	2671068	714503	429772	22	22	21	7	0	20	7.048655e-01	2.193121e-02	5.899409e+01	1.287877e+00	1.904218e-01
FRY	4051516	1138977	1198246	31	30	30	7	0	10	6.011512e-01	2.195490e-02	7.624229e+01	7.749650e-01	1.904881e-01
C2orf71	1622877	492513	26880	21	20	20	6	0	12	8.602665e-01	2.196045e-02	5.287647e+01	6.416160e-01	1.904881e-01
ARHGEF4	797964	220329	153594	11	10	11	2	0	20	6.140931e-01	2.197017e-02	2.997496e+01	5.963270e-01	1.904881e-01
P2RX6	361502	105281	81158	6	6	6	2	1	20	9.539941e-01	2.199189e-02	2.371102e+01	1.353438e+00	1.905859e-01
FPR2	448739	144663	16464	17	14	14	5	0	20	1.842356e+00	2.204586e-02	3.561844e+01	7.762050e-01	1.909630e-01
GRIA4	1322406	364656	262108	25	25	25	7	3	14	1.763126e+00	2.210292e-02	6.796565e+01	6.214220e-01	1.913664e-01
SIGLEC5	555261	171012	113302	13	13	13	3	0	17	1.650535e+00	2.211945e-02	4.059767e+01	1.003211e+00	1.914187e-01
UNC5B	1117987	345657	215740	20	20	19	6	0	20	1.315814e+00	2.224479e-02	5.543943e+01	1.056527e+00	1.923451e-01
PTF1A	168872	47292	26726	5	5	5	3	0	20	9.695195e-01	2.224757e-02	1.653681e+01	1.025373e+00	1.923451e-01
PLCG2	1724500	445193	489174	18	18	17	6	0	8	7.037413e-01	2.231584e-02	5.567182e+01	9.260010e-01	1.928440e-01
NBPF3	813479	213912	216090	7	7	5	0	0	12	2.849144e-01	2.244301e-02	2.218844e+01	6.392820e-01	1.938021e-01
PTH	156007	41690	28126	4	4	4	0	0	20	1.030081e+00	2.244795e-02	1.432732e+01	9.373180e-01	1.938021e-01
EPAS1	1106298	308356	235312	20	18	18	4	0	20	1.244468e+00	2.247968e-02	4.966420e+01	4.983360e-01	1.939043e-01
BEX2	177908	43351	15974	4	4	4	0	0	18	9.837739e-01	2.248919e-02	1.635160e+01	6.685080e-01	1.939043e-01
CCDC24	323078	101875	81074	4	4	4	0	0	20	6.934424e-01	2.250776e-02	1.980353e+01	6.976000e-01	1.939043e-01
OR8D1	395537	120961	18578	13	11	13	5	0	13	1.429850e+00	2.250839e-02	2.820239e+01	8.298890e-01	1.939043e-01
KIF1A	1597275	464021	366842	29	28	29	11	0	13	1.538569e+00	2.251291e-02	7.845040e+01	6.498590e-01	1.939043e-01
CLCA1	1217206	352973	210560	14	14	13	8	0	8	9.405171e-01	2.255835e-02	4.635699e+01	5.822940e-01	1.942040e-01
KRT16	556418	162990	107982	8	7	8	1	0	20	9.402165e-01	2.258385e-02	2.964650e+01	5.270450e-01	1.943318e-01
CRMP1	726948	211548	197218	14	13	14	4	0	8	9.567333e-01	2.267062e-02	3.824898e+01	7.860330e-01	1.949866e-01
RGS12	1724815	519699	250390	20	20	19	4	1	10	8.514187e-01	2.277767e-02	6.091305e+01	1.211553e+00	1.957194e-01
ATP11C	1545603	414959	502978	23	22	22	7	0	20	1.530504e+00	2.278345e-02	6.468770e+01	6.488250e-01	1.957194e-01
MS4A2	334052	97060	101850	7	6	7	1	0	11	9.270103e-01	2.278800e-02	2.088648e+01	5.837910e-01	1.957194e-01
FIBCD1	322680	99256	52346	7	7	7	3	1	20	6.938608e-01	2.281995e-02	2.087695e+01	4.842820e-01	1.959017e-01
TMEM8C	293295	88926	76930	6	6	5	2	0	20	9.336271e-01	2.289917e-02	2.134083e+01	7.913610e-01	1.964893e-01
TRIP13	562689	156570	201446	11	11	11	0	0	20	9.828667e-01	2.291479e-02	2.891769e+01	9.999720e-01	1.965083e-01
TMEM64	225791	73753	40894	4	4	4	0	0	20	9.716136e-01	2.292292e-02	1.757583e+01	1.052699e+00	1.965083e-01
KCNA2	657077	185818	19936	14	13	10	9	0	20	1.270499e+00	2.296756e-02	3.640428e+01	8.315260e-01	1.967869e-01
SKIL	923911	240401	93100	11	10	11	2	0	20	7.598495e-01	2.297699e-02	3.183852e+01	8.674590e-01	1.967869e-01
GABRD	439859	133033	85064	8	8	8	1	0	17	8.310634e-01	2.302833e-02	2.630347e+01	6.653910e-01	1.970553e-01
CALCOCO1	921547	263456	277424	8	8	8	3	0	20	7.169188e-01	2.302992e-02	3.356698e+01	6.171560e-01	1.970553e-01
INSL4	179653	56300	27832	5	5	4	0	0	20	8.871575e-01	2.309056e-02	1.557387e+01	6.335680e-01	1.974816e-01
ZNF195	763991	179597	50960	11	11	11	6	0	20	1.133907e+00	2.311656e-02	3.453346e+01	8.527940e-01	1.976114e-01
NUDCD1	796082	208310	171402	15	13	13	1	0	20	9.740470e-01	2.320929e-02	3.422095e+01	7.414240e-01	1.983112e-01
LGALS4	432863	124395	147294	4	4	4	1	0	20	2.980669e-01	2.323960e-02	1.618332e+01	6.358580e-01	1.984773e-01
BLID	139624	44477	17416	5	5	5	0	0	20	1.042432e+00	2.328579e-02	1.475702e+01	4.649660e-01	1.987787e-01
NTRK2	1157587	315703	310926	21	21	21	6	1	13	1.413387e+00	2.331986e-02	5.652792e+01	8.019920e-01	1.989765e-01
C14orf180	53345	15708	25606	2	2	2	0	0	20	8.404828e-01	2.349668e-02	9.622346e+00	4.198660e-01	2.003915e-01
ACACA	3586593	1009375	1107008	20	20	20	6	0	20	5.316681e-01	2.351973e-02	6.353962e+01	8.791630e-01	2.004944e-01
ATP5L	132504	39861	37226	3	3	3	0	1	20	7.812729e-01	2.380235e-02	1.305715e+01	4.741640e-01	2.028089e-01
DCTN5	271282	73162	108094	5	5	5	2	0	20	9.170811e-01	2.384577e-02	1.888772e+01	7.319080e-01	2.030310e-01
CUX2	1522719	472273	263592	32	32	31	20	0	18	1.568664e+00	2.385067e-02	7.386689e+01	7.337010e-01	2.030310e-01
HAUS3	854827	210167	72856	8	7	8	3	0	20	8.629375e-01	2.387792e-02	3.270124e+01	8.004780e-01	2.031682e-01
KRTAP6-2	82142	21929	19222	9	8	9	1	0	20	3.886556e+00	2.389988e-02	2.195184e+01	5.596330e-01	2.032397e-01
SH3PXD2B	1152038	338391	174356	12	12	12	9	0	20	6.640474e-01	2.391389e-02	3.952274e+01	9.994250e-01	2.032397e-01
FRS2	673967	193109	80136	10	10	10	2	0	20	1.068100e+00	2.391972e-02	3.301659e+01	6.920370e-01	2.032397e-01
NCOA6	2685818	811902	238672	21	21	20	7	0	20	5.067745e-01	2.396768e-02	5.292577e+01	6.160690e-01	2.035524e-01
LAD1	640243	200456	141176	10	9	10	3	0	20	7.687310e-01	2.398314e-02	2.977010e+01	5.458070e-01	2.035890e-01
HOXC12	202991	62409	28630	6	6	6	0	0	20	8.417704e-01	2.400932e-02	1.786178e+01	6.980980e-01	2.037165e-01
FAM83D	620370	191392	62272	9	8	9	5	0	20	9.848866e-01	2.404683e-02	3.112753e+01	4.876500e-01	2.039399e-01
BST2	219542	66969	51660	4	4	4	0	0	20	7.225049e-01	2.409042e-02	1.626444e+01	6.819370e-01	2.042147e-01
GLIPR2	204820	54020	61418	4	4	3	2	0	20	5.954096e-01	2.412329e-02	1.365923e+01	4.478180e-01	2.043984e-01
TMEM175	598659	199778	151984	8	7	8	0	0	20	8.903043e-01	2.414996e-02	3.099546e+01	1.096490e+00	2.045294e-01
BRS3	520775	157640	45962	8	8	8	2	0	20	7.881761e-01	2.421781e-02	2.403409e+01	4.924860e-01	2.049675e-01
ALDH1B1	665945	206030	14028	15	12	12	1	0	20	1.039622e+00	2.423469e-02	3.452300e+01	6.393390e-01	2.049675e-01
PTHLH	196347	60213	244384	4	4	4	0	0	10	5.219799e-01	2.424909e-02	1.628729e+01	9.652470e-01	2.049675e-01
DACH2	677805	195392	146006	31	27	27	9	0	5	2.406587e+00	2.425510e-02	6.396381e+01	4.917500e-01	2.049675e-01
UBR4	6859592	1979480	1669402	43	41	43	12	4	20	6.750991e-01	2.425784e-02	1.074392e+02	9.814520e-01	2.049675e-01
RNF216	1255910	324344	258622	11	11	11	3	0	20	4.894735e-01	2.431688e-02	3.289237e+01	1.037118e+00	2.053170e-01
TIMM17B	162228	52387	55034	4	4	3	1	0	20	7.656047e-01	2.432170e-02	1.455029e+01	5.856200e-01	2.053170e-01
EBF1	705607	199893	235326	13	13	12	4	0	20	1.124563e+00	2.434016e-02	3.781195e+01	5.517330e-01	2.053779e-01
PSME4	2378719	638495	721490	21	19	21	5	0	20	8.329457e-01	2.441970e-02	6.000929e+01	9.769730e-01	2.059537e-01
FGF18	260641	76005	60942	6	6	6	4	0	20	9.420632e-01	2.448679e-02	2.086551e+01	8.570750e-01	2.064242e-01
