cytoband	9p21.3	1p36.31	4q34.3	2q37.3	11q22.3	3p22.1	16q24.2	14q11.2	11q23.3	6q25.3	19q13.42	19p13.3	22q12.2	2q22.1	2p12	5p15.33	5q35.2	6p12.3	10q21.1	15q13.3	14q24.2	
		RERE		TNS1	C11orf52		SPATA33		MMP13	CCDC170	CYP2B7P1				KCNK12		RNA5SP192			SNORD109A	ISCA2	
		C1QA		TUBA4A	CARD16		ZC3H18		NCAM1	MYCT1	CYP2G1P				MIR559		snoZ6|ENSG00000253067.1			SNORD108	MIR4709	
		C1QB		WNT6	TMEM123		CDYL2		NFRKB	ULBP2	NUMBL				RN7SKP119		HINT1			SNORD64|ENSG00000270704.2	RN7SL530P	
		C1QC		XRCC5	APOA5		SLC38A8		NNMT	ULBP1	RN7SL758P				BCYRN1		RNA5SP191			SNHG14	LIN52	
		CA6		ZNF142	C11orf93		ADAD2		NPAT	LPAL2	SERTAD1				RHOQ		RNU6ATAC10P			SNURF	ENTPD5	
		CAPZB		SCG2	PIH1D2		ADAMTS18		NRGN	PPP1R14C	LGALS17A				RN7SL817P		KIAA1024L			snoU13|ENSG00000238615.1	snoU13|ENSG00000238330.1	
		CASP9		CUL3	NXPE1		ZNF778		OPCML	RSPH3	EID2				RN7SL414P		MIR4633			PWRN1	ACOT4	
		RUNX3		DGKD	NXPE2		ACSF3		PAFAH1B2	FAM120B	RN7SL566P				SLC3A1		C5orf63			PWRN2	C14orf169	
		TNFRSF8		STK16	ARHGAP42		LINC00304		POU2AF1	FNDC1	IFNL4				snoU13|ENSG00000239052.1		RN7SKP117			MAGEL2	RN7SL586P	
		CDA		PER2	KBTBD3		NUDT7		PPP2R1B	LRP11	snoU13|ENSG00000251709.1				RN7SKP66		RN7SL711P			RN7SL536P	snoU13|ENSG00000238972.1	
		CDK11B		CDK5R2	CWF19L2		SNAI3		PTS	SERAC1	ACTN4				SNORD75|ENSG00000221300.1		RN7SL689P			GOLGA8S	RN7SL683P	
		CDC42		RQCD1	KDELC2		FAM92B		PVRL1	PPIL4	SPRED3				snoZ247		snoU13|ENSG00000239103.1			RN7SL106P	SNORD56B	
		CD52		LRRFIP1	LAYN		CTU2		RDX	SYTL3	snoU13|ENSG00000238838.1				HNRNPA1P57		snoU13|ENSG00000252295.1			HERC2P2	RN7SL77P	
		RCC1		GPR55	C11orf65		PABPN1L		SCN2B	TAGAP	RN7SL663P				SNORA67|ENSG00000252473.1		snoU13|ENSG00000239067.1			RN7SL495P	ADAM20P1	
		CLCN6		TRIP12	ANGPTL5		C16orf74		SCN4B	PACRG	ZNF790				RN7SL96P		snoU13|ENSG00000239084.1			WHAMMP3	SYNJ2BP	
		CLCNKA		ECEL1	ANKK1		SYCE1L		SDHD	RAET1E	ZFP14				GEMIN6		RNA5SP190			RN7SL545P	ADAM21P1	
		CLCNKB		EIF4E2	RNF214		MIR1910		ST3GAL4	RAET1L	LINC00665				LINC00211		RN7SL174P			GOLGA8DP	SNORA11|ENSG00000221060.1	
		CNR2		TTLL4	C11orf53		C16orf95		SLN	PNLDC1	A1BG				RN7SL602P		TNFAIP8			MIR1268A	SLC10A1	
		CORT		HDAC4	C11orf87		MIR4719		SORL1	DACT2	AP2A1				RNA5SP92		MIR5706			OR4N4	CCDC177|ENSG00000267909.1	
		DDOST		FARP2	C11orf92		MIR5093		SRPR	C6orf118	AKT2				RNA5SP91		snoU13|ENSG00000239011.1			snoU13|ENSG00000238960.1	CCDC177|ENSG00000255994.1	
		DFFB		FARSB	C11orf88				ST14	OSTCP1	APOC1				SNORD112|ENSG00000252502.1		DTWD2			DKFZP547L112	ERH	
		DVL1		ABCB6	MIR34B				TAGLN	WDR27	APOC2				LINC00486		ARL14EPL			RN7SL400P	RN7SL224P	
		E2F2		ARPC2	MIR34C				TECTA	SHPRH	APOC4				MIR4765		AP3S1			CT60	RN7SL108P	
		ECE1		ARL4C	DDI1				TRPC6	PRR18	APOE				MIR558		RN7SKP89			NBEAP1	RN7SL706P	
		EPHA2		RAMP1	CARD17				UPK2	NUP43	KLK3				YIPF4		RNU4ATAC13P			RN7SL759P	RN7SL213P	
		ENO1		SPEG	CLDN25				ZBTB16	RAET1G	ATP1A3				DPY30		ZRSR1			GOLGA6L6	U3|ENSG00000252792.1	
		EPB41		NMUR1	MIR4301				ZNF202	SUMO4	AXL				SRD5A2		SRP19			snoU13|ENSG00000239083.1	RN7SL369P	
		EPHA8		STK25	CASP12				CUL5	C6orf120	BAX				EHD3		FLJ11235			CHEK2P2	ATP6V1D	
		EPHB2		CAPN10	MIR4491				BARX2	SAMD5	BCAT2				RNA5SP90		SNORA13			RN7SL584P	MIR4706	
		EXTL1		SP140	MIR4693				USP2	IYD	BCKDHA				SNORA64|ENSG00000207187.1		RN7SKP57			ACTC1	FNTB	
		EYA3		PASK					HTR3B	TCP10L2	BCL3				RN7SL516P		CAMK4			ADAM10	ZBTB25	
		FGR		ATG4B					ZW10	LINC00242	CEACAM1				SNORD53		SNORA51|ENSG00000207177.1			ANXA2	U3|ENSG00000200693.1	
		MTOR		OBSL1					MMP20	GTF2H5	BLVRB				SNORD92		MIR548F3			APBA2	WDR89	
		FUCA1		DNPEP					UBE4A	TMEM242	C5AR1				RNA5SP89		TMEM232			AQP9	SCARNA20|ENSG00000252800.1	
		IFI6		SH3BP4					EI24	MIR1202	CA11				FOSL2		RN7SKP230			BNIP2	RN7SL540P	
		GABRD		KCNE4					FEZ1	MIR1273C	CALM3				MIR4263		FER			BUB1B	PPP2R5E	
		GALE		NGEF					ARHGAP32	MIR3918	CD33				RBKS		RN7SKP122			CAPN3	GPHB5	
		GNB1		PNKD					RBM7	MIR3939	SIGLEC6				SNORA36|ENSG00000206731.1		RN7SL782P			CHRM5	LINC00644	
		SFN		SNED1					MPZL2	MIR4466	CD37				UCN		SNORA31|ENSG00000252337.1			CKMT1B	LINC00643	
		GPR3		GIGYF2					YAP1		CD79A				TCF23		RNA5SP189			CYP19A1	SNORD112|ENSG00000252380.1	
		ZBTB48		TRAF3IP1					HYOU1		CEACAM5				KCNK3		RN7SL255P			DUT	SIX1	
		HMGCL		ABCA12					ATP5L		CGB				RN7SL856P		LINC00491			EPB42	U3|ENSG00000253014.1	
		HSPG2		CNPPD1					ADAMTS8		CEACAM3				EFR3B		LINC00492			FBN1	SIX6	
		HTR1D		STK36					TREH		CEACAM7				SNORD14		RN7SKP68			GABPB1	MIR5586	
		HTR6		GMPPA					CEP164		CEACAM8				PTRHD1		RNA5SP188			GABRA5	JKAMP	
		ID3		SMARCAL1					IGSF9B		CEACAM4				RNA5SP88		RN7SL802P			GABRB3	GPR135	
		STMN1		ANO7					EXPH5		CKM				SCARNA21|ENSG00000251805.1		MIR548P			GABRG3	ACTR10	
		MFAP2		PRLH					PHLDB1		AP2S1				PFN4		RN7SKP62			GALK2	RN7SL598P	
		MTHFR		THAP4					NCAPD3		CLC				RN7SL610P		GPR150			GANC	C14orf37	
		NBL1		ANKMY1					ARHGEF12		CLPTM1				UBXN2A		ADRB2			GATM	RN7SKP99	
		NPPA		SCLY					SIK3		CRX				RN7SKP27		ANXA6			GCHFR	NAA30	
		NPPB		ASB1					VSIG2		CYP2A6				RNA5SP87		APC			PDIA3	RN7SL461P	
		OPRD1		CAB39					BACE1		CYP2A7				RN7SL117P		ATOX1			GTF2A2	LINC00520	
		PAFAH2		PRKAG3					TRIM29		CYP2A13				TDRD15		ALDH7A1			HDC	RPL13AP3	
		PAX7		UGT1A10					CADM1		CYP2B6				GDF7		BNIP1			ITPKA	TBPL2	
		PEX10		UGT1A7					POU2F3		CYP2F1				RNA5SP86		CAMK2A			IVD	MIR4308	
		PEX14		UGT1A6					REXO2		DMPK				RN7SL140P		CAMLG			LIPC	RNU6ATAC9P	
		PGD		UGT1A5					OR8B8		DMWD				LINC00954		CANX			LTK	RN7SL588P	
		PIK3CD		UGT1A9					TIMM8B		ECH1				SNORA40|ENSG00000212455.1		CAST			MAP1A	ERO1L	
		PLA2G2A		UGT1A4					OR8B2		MEGF8				RN7SKP168		CCNG1			MEIS2	RNA5SP385	
		PLOD1		UGT1A8					ACAD8		EMP3				SNORA40|ENSG00000251704.1		CD14			MFAP1	LINC00640	
		EXOSC10		UGT1A1					B3GAT1		ERCC1				RN7SL104P		CD74			TRPM1	LINC00519	
		PPP1R8		FEV					DCPS		ERCC2				MYCNOS		CDC25C			MYO1E	SNORA70|ENSG00000201376.1	
		PRKCZ		PID1					ZBTB44		ERF				snoU13|ENSG00000238371.1		CDO1			MYO5A	TMX1	
		PTAFR		ATG16L1					THYN1		FBL				LINC00276		CDX1			NDN	snoU83B	
		RAP1GAP		ANKZF1					DDX25		ETFB				MIR3125		CHD1			NEDD4	RN7SL452P	
		RHCE		USP40					NTM		FCAR				SNORD18|ENSG00000238503.1		CLTB			OCA2	CDKL1	
		RHD		HJURP					CDON		FCGRT				MIR548S		CSF1R			PLCB2	MIR4504	
		RPA2		HES6					SIDT2		FLT3LG				RN7SL674P		CSF2			MAPK6	RN7SKP193	
		RPL11		ASIC4					TRAPPC4		FOSB				RNA5SP85		CSNK1A1			RAB27A	ARF6	
		RPL22		DOCK10					SPA17		FPR2				RNA5SP84		CSNK1G3			RAD51	RN7SL2	
		RPS6KA1		PECR					FXYD6		FPR3				LINC00570		CTNNA1			RORA	RN7SL3	
		RSC1A1		C2orf83					SIAE		FTL				RN7SL832P		DBN1			RYR3	RNU6ATAC30P	
		SCNN1D		MFF					C11orf71		FUT1				SNORA80B		DMXL1			SCG5	RPL36AL	
		SDHB		ACKR3					ROBO4		FUT2				SNORA51|ENSG00000206898.1		DIAPH1			SLC12A1	RN7SL1	
		SKI		MARCH4					SLC35F2		GIPR				RN7SL66P		DOCK2			SNRPN	RNA5SP384	
		SLC2A5		WDFY1					RAB39A		GPR4				SNORA2|ENSG00000206647.1		DPYSL3			SNX1	SNORD112|ENSG00000251824.1	
		SLC9A1		NYAP2					BTG4		GPR32				SNORA26|ENSG00000212558.1		DRD1			SPINT1	LINC00648	
		SRM		USP37					NXPE4		GRIK5				snoU13|ENSG00000238462.1		SLC26A2			SRP14	SNORA25|ENSG00000251735.1	
		TAF12		CTDSP1					TTC12		GRIN2D				IAH1		HBEGF			TCF12	LINC00871	
		TCEA3		GAL3ST2					C11orf57		ARHGAP35				snoU13|ENSG00000238888.1		DUSP1			TJP1	SNORD127	
		TCEB3		TMBIM1					ELMOD1		GSK3A				MBOAT2		EBF1			TP53BP1	SNORD58	
		TNFRSF1B		RAB17					FOXRED1		GYS1				RNU6ATAC37P		EFNA5			TPM1	snoU13|ENSG00000238501.1	
		TP73		RNF25					SCN3B		HAS1				RN7SKP112		EGR1			TYRO3	SNORA31|ENSG00000251858.1	
		TNFRSF4		COPS7B					VPS11		FOXA3				FLJ30594		ETF1			UBE3A	FBXO33	
		ZBTB17		MRPL44					TEX12		HNRNPL				SNORA31|ENSG00000252238.1		F12			MKRN3	LINC00639	
		SLC30A2		TRPM8					CRTAM		HRC				RN7SL531P		FABP6			EIF3J	LINC00517	
		LUZP1		ATG9A					IFT46		PRMT1				DCDC2C		FAT2			SNAP23	SNORA42|ENSG00000200385.1	
		PRDM2		MLPH					PRDM10		IL11				SNORA73|ENSG00000252531.1		FBN2			ALDH1A2	TTC6	
		ARID1A		FAM134A					DSCAML1		IRF3				snoU13|ENSG00000238722.1		FGF1			HERC2	MIR4503	
		SNHG3		GLB1L					GRAMD1B		KCNA7				TMEM18		FGFR4			HERC1	SLC25A21	
		NR0B2		CHPF					KIAA1377		KCNC3				FAM110C		FOXI1			USP8	RN7SKP257	
		MMP23B		IQCA1					ARHGAP20		KCNJ14				ACP1		FLT4			CCNB2	DPPA3P2	
		KCNAB2		NHEJ1					USP28		KCNN4				ACTG2		GABRA1			SLC28A2	RN7SKP21	
		FCN3		FAM124B					CARD18		KIR2DL1				ACYP2		GABRA6			CCPG1	PTCSC3	
		ALDH4A1		TM4SF20					AASDHPPT		KIR2DL3				ADCY3		GABRB2			GCNT3	snoU13|ENSG00000238718.1	
		EIF4G3		C2orf54					PKNOX2		KIR2DL4				ADD2		GABRG2			COPS2	SNORA31|ENSG00000253059.1	
		TNFRSF25		TUBA4B					TP53AIP1		KIR2DS4				ADRA2B		GABRP			TGM5	KIAA0391	
		TNFRSF14		ARMC9					MMP27		KIR3DL1				ALK		GDF9			PIGB	RN7SL660P	
		TNFRSF18		EFHD1					ABCG4		KIR3DL2				ANXA4		GFRA3			PPIP5K1	GPR33	
		PER3		SPHKAP					ROBO3		KLK1				APOB		GLRA1			AQR	MIR624	
		MAP3K6		WNT10A					C11orf1		KLK2				RHOB		GLRX			SECISBP2L	BNIP3P1	
		DHRS3		SLC19A3					RNF26		LAIR1				ATP6V1B1		GM2A			ARHGAP11A	LINC00645	
		VAMP3		ILKAP					FAM118B		LAIR2				AUP1		GRK6			LCMT2	SNORD37|ENSG00000212270.1	
		THEMIS2		ITM2C					DYNC2H1		LGALS4				ZFP36L2		GPX3			BCL2L10	TM9SF1	
		H6PD		RHBDD1					NLRX1		LGALS7				CAD		GRIA1			RASGRP1	RNA5SP383	
		ISG15		ING5					MSANTD2		LHB				CALM2		NR3C1			GNB5	DHRS4L1	
		PLCH2		PLCD4					CLMP		LIG1				CAPG		GRM6			ARPP19	LINC00596	
		CROCC		TMEM169					PDZD3		LIM2				CD8A		HARS			SLC27A2	RN7SKP205	
		CEP104		DNER					C11orf63		LIPE				CD8B		HK3			GPR176	MIR208B	
		KLHL21		B3GNT7					CCDC15		BCAM				CENPA		HMMR			CHP1	MIR208A	
		SLC35E2		SP140L					PDGFD		MAP3K10				CTNNA2		HNRNPAB			OIP5	PABPN1	
		ZBTB40		STK11IP					TMPRSS5		MYBPC2				CYP1B1		HNRNPH1			BAHD1	C14orf164	
		MFN2		MOGAT1					PUS3		CEACAM6				DCTN1		HRH2			FAN1	SNORA73|ENSG00000252114.1	
		CELA3A		AGAP1					MFRP		NFKBIB				DDX1		HSD17B4			CEP152	SNORD41|ENSG00000212302.1	
		WASF2		TWIST2					JAM3		NKG7				DGUOK		HSPA9			MAPKBP1	OR6J1	
		ANGPTL7		DIS3L2					BCO2		CNOT3				DNAH6		NDST1			GOLGA8A	TRAC	
		HNRNPR		NEU4					TMPRSS13		NPAS1				DNMT3A		HTR4			RTF1	TRAJ1	
		SRRM1		AP1S3					DCUN1D5		NTF4				DOK1		IK			CYFIP1	TRAJ2	
		CNKSR1		SPATA3					MSANTD4		NUCB1				DTNB		IL3			MGA	TRAJ3	
		UBE4B		TMEM198					KIRREL3		PAFAH1B3				DUSP2		IL4			DMXL2	TRAJ4	
		MAD2L2		ZFAND2B					BUD13		PEG3				E2F6		IL5			VPS39	TRAJ5	
		PDPN		FBXO36					TMEM25		PLAUR				EGR4		IL9			FAM189A1	TRAJ6	
		GMEB1		MTERFD2					RPUSD4		POLD1				EMX1		IL12B			AP4E1	TRAJ7	
		NUDC		UBE2F					UBASH3B		POU2F2				EPAS1		IL13			DAPK2	TRAJ8	
		MASP2		OTOS					C11orf70		PPP5C				FABP1		IRF1			EID1	TRAJ9	
		SRSF10		MYEOV2					DIXDC1		PRKCG				EFEMP1		ITK			NPAP1	TRAJ10	
		UTS2		OR6B3					ZC3H12C		PRRG2				FKBP1B		KCNN2			SERF2	TRAJ11	
		RER1		CCDC140					GLB1L2		KLK7				FSHR		LECT2			TMEM87A	TRAJ12	
		RCAN3		SLC23A3					ESAM		KLK6				GCKR		LMNB1			RPAP1	TRAJ13	
		PADI2		GPBAR1					ALKBH8		KLK10				GFPT1		LNPEP			BLOC1S6	TRAJ14	
		LYPLA2		SLC16A14					FDXACB1		PSG1				GGCX		LOX			GREM1	TRAJ16	
		PARK7		LINC00471					C11orf52		PSG2				MSH6		LTC4S			FOXB1	TRAJ17	
		CTRC		DAW1					VPS26B		PSG3				GTF3C2		SMAD5			RPUSD2	TRAJ18	
		ACOT7		C2orf57					GLB1L3		PSG4				HADHA		MAN2A1			TUBGCP4	TRAJ19	
		DNAJC8		TIGD1					TIRAP		PSG5				HADHB		MCC			SCG3	TRAJ20	
		CLSTN1		CCDC108					CARD16		PSG6				HK2		MFAP3			TMOD3	TRAJ21	
		SPEN		C2orf72					C1QTNF5		PSG9				TLX2		MGAT1			TMOD2	TRAJ22	
		KDM1A		RUFY4					TMEM123		PSG11				HPCAL1		MSX2			EHD4	TRAJ23	
		WDTC1		DUSP28					PANX3		PSMC4				FOXN2		NDUFA2			DUOX2	TRAJ24	
		EMC1		MROH2A					APOA5		PSMD8				ID2		NEUROG1			MYEF2	TRAJ25	
		KIF1B		ESPNL					TMEM45B		PTGIR				KCNF1		NPM1			RPS27L	TRAJ26	
		PLEKHM2		C2orf62					C11orf93		PTPRH				KCNS3		PAM			NDUFAF1	TRAJ27	
		OTUD3		AQP12A					PIH1D2		PVR				KHK		PCDH1			NUSAP1	TRAJ28	
		KAZN		KLHL30					NXPE1		PVRL2				KIF3C		PCDHGC3			EMC4	TRAJ29	
		CAMTA1		RESP18					NXPE2		RELB				LHCGR		PCSK1			SPTBN5	TRAJ30	
		DNAJC16		C2orf82					AMICA1		RPL18				LTBP1		PDE6A			CTDSPL2	TRAJ31	
		UBR4		OR6B2					KBTBD3		RPL28				EPCAM		PDGFRB			KLF13	TRAJ32	
		ATP13A2		ASB18					CWF19L2		MRPS12				MXD1		PFDN1			RAB8B	TRAJ33	
		CELA3B		MIR375					KDELC2		RPS5				MAL		PGGT1B			DUOX1	TRAJ34	
		ICMT		PRR21					LAYN		RPS9				MAT2A		PITX1			DLL4	TRAJ35	
		PADI4		PRSS56					PATE1		RPS11				MATN3		POU4F3			INO80	TRAJ36	
		TMEM50A		AQP12B					C11orf65		RPS16				MDH1		PPIC			FAM63B	TRAJ37	
		STX12		D2HGDH					ADAMTS15		RPS19				MEIS1		PPP2R2B			RNF111	TRAJ38	
		CLIC4		MIR1471					C11orf45		RRAS				MPV17		MAPK9			ZNF280D	TRAJ39	
		CHD5		MIR4268					HYLS1		RTN2				MSH2		PROP1			TRPM7	TRAJ40	
		SZRD1		MIR3132					TMEM218		RYR1				MTIF2		RARS			VPS13C	TRAJ41	
		LDLRAP1		MIR4269					OR8B12		CLEC11A				MYCN		RPS14			PPP1R14D	TRAJ42	
		NOC2L		MIR4786					OR10G8		SEPW1				ODC1		SGCD			MTMR10	TRAJ43	
		FBXO2		MIR5001					OR10G9		SLC1A5				OTX1		SLC6A7			ZNF770	TRAJ44	
		FBXO6		MIR5702					OR10S1		SLC8A2				REG3A		SLC12A2			HAUS2	TRAJ45	
		HSPB7		MIR5703					OR6T1		SNRNP70				PCBP1		SLC34A1			RMDN3	TRAJ46	
		ARHGEF16							OR4D5		SNRPA				PEX13		SLC22A4			DNAJC17	TRAJ47	
		AHDC1							TMEM136		SNRPD2				VIT		SLC22A5			MNS1	TRAJ48	
		SMPDL3B							SPATA19		SPIB				PIGF		SLIT3			NOP10	TRAJ49	
		SSU72							HEPACAM		AURKC				PLEK		SNCB			MYO5C	TRAJ50	
		UBIAD1							ANGPTL5		SULT2B1				POMC		SNX2			NDNL2	TRAJ52	
		PADI1							ANKK1		SULT2A1				PPM1B		SPARC			FAM214A	TRAJ53	
		WRAP73							RNF214		SUPT5H				PPM1G		SPINK1			EMC7	TRAJ54	
		SLC45A1							FOXR1		TNNI3				PPP1CB		SPOCK1			PAK6	TRAJ56	
		HP1BP3							CCDC153		TNNT1				PPP3R1		STK10			DTWD1	TRAJ57	
		CELA2B							OR8D1		TULP2				PRKCE		TAF7			CASC5	TRAJ58	
		SDF4							OR8D2		NR1H2				EIF2AK2		TCF7			AVEN	TRAJ59	
		MRTO4							OR8B4		VASP				RAB1A		ZNF354A			STARD9	TRAJ61	
		YTHDF2							C11orf44		XRCC1				REL		TCOF1			VPS18	TRDV3	
		PADI3							CCDC84		ZFP36				REG1A		TGFBI			SQRDL	TRDC	
		ERRFI1							TMEM225		ZNF8				REG1B		TTC1			ZNF106	TRDJ3	
		WNT4							OR8D4		ZNF17				RPS7		UBE2B			RFX7	TRDJ2	
		FBXO42							C11orf53		ZNF28				RPS27A		UBE2D2			SPATA5L1	TRDJ4	
		RNF186							BSX		MZF1				RRM2		VDAC1			CHAC1	TRDJ1	
		MXRA8							OR6X1		ZNF45				RTKN		WNT8A			NARG2	TRDD3	
		HES2							OR6M1		ZNF221				SDC1		ST8SIA4			KATNBL1	TRDD2	
		FBLIM1							OR10G4		ZNF222				SRSF7		REEP5			SLTM	TRDD1	
		MED18							OR10G7		ZNF132				SFTPB		NME5			SNX22	TRDV2	
		PQLC2							OR8B3		ZNF135				SIX3		PDLIM4			ATP8B4	TRAV41	
		CASZ1							OR8A1		ZNF154				SLC1A4		STC2			WDR76	TRAV40	
		TRNAU1AP							C11orf87		ZNF155				SLC8A1		EIF4EBP3			TMEM62	TRAV39	
		CPSF3L							C11orf92		ZNF175				SNRPG		PCDHGB4			SEMA6D	TRAV36DV7	
		C1orf159							C11orf88		ZNF223				SOS1		CDC23			SPG11	TRAV35	
		AURKAIP1							PATE2		ZNF224				SOX11		ADAM19			ELL3	TRAV34	
		MRPL20							PATE4		ZNF225				SPAST		FGF18			POLR2M	TRAV30	
		TMEM51							SNX19		ZNF226				SPR		HDAC3			NIPA2	TRAV29DV5	
		XKR8							MIRLET7A2		ZNF227				SPTBN1		SQSTM1			APH1B	TRAV27	
		ARHGEF10L							MIR100		ZNF112				STRN		P4HA2			TLN2	TRAV25	
		VPS13D							MIR125B1		ZNF229				ADAM17		ATG12			FAM96A	TRAV24	
		ATAD3A							MIR34B		ZNF230				TACR1		PTTG1			C15orf48	TRDV1	
		TMEM57							MIR34C		SYMPK				GCFC2		PDLIM7			C15orf41	TRAV23DV6	
		PANK4							DDI1		MIA				TGFA		NREP			SPPL2A	TRAV22	
		CAMK2N1							BLID		DPF1				TIA1		CNOT8			ZFYVE19	TRAV21	
		ASAP3							CARD17		LTBP4				TPO		HAND1			CGNL1	TRAV20	
		PNRC2							HEPN1		TEAD2				TSSC1		MED7			FRMD5	TRAV19	
		PIGV							CLDN25		PPFIA3				UGP2		MYOT			DISP2	TRAV18	
		NBPF1							PATE3		PLA2G4C				VRK2		ADAMTS2			CHRFAM7A	TRAV17	
		NECAP2							MIR4301		NAPA				VSNL1		NRG2			ARHGAP11B	TRAV16	
		DNAJC11							CASP12		SIGLEC5				XDH		CXCL14			DPH6	TRAV14DV4	
		RCC2							MIR4697		FCGBP				XPO1		H2AFY			C15orf57	TRAV10	
		AJAP1							MIR4493		UBE2M				ZAP70		RNF14			KNSTRN	TRAV7	
		MTFR1L							MIR4491		ARHGEF1				ZNF2		SNCAIP			BMF	TRAV6	
		CTNNBIP1							MIR4492		DYRK1B				SLC30A3		TTC37			SHF	TRAV5	
		C1orf63							MIR4693		CYTH2				PXDN		CLINT1			DUOXA1	TRAV4	
		AGTRAP									ZNF235				ALMS1		PCDHGA8			LDHAL6B	TRAV3	
		PITHD1									KCNK6				MOGS		PCDHA9			CHST14	TRAV2	
		NIPAL3									NCR1				RNF103		MATR3			CASC4	RN7SL650P	
		SEPN1									NAPSA				DYSF		MAML1			LACTB	SNORD8	
		PLEKHG5									GMFG				DUSP11		KIAA0141			TUBGCP5	SNORD9	
		LRRC47									KLK4				KLF11		JAKMIP2			TGM7	LINC00641	
		PTCHD2									ZNF432				MAP4K3		PJA2			CATSPER2	RNASE8	
		KIF17									DHX34				NCOA1		DDX46			LEO1	RN7SL189P	
		HES4									SAE1				VAMP8		GFPT2			NIPA1	PNP	
		GRHL3									TRIM28				SUCLG1		SLC23A1			PLA2G4E	RNA5SP382	
		IL22RA1									ZNF256				ASAP2		GNPDA1			TRIM69	RPPH1	
		MIIP									LILRB2				ST3GAL5		SRA1			C15orf43	SNORD126	
		CELA2A									PAK4				SLC5A6		RAD50			C2CD4A	SNORA79|ENSG00000222489.1	
		GPATCH3									TOMM40				EIF2B4		KIF20A			FAM81A	TTC5	
		PRDM16									ZNF211				TAF1B		G3BP1			C15orf65	OR11H7	
		PLA2G2F									RABAC1				NAT8		APBB3			TMCO5A	RNA5SP381	
		CEP85									TRAPPC2P1				COX7A2L		TNIP1			ZSCAN29	RNA5SP380	
		NMNAT1									SPINT2				TMSB10		GNB2L1			TTBK2	OR4Q2	
		VWA1									DLL3				ITGB1BP1		SLU7			CDAN1	snoU13|ENSG00000238492.1	
		PINK1									ZNF274				NRXN1		RGS14			STRC	MED15P6	
		PRAMEF1									ZNF460				OTOF		SEC24A			DYX1C1	LINC00516	
		PRAMEF2									PPP1R13L				CRIPT		CPLX2			OTUD7A	MED15P1	
		NADK									CD3EAP				EIF2AK3		FAXDC2			SPRED1	SERPINA3	
		PHACTR4									RUVBL2				ROCK2		FAM114A2			PGBD4	ACTN1	
		AUNIP									LILRB1				TP53I3		BRD8			ADAL	ACYP1	
		EFHD2									KDELR1				MRPL33		TCERG1			EXD1	AKT1	
		MMEL1									LILRB5				BRE		BTNL3			FSIP1	ANG	
		RSG1									SLC27A5				PREPL		HNRNPA0			RHOV	APEX1	
		MUL1									LILRB4				FEZ2		LMAN2			FAM227B	ARG2	
		NOL9									KLK11				SOCS5		SPINK5			UBR1	ARHGAP5	
		LIN28A									LILRA1				GREB1		SOX30			PATL2	BCL2L2	
		LINC00115									LILRB3				USP34		KIF3A			LPCAT4	BDKRB1	
		MORN1									LILRA3				LAPTM4A		MGAT4B			PLA2G4F	BDKRB2	
		FAM110D									LILRA2				RNF144A		B4GALT7			LRRC57	BMP4	
		DHDDS									HNRNPUL1				SNX17		SYNPO			LYSMD2	ZFP36L1	
		SPSB1									CLASRP				SERTAD2		RHOBTB3			NUTM1	CALM1	
		GLTPD1									KPTN				SUPT7L		RNF44			WDR72	SERPINA6	
		ZNF436									MAP4K1				ARHGAP25		ABLIM3			SLC24A5	CDKN3	
		TAS1R2									KLK8				ACTR2		ELL2			PRTG	CEBPE	
		TAS1R1									PNKP				PREB		HMGXB3			GOLGA6L2	CFL2	
		OR4F16									U2AF2				ACTR1B		TBC1D9B			PLA2G4D	FOXN3	
		ACTL8									ATF5				LRPPRC		ARHGAP26			HERC2P3	CHGA	
		CCNL2									ZFP30				PDIA6		FSTL4			GOLGA6L1	CKB	
		SESN2									PPP6R1				CEBPZ		ATP10B			GOLGA8G	CMA1	
		ESPN									CARD8				MPHOSPH10		N4BP3			GOLGA8I	LTB4R	
		ATAD3B									SIRT2				SMYD5		SEPT8			FBXL22	CRIP1	
		TMEM222									SIPA1L3				CCT7		FAF2			GLDN	CRIP2	
		PLEKHN1									CIC				CCT4		PPIP5K2			FMN1	CTSG	
		USP48									ZC3H4				GNLY		WWC1			USP50	DAD1	
		NBPF3									FBXO46				CDC42EP3		FBXW11			TEX9	COCH	
		LZIC									ETHE1				STAMBP		ACSL6			C15orf52	DIO2	
		TRIM63									RPL13A				TGOLN2		PHF15			TNFAIP8L3	DIO3	
		C1orf170									SYNGR4				CGREF1		LARP1			C2CD4B	DLST	
		SYTL1									LILRA4				B3GNT2		HARS2			GOLGA8EP	DYNC1H1	
		IGSF21									ZIM2				USP39		ZNF346			OR4M2	EIF2S1	
		KIAA2013									CBLC				SIX2		GEMIN5			SHC4	EIF5	
		THAP3									NUP62				VAMP5		PCDHGA12			CTXN2	EML1	
		STPG1									HSPBP1				ARID5A		LRRTM2			C15orf53	ESR2	
		UBXN11									PPP1R15A				PROKR1		CCDC69			C15orf54	ESRRB	
		FBXO44									PLD3				RAB10		PCDHB5			DUOXA2	FKBP3	
		ATPIF1									EML2				GPR75		KLHL3			HERC2P9	FOXG1	
		FHAD1									ZNF324				YWHAQ		TSPAN17			GOLGA8B	FOS	
		FAM46B									KLK5				IMMT		OR4F3			EIF2AK4	FUT8	
