cytoband	16p13.3	4q22.1	6q26	20p12.1	16q23.1	1p33	3p14.2	5q12.1	3q26.31	18q21.2	1p36.11	6p25.3	4q35.1	10q21.1	8p22	10q23.31	5q22.2	18q12.2	8p23.2	7q31.1	17p12	19p13.3	21q11.2	5q21.1	15q22.33	22q13.32	18q22.1	15q21.1	15q15.2	15q11.2	17q24.3	9p21.3	18p11.31	14q31.1	10q25.2	8q11.1	12p13.2	1p13.1	2q22.1	10p15.3	4p16.2	2p21	3p26.1	13q14.13	
																														NIPA1				SNORD56B	OAT		CLEC7A	MIR186	SMPD4		USP17L29		SGOL1	PCDH17	
																														TMCO5A				RN7SL77P	PAX2		BCL2L14	RN7SL242P	PRPF40A		USP17L30		PP2D1	RGCC	
																														OTUD7A				ADAM20P1	PDE6C		NANOG	PIN1P1	IWS1		PSAPL1		EFHB	MED4	
																														SPRED1				SYNJ2BP	PGAM1		APOLD1	RN7SL538P	LIMS2		USP17L10		CPNE9	DNAJC15	
																														PGBD4				ADAM21P1	PITX3		GSG1	MIR1262	MBD5		USP17L11		FGD5	ALG5	
																														FSIP1				SNORA11|ENSG00000221060.1	PNLIP		CDCA3	RN7SL392P	ARHGAP15		USP17L12		CNTN4	VPS36	
																														LPCAT4				SLC10A1	PNLIPRP1		RBP5	RNU4ATAC4P	RPRM		USP17L13		SUMF1	PHF11	
																														NUTM1				CCDC177|ENSG00000267909.1	PNLIPRP2		SPSB2	SNORA31|ENSG00000252433.1	UGGT1		USP17L17		RPUSD3	UFM1	
																														GOLGA6L2				CCDC177|ENSG00000255994.1	HTRA1		RERG	MIR3117	SLC4A10		USP17L18		PRRT3	ENOX1	
																														HERC2P3				ERH	PSD		CLEC6A	RN7SL854P	ERMN		USP17L19		TPRXL	RCBTB1	
																														GOLGA6L1				RN7SL224P	PTPRE		C12orf57	snoU13|ENSG00000238931.1	IFIH1		USP17L20		MIR563	NUDT15	
																														GOLGA8G				RN7SL108P	ALDH18A1		LOH12CR1	LEPROT	SAP130		USP17L21		MIR378B	KIAA1704	
																														GOLGA8I				RN7SL706P	RBP4		TMEM52B	MIR4794	GTDC1		USP17L22		MIR3714	SUPT20H	
																														FMN1				RN7SL213P	RGS10		HIST4H4	RN7SL130P	TTC21B		MIR548I2		MIR4791	THSD1	
																														GOLGA8EP				U3|ENSG00000252792.1	SCD		SLC2A14	DLEU2L	CSRNP3		MIR378D1		MIR4790	CYSLTR2	
																														OR4M2				RN7SL369P	SFRP5		A2ML1	RN7SL488P	MZT2B		MIR4800			SPRYD7	
																														C15orf53				ATP6V1D	FBXW4		CLEC12A	LINC00466	MAP3K19					COG6	
																														C15orf54				MIR4706	SLC18A2		CLECL1	RNA5SP49	THSD7B					KLHL1	
																														HERC2P9				FNTB	SLIT1		CLEC4C	RN7SL180P	TMEM163					PCDH20	
																														GOLGA8B				ZBTB25	TAF5		TAS2R43	RN7SL475P	AMMECR1L					SMIM2	
																														GOLGA8N				U3|ENSG00000200693.1	TCF7L2		TAS2R31	RN7SL713P	ZRANB3					NAA16	
																														POTEB2				WDR89	TECTB		TAS2R46	RN7SKP291	RAB6C					RNASEH2B	
																														MIR4508				SCARNA20|ENSG00000252800.1	TLL2		TAS2R19	ABCA4	CCDC115					DHRS12	
																														MIR4510				RN7SL540P	UROS		TAS2R50	ACADM	MKI67IP					KIAA0226L	
																														POTEB				PPP2R5E	WNT8B		CD163L1	ADORA3	SFT2D3					PROSER1	
																																		GPHB5	XPNPEP1		CLEC9A	AGL	TANC1					TDRD3	
																																		LINC00644	SHOC2		C12orf36	AK4	KCNH7					CDADC1	
																																		LINC00643	ADAM12		CLEC4D	AMPD1	CCDC74A					CAB39L	
																																		SNORD112|ENSG00000252380.1	UTF1		ACSM4	AMPD2	CCDC74B					DIAPH3	
																																		SIX1	EIF3A		TAS2R42	AMY1A	DAPL1					CCDC70	
																																		U3|ENSG00000253014.1	GBF1		DPPA3	AMY1B	IMP4					COG3	
																																		SIX6	LDB1		NANOGNB	AMY1C	TUBA3E					SETDB2	
																																		MIR5586	BTRC		CLEC2A	AMY2A	TUBA3D					EBPL	
																																		JKAMP	PKD2L1		CLEC12B	AMY2B	FMNL2					KBTBD6	
																																		GPR135	INA		LINC00937	RHOC	GALNT13					EPSTI1	
																																		ACTR10	PDLIM1		MIR141	ATP1A1	LYPD1					ARL11	
																																		RN7SL598P	SMC3		MIR200C	BCL9	XIRP2					WDFY2	
																																		C14orf37	NEURL		ZNF705A	BRDT	CNTNAP5					CSNK1A1L	
																																		SERPINA3	BUB3		SMCO3	C8A	ACMSD					PRR20A	
																																		ACTN1	LGI1		PRB2	C8B	FAM168B					FAM216B	
																																		ACYP1	NOLC1		MIR614	CAPZA1	ACVR1C					LACC1	
																																		AKT1	GSTO1		SLC15A5	CASQ2	LYPD6					HNRNPA1L2	
																																		ARG2	BAG3			CD2	LYPD6B					DGKH	
																																		BDKRB1	SH3PXD2A			CD53	CCDC148					CCDC122	
																																		BDKRB2	FAM53B			CD58	ARL6IP6					STOML3	
																																		ZFP36L1	SLK			CHI3L2	SLC38A11					FAM194B	
																																		CALM1	DCLRE1A			CLCA1	WDSUB1					SPERT	
																																		SERPINA6	FRAT1			CNN3	UPP2					FAM124A	
																																		FOXN3	ACTR1A			COL11A1	AMER3					LRRC63	
																																		CHGA	NPM3			CRYZ	SPOPL					SLC25A30	
																																		CKB	GLRX3			CSF1	CYP27C1					SIAH3	
																																		CRIP1	DPYSL4			CTH	NCKAP5					KCNRG	
																																		CRIP2	TACC2			CYP2J2	GPR148					FREM2	
																																		DIO2	SORBS1			DAB1	RBM43					NEK5	
																																		DIO3	MGEA5			DBT	C2orf27B					KCTD4	
																																		DLST	PRDX3			GADD45A	POTEE					NHLRC3	
																																		DYNC1H1	VAX1			DPYD	ANKRD30BL					SERP2	
																																		EIF2S1	ATE1			S1PR1	CFC1B					SERTM1	
																																		EIF5	SEC23IP			CELSR2	POTEJ					DLEU2	
																																		EML1	RAB11FIP2			EXTL2	MZT2A					ALG11	
																																		ESR2	INPP5F			F3	POTEF					SERPINE3	
																																		ESRRB	NT5C2			FCGR1A	MIR663B					MIR621	
																																		FOS	PDCD11			FMO5	MIR3679					CCDC169	
																																		FUT8	SORCS3			GBP1	MIR4783					PRR20B	
																																		GALC	PPRC1			GBP2						PRR20C	
																																		GPX2	FAM175B			GBP3						PRR20D	
																																		GSTZ1	RRP12			GFI1						PRR20E	
																																		GTF2A1	TBC1D12			GJA5						MIR759	
																																		BRF1	DNMBP			GJA8						MIR320D1	
																																		HIF1A	FRAT2			GNAT2						MIR3168	
																																		HSPA2	DPCD			GNG5						MIR4305	
																																		HSP90AA1	SEC31B			GSTM1						MIR3169	
																																		IFI27	ATRNL1			GSTM2						MIR3613	
																																		ITPK1	C10orf137			GSTM3						SPG20OS	
																																		JAG2	TCTN3			GSTM4						SOHLH2	
																																		KLC1	C10orf12			GSTM5						MIR4704	
																																		LTBP2	ANKRD2			GTF2B						MIR548X2	
																																		MARK3	CNNM1			HMGCS2						MIR4703	
																																		MAX	MYOF			HSD3B1						MIR5007	
																																		ATXN3	PDCD4			HSD3B2						MIR5693	
																																		MAP3K9	VENTX			IGSF3							
																																		ALDH6A1	R3HCC1L			CYR61							
																																		MNAT1	POLL			IL12RB2							
																																		MTHFD1	BLNK			JAK1							
																																		SERPINA5	KCNIP2			JUN							
																																		PGF	CUZD1			KCNA2							
																																		SERPINA1	CALY			KCNA3							
																																		SERPINA4	CALHM2			KCNA10							
																																		PIGH	CUTC			KCNC4							
																																		PPM1A	PLCE1			KCND3							
																																		PPP2R5C	CHST15			TACSTD2							
																																		PRKCH	SUFU			MOV10							
																																		LGMN	ACSL5			MSH4							
																																		PSEN1	CCNJ			NFIA							
																																		PSMA3	ZRANB1			NGF							
																																		PSMC1	TTC40			NHLH2							
																																		ABCD4	NSMCE4A			NOTCH2							
																																		RAD51B	CNNM2			NRAS							
																																		MOK	WBP1L			ROR1							
																																		ARID4A	C10orf118			OVGP1							
																																		RTN1	CRTAC1			PDE4B							
																																		SEL1L	CEP55			PDZK1							
																																		SRSF5	CWF19L1			PGM1							
																																		SLC8A3	PI4K2A			PRKAA2							
																																		SNAPC1	WDR11			PRKAB2							
																																		SPTB	FAM178A			PRKACB							
																																		TNFAIP2	DHX32			PKN2							
																																		TRAF3	TDRD1			PSMA5							
																																		TSHR	BCCIP			PTGER3							
																																		VRK1	C10orf2			PTGFR							
																																		WARS	TM9SF3			PTGFRN							
																																		XRCC3	AS3MT			ABCD3							
																																		DPF3	GPAM			RABGGTB							
																																		GPR68	KIAA1598			RAP1A							
																																		TCL1A	FAM160B1			RPE65							
																																		NUMB	SEMA4G			RPL5							
																																		ADAM21	PLEKHA1			SORT1							
																																		ADAM20	AVPI1			SARS							
																																		DLK1	FAM204A			SLC16A1							
																																		DCAF5	LHPP			STXBP3							
																																		ALKBH1	MMS19			SYCP1							
																																		EIF2B2	NOC3L			TBX15							
																																		MTA1	IKZF5			TGFBR3							
																																		PNMA1	ZDHHC6			TSHB							
																																		RPS6KA5	CUEDC2			USP1							
																																		TRIP11	FBXL15			VCAM1							
																																		AKAP5	C10orf76			CSDE1							
																																		SPTLC2	HPS6			EVI5							
																																		BAG5	TMEM180			CDC7							
																																		C14orf2	MCMBP			HIST2H2AC							
																																		CDC42BPB	C10orf95			HIST2H2BE							
																																		TCL1B	PLEKHS1			HIST2H4A							
																																		RGS6	PDZD7			BCAR3							
																																		KIAA0247	C10orf88			ITGA10							
																																		KIAA0586	UBTD1			LMO4							
																																		AREL1	WDR96			CDC14A							
																																		TECPR2	LRRC27			PPAP2B							
																																		GOLGA5	TRIM8			RTCA							
																																		MED6	SFXN3			FPGT							
																																		GPHN	SLC25A28			PEX11B							
																																		VTI1B	ELOVL3			FUBP1							
																																		FBLN5	MARVELD1			BCL10							
																																		BATF	PCGF6			DIRAS3							
																																		SIVA1	LOXL4			SLC16A4							
																																		NPC2	ZDHHC16			SRSF11							
																																		AHSA1	GPR123			CD101							
																																		CYP46A1	LZTS2			ZRANB2							
																																		PAPOLA	LCOR			CHD1L							
																																		ACOT2	MRPL43			CLCA3P							
																																		TMED10	AFAP1L2			CLCA2							
																																		PTPN21	PYROXD2			HS2ST1							
																																		VASH1	USMG5			PDE4DIP							
																																		ZBTB1	ARHGAP19			DNAJC6							
																																		SNW1	KNDC1			LPPR4							
																																		PCNX	MTG1			SV2A							
																																		DAAM1	BBIP1			RBM8A							
																																		TTLL5	FANK1			INSL5							
																																		RCOR1	OPALIN			PIGK							
																																		SYNE2	SYCE1			TSPAN2							
																																		PACS2	HOGA1			INADL							
																																		ANGEL1	SORCS1			BCAS2							
																																		PPP1R13B	PRAP1			WARS2							
																																		DICER1	ZNF511			CEPT1							
																																		ZFYVE26	C10orf90			PIAS3							
																																		TTC9	BTBD16			VAV3							
																																		FLRT2	FAM24A			LAMTOR5							
																																		PLEKHG3	PSTK			IFI44							
																																		SIPA1L1	PIK3AP1			POLR3C							
																																		DCAF4	MORN4			TXNIP							
																																		KIF26A	ZFYVE27			AP4B1							
																																		TMEM251	MMP21			PHTF1							
																																		PLEK2	FRA10AC1			AHCYL1							
																																		TIMM9	C10orf32			IFI44L							
																																		TCL6	GSTO2			ADAM30							
																																		MLH3	SFR1			CD160							
																																		KCNH5	CALHM3			GLMN							
																																		GPR132	CLRN3			HHLA3							
																																		POMT2	PNLIPRP3			DDX20							
																																		COQ6	SFXN4			CLCA4							
																																		FCF1	CPXM2			MTF2							
																																		RDH11	C10orf129			NTNG1							
																																		SERPINA10	TRUB1			WDR47							
																																		COX16	VTI1A			USP33							
																																		DACT1	C10orf82			CLCC1							
																																		EVL	CACUL1			SLC35D1							
																																		GSKIP	SLC35G1			LPHN2							
																																		CINP	CCDC147			KIAA1107							
																																		DHRS7	PWWP2B			USP24							
																																		ASB2	PPAPDC1A			ITGB3BP							
																																		SIX4	PAOX			SLC35A3							
																																		ZFYVE1	FAM24B			LRRC8B							
																																		CPSF2	EBF3			LPAR3							
																																		CDCA4	CALHM1			DDAH1							
																																		NRDE2	CASC2			NBPF14							
																																		ATG2B	TCERG1L			RWDD3							
																																		UBR7	HSPA12A			ZZZ3							
																																		EXD2	FUOM			SERBP1							
																																		VRTN	JAKMIP3			PTPN22							
																																		SLC39A9	STK32C			PHGDH							
																																		FLVCR2	RBM20			AK5							
																																		GPATCH2L	FFAR4			FOXD3							
																																		SMEK1	KCNK18			CHIA							
																																		BTBD7	NANOS1			ANGPTL3							
																																		TDP1	HMX3			GPSM2							
																																		ZNF839	CCDC172			ALG6							
																																		SPATA7	CC2D2B			SLC25A24							
																																		YLPM1	ARMS2			TMED5							
																																		KCNK13	TEX36			BOLA1							
																																		DDX24	C10orf120			SH3GLB1							
																																		ADCK1	FOXI2			HAO2							
																																		TMEM63C	GOLGA7B			HOOK1							
																																		RHOJ	C10orf85			SNX7							
																																		GALNT16	C10orf62			GPR89B							
																																		PLEKHH1	FRG2B			TRIM33							
																																		TRMT5	SPRN			GPR88							
																																		UNC79	MIR146B			TRMT13							
																																		BEGAIN	MIR202			L1TD1							
																																		PPP4R4	FAM196A			RSBN1							
																																		ZNF410	MIR607			ZNHIT6							
																																		NGB	TLX1NB			LEPR							
																																		RBM25	C10orf131			GDAP2							
																																		VIPAS39	MIR1307			FAM46C							
																																		SMOC1	MIR2110			PALMD							
																																		MOAP1	MIR378C			FNBP1L							
																																		IRF2BPL	MIR3157			ST7L							
																																		MPP5	MIR3663			PRPF38B							
																																		INF2	MIR4680			LRRC8D							
																																		PCNXL4	MIR4682			PRMT6							
																																		BCL11B	MIR4484			RAVER2							
																																		OTUB2	LINC00601			FGGY							
																																		ZFYVE21				MCOLN3							
																																		WDR25				SLC22A15							
																																		LINC00341				RNPC3							
																																		ZC2HC1C				LRRC40							
																																		CLMN				DEPDC1							
																																		CATSPERB				LRIF1							
																																		ZC3H14				CTTNBP2NL							
																																		RIN3				FAM212B							
																																		C14orf159				GNG12							
																																		CCDC176				CCBL2							
																																		TMEM121				OLFML3							
																																		SGPP1				AMIGO1							
																																		AMN				ODF2L							
																																		SLIRP				LRRC7							
																																		DNAL1				CACHD1							
																																		RPS6KL1				MIER1							
																																		SYT16				PTBP2							
																																		IFI27L2				DNASE2B							
																																		SETD3				ELTD1							
																																		HHIPL1				HIAT1							
																																		C14orf142				RBM15							
																																		STON2				DCLRE1B							
																																		KIAA1737				WDR77							
																																		PAPLN				EPS8L3							
																																		FAM181A				VTCN1							
																																		BTBD6				WDR78							
																																		EFCAB11				WLS							
																																		CHURC1				SIKE1							
																																		ELMSAN1				TRIM45							
																																		NEK9				ANKRD13C							
																																		EXOC3L4				VANGL1							
																																		WDR20				GPR61							
																																		IFT43				TM2D1							
																																		L3HYPDH				REG4							
																																		AHNAK2				SYDE2							
																																		TRMT61A				ZNF644							
																																		TDRD9				LRRC8C							
																																		ANKRD9				SGIP1							
																																		AK7				POLR3GL							
																																		IFI27L1				PROK1							
																																		PLD4				EFCAB7							
																																		ADSSL1				PSRC1							
																																		NOXRED1				ATG4C							
																																		JDP2				STRIP1							
																																		TTC8				DOCK7							
																																		TC2N				ZNF697							
																																		SLC25A29				NEXN							
																																		RDH12				HENMT1							
																																		GSC				MYSM1							
																																		SERPINA12				OMA1							
																																		PRIMA1				GBP4							
																																		PPP1R36				GBP5							
																																		SLC38A6				SSX2IP							
																																		PTGR2				OLFM3							
																																		FAM161B				WDR63							
																																		C14orf166B				MAB21L3							
																																		ISM2				SLC44A3							
																																		CEP128				ATXN7L2							
																																		TTC7B				C1orf194							
																																		FAM71D				ASB17							
																																		TMEM229B				TYW3							
																																		SYNE3				C1orf173							
																																		TMEM30B				LRRIQ3							
																																		EML5				LRRC39							
																																		NUDT14				C1orf87							
																																		LINC00521				LIX1L							
																																		SERPINA11				DRAM2							
																																		PROX2				PIFO							
																																		ZDHHC22				C1orf162							
																																		C14orf178				SYT6							
																																		C14orf177				SAMD13							
																																		SLC25A47				TMEM56							
																																		LINC00523				NBPF4							
																																		CEP170B				UBE2U							
																																		C14orf80				HFE2							
																																		C14orf39				ANKRD35							
																																		CCDC85C				SLC30A7							
																																		SERPINA9				NBPF12							
																																		VSX2				IL23R							
																																		LRRC9				CHIAP2							
																																		COX8C				FNDC7							
																																		ASPG				KANK4							
																																		RAB15				SASS6							
																																		TOMM20L				PPIAL4A							
																																		SERPINA13P				HFM1							
																																		C14orf64				UBL4B							
																																		RTL1				C1orf168							
																																		TMEM179				NBPF11							
																																		HEATR4				TCTEX1D1							
																																		PLEKHD1				SPAG17							
																																		C14orf180				HIPK1							
																																		MIR127				SLC44A5							
																																		MIR136				EPHX4							
																																		MIR154				AKNAD1							
																																		MIR203				MCOLN2							
																																		LINC00238				COL24A1							
																																		CCDC88C				MAGI3							
																																		MIR323A				FAM19A3							
																																		MIR337				NBPF16							
																																		MIR345				FAM102B							
																																		MIR370				SYPL2							
																																		MIR381				CYB561D1							
																																		MIR431				ANKRD34A							
																																		MIR323B				ZNF326							
																																		MIR409				BTBD8							
																																		MIR412				HIST2H2AB							
																																		MIR410				PPM1J							
																																		MIR493				CCDC18							
																																		MIR432				MYBPHL							
																																		MIR494				FAM73A							
																																		MIR495				GBP7							
																																		MIR496				C1orf146							
																																		MIR487A				FAM69A							
																																		ACOT1				SLC6A17							
																																		ACOT6				C1orf137							
																																		SYNDIG1L				NOTCH2NL							
																																		RD3L				FRRS1							
																																		TEX22				C1orf141							
																																		MIR539				NBPF9							
																																		MIR544A				MIR197							
																																		MIR487B				LHX8							
																																		MIR411				C1orf180							
																																		MIR625				HIST2H2BF							
																																		MIR654				RBMXL1							
																																		MIR655				HIST2H4B							
																																		MIR656				PPIAL4G							
																																		CCDC175				PPIAL4D							
																																		MIR758				NBPF6							
																																		MIR770				PPIAL4B							
																																		MIR300				GPR89A							
																																		MIR541				PPIAL4C							
																																		MIR665				HIST2H3D							
																																		MIR543				FAM72B							
																																		MIR889				HIST2H2AA4							
																																		DIO3OS				FAM72D							
																																		MIR1260A				GPR89C							
																																		MIR1197				MIR760							
																																		MIR548H1				NBPF20							
																																		MIR1193				MIR320B1							
																																		MIR4309				MIR3671							
																																		MIR3173				TNNI3K							
																																		MIR4505				MIR4422							
																																		MIR4708				MIR378G							
																																		MIR151B				MIR4711							
																																		MIR4710				MIR137HG							
																																		MIR2392				MIR4423							
																																		MIR5694											
