cytoband	9p21.3	11p15.1	19q13.42	2q37.3	10q26.3	4q34.3	14q24.3	13q14.2	11p15.5	Xq21.1	5q34	1p36.32	1p32.3	5p15.33	3q29	3p21.31	12q12	18q23	6p25.3	22q13.31	8q24.3	9p23	6q22.31	7p22.3	3q13.31	1q43	13q34	12p13.1	6q26	
			MIR526B				DCAF4				MIR1303					SCAP							DYNLT1		IQCB1	SRP9			PDE10A	
			MIR519B				PLEK2				MIR3141					EXOSC7							TNFAIP3		DZIP3	TARBP1			RAB32	
			MIR525				MLH3				MIR3912					RAD54L2							TPD52L1		TOMM70A	TBCE			KATNA1	
			MIR523				KCNH5				MIR4634					STAB1							UTRN		CD96	TGFB2			SCAF8	
			MIR518F				POMT2				MIR378H					NBEAL2							EZR		STAG1	LEFTY2			TAB2	
			MIR520B				COQ6									KLHL18							VIP		TFG	TLR5			SASH1	
			MIR518B				FCF1									LARS2							EPM2A		ST3GAL6	GPR137B			SYNE1	
			MIR526A1				RDH11									NAT6							DDO		POLQ	TP53BP2			CCDC28A	
			MIR520C				COX16									ABHD14A							CD164		ALDH1L1	TRAF5			MTHFD1L	
			MIR518C				ZFYVE1									POC1A							WISP3		PDIA5	TSNAX			MOXD1	
			MIR524				CPSF2									TMEM158							SYNJ2		TOPBP1	USH2A			IPCEF1	
			MIR517A				NRDE2									PTPN23							VNN2		HHLA2	ZNF124			TIAM2	
			MIR519D				EXD2									DNAH1							VNN1		MRPL3	HIST3H3			C6orf123	
			MIR520D				VRTN									GNL3							WASF1		FILIP1L	GNPAT			FBXO5	
			MIR517B				SLC39A9									SPCS1							TAAR5		MGLL	CDC42BPA			RGS17	
			MIR520G				FLVCR2									SETD2							MAP7		COPG1	DEGS1			PDE7B	
			MIR516B2				GPATCH2L									PRSS50							LATS1		MYH15	KMO			DLL1	
			MIR526A2				SMEK1									RBM15B							TAAR2		TMCC1	TAF1A			MRPL18	
			MIR518E				TDP1									GMPPB							MED23		PLXND1	EXO1			CLDN20	
			MIR518A1				SPATA7									C3orf18							AKAP7		DNAJC13	GGPS1			NOX3	
			MIR518D				YLPM1									SHISA5							WTAP		C3orf27	TMEM63A			AIG1	
			MIR516B1				KCNK13									ZMYND10							AKAP12		ANAPC13	TOMM20			SNX9	
			MIR518A2				ADCK1									TEX264							PHACTR2		C3orf17	URB2			MPC1	
			MIR517C				TMEM63C									TMA7							BCLAF1		ABI3BP	CEP170			HECA	
			MIR520H				RHOJ									ZNF589							ZBTB24		ZBTB20	LPGAT1			IL20RA	
			MIR522				GALNT16									HEMK1							FIG4		OR5K1	AKT3			UNC93A	
			MIR519A1				PLEKHH1									IP6K2							UST		OR5H1	BPNT1			MTRF1L	
			MIR527				ZNF410									SFMBT1							TRDN		FAM162A	ZBTB18			AHI1	
			MIR516A1				NGB									NCKIPSD							CITED2		NPHP3	LEFTY1			RMND1	
			MIR516A2				RBM25									PHF7							TRAF3IP2		ATP2C1	SPHAR			PHF10	
			MIR519A2				VIPAS39									TLR9							HBS1L		ZBTB11	CAPN9			VNN3	
			SBK2				SMOC1									LZTFL1							SMPDL3A		MORC1	SDCCAG8			C6orf70	
			SHISA7				IRF2BPL									P4HTM							RAB32		ACAD9	DUSP10			ECHDC1	
			SGK110				MPP5									SLC6A20							KATNA1		ASTE1	COG2			AGPAT4	
			MIR1323				ZC2HC1C									ELP6							SCAF8		KLF15	RBM34			TULP4	
			ZNF865				CATSPERB									QRICH1							CDK19		GTPBP8	FBXO28			GPR126	
			MIR4752				ZC3H14									DALRD3							TAB2		TAGLN3	ABCB10			KIAA1244	
							C14orf159									PBRM1							TSPYL4		SEC61A1	OPN3			NHSL1	
							CCDC176									IL17RB							SASH1		PIK3R4	RAB3GAP2			PLEKHG1	
							SGPP1									DCP1A							SYNE1		PODXL2	INTS7			ARID1B	
							SLIRP									GLT8D1							HEY2		TRAT1	AHCTF1			TMEM181	
							DNAL1									ZKSCAN7							ASF1A		IMPG2	NSL1			ZBTB2	
							RPS6KL1									SEMA3G							CCDC28A		PLA1A	OR2M4			ABRACL	
							SYT16									KIF15							MTHFD1L		AMOTL2	OR2L2			PBOV1	
							STON2									PCBP4							MOXD1		ACKR4	OR2T1			PERP	
							KIAA1737									KIAA1143							IPCEF1		RAB6B	RPS6KC1			SMOC2	
							PAPLN									SELK							TIAM2		FBXO40	TAF5L			ALDH8A1	
							EFCAB11									RNF123							FBXO5		IL20RB	DISC1			ULBP3	
							CHURC1									KIF9							RGS17		SEMA5B	FLVCR1			OR2A4	
							ELMSAN1									CDCP1							PDE7B		WDR5B	CNIH4			C6orf211	
							NEK9									CCDC71							SESN1		PARP14	PYCR2			ZDHHC14	
							IFT43									NT5DC2							MRPL18		GRAMD1C	NENF			ADGB	
							NOXRED1									SLC26A6							DSE		ROPN1	RRP15			FRMD1	
							JDP2									CAMKV							CLDN20		SIDT1	DESI2			LINC00574	
							TTC8									LRRC2							NOX3		TRMT10C	SCCPDH			CCDC170	
							TC2N									FYCO1							HDDC2		SLC41A3	TRIM17			MYCT1	
							RDH12									CCDC51							TUBE1		TMEM45A	KCTD3			ULBP2	
							PPP1R36									WDR82							CDC40		IFT57	DTL			ULBP1	
							PTGR2									ATRIP							RWDD1		MSL2	ARID4B			LPAL2	
							FAM161B									NICN1							AIG1		DPPA4	EGLN1			PPP1R14C	
							C14orf166B									MON1A							SNX9		TMEM39A	MAP10			RNF146	
							ISM2									ABHD14B							HECA		ABHD10	MARC2			SF3B5	
							CEP128									UCN2							IL20RA		CDV3	SUSD4			TAAR8	
							TTC7B									ZNF502							MTRF1L		IFT122	KIF26B			RSPH3	
							FAM71D									RFT1							AHI1		TBC1D23	GPATCH2			L3MBTL3	
							TMEM229B									ACTR8							RMND1		WDR52	HEATR1			FAM120B	
							EML5									ZNF501							VNN3		EAF2	TMEM206			FNDC1	
							PROX2									GPR62							ECHDC1		CLDND1	BATF3			LRP11	
							ZDHHC22									TMEM42							AGPAT4		MUC13	ZNF692			LTV1	
							C14orf178									IQCF1							TULP4		C3orf37	IARS2			SERAC1	
							VSX2									GLYCTK							GOPC		POGLUT1	ENAH			REPS1	
							RAB15									PPM1M							GPR126		BBX	NUP133			PPIL4	
							HEATR4									LSMEM2							KIAA1244		PCNP	RCOR3			ARHGAP18	
							PLEKHD1									CCDC12							NHSL1		SENP7	ERO1LB			SYTL3	
							LINC00238									KLHDC8B							PLEKHG1		HEG1	FMN2			MTFR2	
							CCDC88C									ALS2CL							ARID1B		KIAA1257	SMYD2			TMEM200A	
							ACOT1									TMIE							SERINC1		ARHGAP31	ADCK3			IL22RA2	
							ACOT6									FBXW12							TMEM181		KIAA1407	ZNF695			SLC18B1	
							SYNDIG1L									TCAIM							ZBTB2		KIAA1524	GJC2			TAGAP	
							MIR625									CCDC36							ABRACL		SRPRB	SIPA1L2			TAAR9	
							MIR1260A									PRSS42							PBOV1		EEFSEC	RHOU			TAAR1	
							MIR548H1									ZNF445							TRMT11		POPDC2	TFB2M			PACRG	
							MIR4505									TOPAZ1							PERP		NFKBIZ	GREM2			RAET1E	
							MIR4708									TMEM110							ALDH8A1		ATG3	ACBD3			ZC2HC1B	
							MIR5694									AMIGO3							MICAL1		CCDC14	SMYD3			RAET1L	
																CDHR4							ULBP3		TMEM108	MARC1			SAMD3	
																FAM212A							OR2A4		OR5H6	ARV1			PNLDC1	
																IQCF2							C6orf211		OR5H2	AIDA			OLIG3	
																IQCF5							FAM184A		ZXDC	JMJD4			TXLNB	
																IQCF3							ZDHHC14		ZBED2	C1orf35			DACT2	
																MIR135A1							ADGB		CEP97	TTC13			C6orf118	
																MIR191							CCDC170		HSPBAP1	PGBD5			OSTCP1	
																MIR425							MYCT1		C3orf52	C1orf115			TMEM244	
																SPINK8							ULBP2		QTRTD1	HHIPL2			WDR27	
																ARIH2OS							ULBP1		EFCC1	VASH2			SHPRH	
																C3orf84							LPAL2		NEK11	ZNF669			PRR18	
																CCR2							PPP1R14C		UBA5	ZNF672			TAAR6	
																PRSS46							RNF146		C3orf36	PCNXL2			SLC35D3	
																MIR4271							SF3B5		NAA50	WDR26			ECT2L	
																MIR4787							TAAR8		CEP63	SH3BP5L			NUP43	
																MIR4443							RSPH3		ABTB1	OR2L5			C6orf58	
																							ARMC2		SLC35G2	OR2G3			RAET1G	
																							L3MBTL3		OR5AC2	OR2G2			SUMO4	
																							FNDC1		PARP9	OR2C3			CENPW	
																							LRP11		ARL6	TRIM11			SOGA3	
																							LTV1		ACAD11	MIXL1			C6orf120	
																							SERAC1		CHCHD6	SPRTN			THEMIS	
																							REPS1		CMSS1	OBSCN			SAMD5	
																							PPIL4		SLC12A8	EFCAB2			IYD	
																							SLC22A16		RETNLB	MLK4			TCP10L2	
																							ARHGAP18		CCDC54	LINC00467			LINC00242	
																							SYTL3		MINA	ZNF496			GTF2H5	
																							GTF3C6		GPR128	C1orf198			CTAGE9	
																							MTFR2		DIRC2	DISP1			MIR548A2	
																							TMEM200A		MAATS1	WNT3A			MIR588	
																							NUS1		PHLDB2	ANGEL2			TMEM242	
																							IL22RA2		EFCAB12	HIST3H2A			MIR1202	
																							SLC18B1		BOC	NLRP3			MIR1273C	
																							SLC16A10		NXPE3	COX20			MIR3918	
																							TAGAP		TXNRD3	SNAP47			MIR3939	
																							TAAR9		OSBPL11	CCSAP			MIR3668	
																							TAAR1		LRRC58	LYPLAL1			SMLR1	
																							NCOA7		CPNE4	OR2M5			MIR4466	
																							HINT3		CCDC58	OR2M3			MIR4465	
																							RAET1E		ZPLD1	OR2T12			MIR548AJ1	
																							ZC2HC1B		CD200R1	OR14C36			MIR548H5	
																							RAET1L		DCBLD2	OR2T34				
																							SAMD3		TPRA1	OR2T10				
																							PNLDC1		UROC1	OR2T4				
																							RNF217		NUDT16	OR2T11				
																							NKAIN2		COL6A6	DNAH14				
																							OLIG3		H1FOO	OR2B11				
																							TXLNB		DTX3L	WDR64				
																							OSTCP1		DPPA2	C1orf131				
																							AK9		CCDC80	EDARADD				
																							FAM26D		BTLA	MRPL55				
																							ZUFSP		ROPN1B	HIST3H2BB				
																							FAM162B		C3orf22	TATDN3				
																							TBC1D32		SPICE1	BROX				
																							HS3ST5		NUDT16P	SLC35F3				
																							GPRC6A		IGSF11	B3GALNT2				
																							RFX6		C3orf30	GCSAML				
																							SLC35F1		PARP15	CNIH3				
																							VGLL2		DNAJB8	EXOC8				
																							LACE1		GPR156	C1orf227				
																							TMEM244		CHST13	FAM71A				
																							MCM9		KBTBD12	SDE2				
																							SHPRH		ALG1L	CNST				
																							CEP57L1		ARL13B	C1orf65				
																							PPIL6		DHFRL1	PLD5				
																							DCBLD1		GABRR3	C1orf100				
																							TAAR6		TIGIT	IBA57				
																							SLC35D3		KIAA2018	OR2T6				
																							RSPH4A		ZDHHC23	C1orf101				
																							ECT2L		COL6A5	OR2L13				
																							NUP43		PLCXD2	OR14A16				
																							C6orf58		GCSAM	LIN9				
																							RAET1G		EPHA6	PRSS38				
																							SUMO4		RABL3	RD3				
																							CENPW		C3orf56	OR6F1				
																							SOGA3		SLC9C1	OR2W3				
																							CEP85L		ILDR1	OR2T8				
																							THEMIS		RAB43	OR2T3				
																							SAMD5		TMPRSS7	OR2T29				
																							IYD		CD200R1L	IRF2BP2				
																							GTF2H5		LNP1	MIA3				
																							FAM26F		CCDC37	C1orf95				
																							RFPL4B		OR5K2	FAM89A				
																							FAM229B		OR5H14	COA6				
																							CTAGE9		OR5H15	C1orf229				
																							MIR548A2		OR5K3	OR11L1				
																							MIR588		OR5K4	OR2L8				
																							METTL24		STX19	OR2AK2				
																							TMEM242		MIR568	OR2L3				
																							TRAPPC3L		MIR548I1	OR2M2				
																							MIR1202		MIR3921	OR2T33				
																							MIR1273C		ISY1	OR2M7				
																							MIR3144		MIR4445	OR2G6				
																							MIR3918		MIR4796	FAM177B				
																							MIR3668		MIR4788	OR2T2				
																							SMLR1		MIR548AB	OR2T5				
																							MIR4466		MIR4447	OR14I1				
																							MIR4465			OR2T27				
																							MIR548AJ1			OR2T35				
																							MIR548H5			MIR215				
																										TRIM67				
																										MAP1LC3C				
																										OR13G1				
																										C1orf145				
																										C1orf148				
																										MT1HL1				
																										MIR1537				
																										MIR3123				
																										MIR3124				
																										MIR3916				
																										MIR4666A				
