mendelian_disease	cancer	pvalue_onesided	comorbidity	genetic_similarity
Congenital Hirschsprung Disease	Malignant Brain Neoplasm	1	0	0
Congenital Hirschsprung Disease	Melanoma	1	0	0
Congenital Hirschsprung Disease	Prostate Cancer	1	0	0
Congenital Hirschsprung Disease	Uterine Cancer	1	0	0
Congenital Hypogammaglobulinemia	Bladder Cancer	1	0	0
Congenital Hypogammaglobulinemia	Female Breast Cancer	1	0	0
Congenital Hypogammaglobulinemia	Colorectal Cancer	1	1	0
Congenital Hypogammaglobulinemia	Gastric Cancer	0.282425767420265	0	0
Congenital Hypogammaglobulinemia	Kidney Cancer	1	0	0
Congenital Hypogammaglobulinemia	Lung Cancer	1	0	0
Congenital Hypogammaglobulinemia	Malignant Brain Neoplasm	1	0	0
Congenital Hypogammaglobulinemia	Melanoma	1	0	0
Congenital Hypogammaglobulinemia	Prostate Cancer	1	0	0
Congenital Hypogammaglobulinemia	Uterine Cancer	1	0	0
Immunodeficiency with Increased IgM	Bladder Cancer	1	0	0
Immunodeficiency with Increased IgM	Female Breast Cancer	1	0	0
Immunodeficiency with Increased IgM	Colorectal Cancer	1	1	0
Immunodeficiency with Increased IgM	Gastric Cancer	1	0	0
Immunodeficiency with Increased IgM	Kidney Cancer	1	0	0
Immunodeficiency with Increased IgM	Lung Cancer	1	0	0
Immunodeficiency with Increased IgM	Malignant Brain Neoplasm	1	0	0
Immunodeficiency with Increased IgM	Melanoma	1	0	0
Immunodeficiency with Increased IgM	Prostate Cancer	1	0	0
Immunodeficiency with Increased IgM	Uterine Cancer	1	0	0
Inherited Adrenogenital Disorders	Bladder Cancer	1	0	0
Inherited Adrenogenital Disorders	Female Breast Cancer	1	0	0
Inherited Adrenogenital Disorders	Colorectal Cancer	1	1	0
Inherited Adrenogenital Disorders	Gastric Cancer	1	0	0
Inherited Adrenogenital Disorders	Kidney Cancer	1	1	0
Inherited Adrenogenital Disorders	Lung Cancer	1	0	0
Inherited Adrenogenital Disorders	Malignant Brain Neoplasm	1	1	0
Inherited Adrenogenital Disorders	Melanoma	0.0653697419171671	0	0
Inherited Adrenogenital Disorders	Prostate Cancer	0.136882829868589	0	0
Inherited Adrenogenital Disorders	Uterine Cancer	1	0	0
Non-Specific Autosomal Deletion Syndromes	Bladder Cancer	0.144518659553633	0	0
Non-Specific Autosomal Deletion Syndromes	Female Breast Cancer	1	0	0
Non-Specific Autosomal Deletion Syndromes	Colorectal Cancer	1	0	0
Non-Specific Autosomal Deletion Syndromes	Gastric Cancer	0.0809604178419679	0	0
Non-Specific Autosomal Deletion Syndromes	Kidney Cancer	1	1	0
Non-Specific Autosomal Deletion Syndromes	Lung Cancer	1	0	0
Non-Specific Autosomal Deletion Syndromes	Malignant Brain Neoplasm	0.134702362170189	0	0
Non-Specific Autosomal Deletion Syndromes	Melanoma	1	0	0
Non-Specific Autosomal Deletion Syndromes	Prostate Cancer	1	0	0
Non-Specific Autosomal Deletion Syndromes	Uterine Cancer	0.0298070802928085	0	1
Tuberous Sclerosis	Bladder Cancer	0.0340860500188583	0	1
Tuberous Sclerosis	Female Breast Cancer	1	0	0
Tuberous Sclerosis	Colorectal Cancer	1	0	0
Tuberous Sclerosis	Gastric Cancer	1	0	0
Tuberous Sclerosis	Kidney Cancer	1	1	0
Tuberous Sclerosis	Lung Cancer	1	0	0
Tuberous Sclerosis	Malignant Brain Neoplasm	1	1	0
Tuberous Sclerosis	Melanoma	1	1	0
Tuberous Sclerosis	Prostate Cancer	1	0	0
Tuberous Sclerosis	Uterine Cancer	1	0	0
Friedreich Ataxia	Bladder Cancer	1	0	0
Friedreich Ataxia	Female Breast Cancer	1	0	0
Friedreich Ataxia	Colorectal Cancer	1	0	0
Friedreich Ataxia	Gastric Cancer	1	0	0
Friedreich Ataxia	Kidney Cancer	1	0	0
Friedreich Ataxia	Lung Cancer	1	1	0
Friedreich Ataxia	Malignant Brain Neoplasm	1	1	0
Friedreich Ataxia	Melanoma	1	0	0
Friedreich Ataxia	Prostate Cancer	1	0	0
Friedreich Ataxia	Uterine Cancer	1	0	0
Anophthalmos/Micropthalmos	Bladder Cancer	1	0	0
Anophthalmos/Micropthalmos	Female Breast Cancer	1	0	0
Anophthalmos/Micropthalmos	Colorectal Cancer	0.0670205476436106	0	0
Anophthalmos/Micropthalmos	Gastric Cancer	0.0362218725752612	0	1
Anophthalmos/Micropthalmos	Kidney Cancer	1	0	0
Anophthalmos/Micropthalmos	Lung Cancer	1	0	0
Anophthalmos/Micropthalmos	Malignant Brain Neoplasm	0.0203190671390479	1	1
Anophthalmos/Micropthalmos	Melanoma	1	1	0
Anophthalmos/Micropthalmos	Prostate Cancer	1	0	0
Anophthalmos/Micropthalmos	Uterine Cancer	0.356183366184302	0	0
Chondrodystrophy	Bladder Cancer	0.0340860500188583	0	1
Chondrodystrophy	Female Breast Cancer	1	0	0
Chondrodystrophy	Colorectal Cancer	0.132991370107071	0	0
Chondrodystrophy	Gastric Cancer	0.104716164830817	0	0
Chondrodystrophy	Kidney Cancer	1	0	0
Chondrodystrophy	Lung Cancer	1	0	0
Chondrodystrophy	Malignant Brain Neoplasm	0.0316344279377198	1	1
Chondrodystrophy	Melanoma	1	0	0
Chondrodystrophy	Prostate Cancer	1	0	0
Chondrodystrophy	Uterine Cancer	0.0609494681346774	0	0
Chronic Progressive External Ophthalmoplegia	Bladder Cancer	1	0	0
Chronic Progressive External Ophthalmoplegia	Female Breast Cancer	1	0	0
Chronic Progressive External Ophthalmoplegia	Colorectal Cancer	0.132991370107071	0	0
Chronic Progressive External Ophthalmoplegia	Gastric Cancer	0.104716164830817	0	0
Chronic Progressive External Ophthalmoplegia	Kidney Cancer	1	0	0
Chronic Progressive External Ophthalmoplegia	Lung Cancer	1	0	0
Chronic Progressive External Ophthalmoplegia	Malignant Brain Neoplasm	1	1	0
Chronic Progressive External Ophthalmoplegia	Melanoma	1	0	0
Chronic Progressive External Ophthalmoplegia	Prostate Cancer	1	0	0
Chronic Progressive External Ophthalmoplegia	Uterine Cancer	1	0	0
Congenital Hydrocephalus	Bladder Cancer	1	0	0
Congenital Hydrocephalus	Female Breast Cancer	1	0	0
Congenital Hydrocephalus	Colorectal Cancer	0.792082837561861	0	0
Congenital Hydrocephalus	Gastric Cancer	0.333285279882609	0	0
Congenital Hydrocephalus	Kidney Cancer	1	0	0
Congenital Hydrocephalus	Lung Cancer	1	0	0
Congenital Hydrocephalus	Malignant Brain Neoplasm	1	1	0
Congenital Hydrocephalus	Melanoma	0.169709534451886	0	0
Congenital Hydrocephalus	Prostate Cancer	1	0	0
Congenital Hydrocephalus	Uterine Cancer	0.499481689031979	0	0
Familial Dysautonomia	Bladder Cancer	1	0	0
Familial Dysautonomia	Female Breast Cancer	1	0	0
Familial Dysautonomia	Colorectal Cancer	1	0	0
Familial Dysautonomia	Gastric Cancer	1	0	0
Familial Dysautonomia	Kidney Cancer	1	0	0
Familial Dysautonomia	Lung Cancer	1	0	0
Familial Dysautonomia	Malignant Brain Neoplasm	1	1	0
Familial Dysautonomia	Melanoma	1	0	0
Familial Dysautonomia	Prostate Cancer	1	0	0
Familial Dysautonomia	Uterine Cancer	1	0	0
Holoprosencephaly	Bladder Cancer	1	0	0
Holoprosencephaly	Female Breast Cancer	1	0	0
Holoprosencephaly	Colorectal Cancer	0.0354113790873677	0	1
Holoprosencephaly	Gastric Cancer	1	0	0
Holoprosencephaly	Kidney Cancer	1	0	0
Holoprosencephaly	Lung Cancer	1	0	0
Holoprosencephaly	Malignant Brain Neoplasm	1	1	0
Holoprosencephaly	Melanoma	1	0	0
Holoprosencephaly	Prostate Cancer	1	0	0
Holoprosencephaly	Uterine Cancer	0.292455726725485	0	0
Osteogenesis Imperfecta	Bladder Cancer	1	0	0
Osteogenesis Imperfecta	Female Breast Cancer	1	0	0
Osteogenesis Imperfecta	Colorectal Cancer	1	0	0
Osteogenesis Imperfecta	Gastric Cancer	1	0	0
Osteogenesis Imperfecta	Kidney Cancer	0.016311861354385	0	1
Osteogenesis Imperfecta	Lung Cancer	1	0	0
Osteogenesis Imperfecta	Malignant Brain Neoplasm	1	1	0
Osteogenesis Imperfecta	Melanoma	1	0	0
Osteogenesis Imperfecta	Prostate Cancer	1	0	0
Osteogenesis Imperfecta	Uterine Cancer	1	0	0
Specified Anomalies of the Musculoskeletal System	Bladder Cancer	0.201873688291542	0	0
Specified Anomalies of the Musculoskeletal System	Female Breast Cancer	1	0	0
Specified Anomalies of the Musculoskeletal System	Colorectal Cancer	0.224191181395898	0	0
Specified Anomalies of the Musculoskeletal System	Gastric Cancer	0.00402873102225025	0	1
Specified Anomalies of the Musculoskeletal System	Kidney Cancer	1	0	0
Specified Anomalies of the Musculoskeletal System	Lung Cancer	1	0	0
Specified Anomalies of the Musculoskeletal System	Malignant Brain Neoplasm	0.188610144617121	1	0
Specified Anomalies of the Musculoskeletal System	Melanoma	0.104050541827969	0	0
Specified Anomalies of the Musculoskeletal System	Prostate Cancer	1	0	0
Specified Anomalies of the Musculoskeletal System	Uterine Cancer	0.33560443699015	0	0
Congenital Ectodermal Dysplasia	Bladder Cancer	1	0	0
Congenital Ectodermal Dysplasia	Female Breast Cancer	1	0	0
Congenital Ectodermal Dysplasia	Colorectal Cancer	0.657222016405062	0	0
Congenital Ectodermal Dysplasia	Gastric Cancer	0.191650443064001	0	0
Congenital Ectodermal Dysplasia	Kidney Cancer	1	0	0
Congenital Ectodermal Dysplasia	Lung Cancer	0.279452650104212	0	0
Congenital Ectodermal Dysplasia	Malignant Brain Neoplasm	1	0	0
Congenital Ectodermal Dysplasia	Melanoma	1	1	0
Congenital Ectodermal Dysplasia	Prostate Cancer	1	0	0
Congenital Ectodermal Dysplasia	Uterine Cancer	0.0769875867259483	0	0
Disorders of Aromatic Amino Acid Metabolism	Bladder Cancer	1	0	0
Disorders of Aromatic Amino Acid Metabolism	Female Breast Cancer	0.328719021203392	0	0
Disorders of Aromatic Amino Acid Metabolism	Colorectal Cancer	0.702842802986488	0	0
Disorders of Aromatic Amino Acid Metabolism	Gastric Cancer	1	0	0
Disorders of Aromatic Amino Acid Metabolism	Kidney Cancer	1	0	0
Disorders of Aromatic Amino Acid Metabolism	Lung Cancer	1	0	0
Disorders of Aromatic Amino Acid Metabolism	Malignant Brain Neoplasm	1	0	0
Disorders of Aromatic Amino Acid Metabolism	Melanoma	1	1	0
Disorders of Aromatic Amino Acid Metabolism	Prostate Cancer	1	0	0
Disorders of Aromatic Amino Acid Metabolism	Uterine Cancer	1	0	0
