cancer	mendelian_disease	adj_pvalue_threshold	genetic_similarity	comorbidity
Kidney Cancer	Retinitis Pigmentosa	2.22741474644473e-15	1	0
Lung Cancer	Retinitis Pigmentosa	1.76889637272123e-15	1	1
Malignant Brain Neoplasm	Retinitis Pigmentosa	6.92114129291844e-15	1	0
Melanoma	Retinitis Pigmentosa	2.93207886645269e-15	1	1
Prostate Cancer	Retinitis Pigmentosa	4.45369848886818e-15	1	1
Uterine Cancer	Retinitis Pigmentosa	7.29475977673038e-15	1	0
Bladder Cancer	Sensory Retina Dystropies	0.289611591932758	0	0
Female Breast Cancer	Sensory Retina Dystropies	0.200204042732728	0	1
Colorectal Cancer	Sensory Retina Dystropies	0.117764093881674	0	0
Gastric Cancer	Sensory Retina Dystropies	0.155429167930035	0	0
Kidney Cancer	Sensory Retina Dystropies	0.0678944679167533	0	0
Lung Cancer	Sensory Retina Dystropies	0.158855486039971	0	0
Malignant Brain Neoplasm	Sensory Retina Dystropies	0.168606006987938	0	0
Melanoma	Sensory Retina Dystropies	0.150163185506205	0	0
Prostate Cancer	Sensory Retina Dystropies	0.128253164528425	0	0
Uterine Cancer	Sensory Retina Dystropies	0.228139749434154	0	0
Bladder Cancer	Severe Combined Immunodeficiency	4.5189525905546e-06	1	0
Female Breast Cancer	Severe Combined Immunodeficiency	4.12997711262032e-06	1	1
Colorectal Cancer	Severe Combined Immunodeficiency	4.49754626632349e-06	1	1
Gastric Cancer	Severe Combined Immunodeficiency	4.20892139957835e-06	1	0
Kidney Cancer	Severe Combined Immunodeficiency	1.57746023751244e-06	1	1
Lung Cancer	Severe Combined Immunodeficiency	6.99513234779344e-06	1	1
Malignant Brain Neoplasm	Severe Combined Immunodeficiency	1.67877602758797e-06	1	1
Melanoma	Severe Combined Immunodeficiency	4.86463889717144e-06	1	1
Prostate Cancer	Severe Combined Immunodeficiency	1.42117669541156e-06	1	0
Uterine Cancer	Severe Combined Immunodeficiency	3.15769776617737e-06	1	0
Bladder Cancer	Sickle Cell Anemia	0.903868100003541	0	0
Female Breast Cancer	Sickle Cell Anemia	0.931768325229804	0	1
Colorectal Cancer	Sickle Cell Anemia	0.94410557629189	0	1
Gastric Cancer	Sickle Cell Anemia	0.935794642030571	0	1
Kidney Cancer	Sickle Cell Anemia	0.905696532973747	0	1
Lung Cancer	Sickle Cell Anemia	0.924634351745102	0	1
Malignant Brain Neoplasm	Sickle Cell Anemia	0.795838798119004	0	1
Melanoma	Sickle Cell Anemia	0.919411572545412	0	1
Prostate Cancer	Sickle Cell Anemia	0.940802298865226	0	1
Uterine Cancer	Sickle Cell Anemia	0.922048810070409	0	0
Bladder Cancer	Specific Nail Anomalies	0.0114776491621179	1	0
Female Breast Cancer	Specific Nail Anomalies	0.0140020613193191	1	1
Colorectal Cancer	Specific Nail Anomalies	0.0250999254803976	1	0
Gastric Cancer	Specific Nail Anomalies	0.0212302947249808	1	0
Kidney Cancer	Specific Nail Anomalies	0.0308931894540578	1	0
Lung Cancer	Specific Nail Anomalies	0.016125450838073	1	0
Malignant Brain Neoplasm	Specific Nail Anomalies	0.0118148854946234	1	0
Melanoma	Specific Nail Anomalies	0.0229197271700569	1	1
Prostate Cancer	Specific Nail Anomalies	0.0395741681941956	1	0
Uterine Cancer	Specific Nail Anomalies	0.0115822156021844	1	0
Bladder Cancer	Thalassemia	0.0526297341873767	0	0
Female Breast Cancer	Thalassemia	0.092979064161555	0	1
Colorectal Cancer	Thalassemia	0.0694770863054091	0	1
Gastric Cancer	Thalassemia	0.0566747140431278	0	1
Kidney Cancer	Thalassemia	0.0782515249689307	0	1
Lung Cancer	Thalassemia	0.0492966581771778	1	1
Malignant Brain Neoplasm	Thalassemia	0.0374108329619704	1	1
Melanoma	Thalassemia	0.0857441864089596	0	0
Prostate Cancer	Thalassemia	0.0593897072837741	0	1
Uterine Cancer	Thalassemia	0.0635097207453137	0	0
Bladder Cancer	Congenital Hirschsprung Disease	0.97337417281765	0	0
Female Breast Cancer	Congenital Hirschsprung Disease	0.969707341423518	0	0
Colorectal Cancer	Congenital Hirschsprung Disease	0.976714312849065	0	1
Gastric Cancer	Congenital Hirschsprung Disease	0.977837287215638	0	0
Kidney Cancer	Congenital Hirschsprung Disease	0.978316387011899	0	0
Lung Cancer	Congenital Hirschsprung Disease	0.973835671137159	0	0
Malignant Brain Neoplasm	Congenital Hirschsprung Disease	0.974125773181802	0	0
Melanoma	Congenital Hirschsprung Disease	0.9613931889886	0	0
Prostate Cancer	Congenital Hirschsprung Disease	0.974626223365151	0	0
Uterine Cancer	Congenital Hirschsprung Disease	0.980597051918929	0	0
Bladder Cancer	Congenital Hypogammaglobulinemia	0.279093874092552	0	0
Female Breast Cancer	Congenital Hypogammaglobulinemia	0.285066343589998	0	0
Colorectal Cancer	Congenital Hypogammaglobulinemia	0.294289602492978	0	1
Gastric Cancer	Congenital Hypogammaglobulinemia	0.302525521094796	0	0
Kidney Cancer	Congenital Hypogammaglobulinemia	0.139928168675188	0	0
Lung Cancer	Congenital Hypogammaglobulinemia	0.302574988159711	0	0
Malignant Brain Neoplasm	Congenital Hypogammaglobulinemia	0.218056611290299	0	0
Melanoma	Congenital Hypogammaglobulinemia	0.431686744845734	0	0
Prostate Cancer	Congenital Hypogammaglobulinemia	0.101048709803961	0	0
Uterine Cancer	Congenital Hypogammaglobulinemia	0.306416540204467	0	0
Bladder Cancer	Immunodeficiency with Increased IgM	0.672132257941718	0	0
Female Breast Cancer	Immunodeficiency with Increased IgM	0.8615115091497	0	0
Colorectal Cancer	Immunodeficiency with Increased IgM	0.92074107437077	0	1
Gastric Cancer	Immunodeficiency with Increased IgM	0.804405212923127	0	0
Kidney Cancer	Immunodeficiency with Increased IgM	0.783897878512646	0	0
Lung Cancer	Immunodeficiency with Increased IgM	0.860935784250238	0	0
Malignant Brain Neoplasm	Immunodeficiency with Increased IgM	0.652192579723304	0	0
Melanoma	Immunodeficiency with Increased IgM	0.923984406858779	0	0
Prostate Cancer	Immunodeficiency with Increased IgM	0.814717195611724	0	0
Uterine Cancer	Immunodeficiency with Increased IgM	0.834619142563184	0	0
Bladder Cancer	Inherited Adrenogenital Disorders	0.000590475194635186	1	0
Female Breast Cancer	Inherited Adrenogenital Disorders	0.00010665746079121	1	0
Colorectal Cancer	Inherited Adrenogenital Disorders	0.000608283269324955	1	1
Gastric Cancer	Inherited Adrenogenital Disorders	0.000400911503580842	1	0
Kidney Cancer	Inherited Adrenogenital Disorders	0.00669004395139055	1	1
Lung Cancer	Inherited Adrenogenital Disorders	0.000727672601637155	1	0
Malignant Brain Neoplasm	Inherited Adrenogenital Disorders	0.000289611791387104	1	1
Melanoma	Inherited Adrenogenital Disorders	0.000146776043934281	1	0
Prostate Cancer	Inherited Adrenogenital Disorders	0.000297456473672836	1	0
Uterine Cancer	Inherited Adrenogenital Disorders	0.000210648485062639	1	0
Bladder Cancer	Non-Specific Autosomal Deletion Syndromes	0.97299630475389	0	0
Female Breast Cancer	Non-Specific Autosomal Deletion Syndromes	0.956346233125263	0	0
Colorectal Cancer	Non-Specific Autosomal Deletion Syndromes	0.989549983678775	0	0
Gastric Cancer	Non-Specific Autosomal Deletion Syndromes	0.986626243216754	0	0
Kidney Cancer	Non-Specific Autosomal Deletion Syndromes	0.903331434585178	0	1
Lung Cancer	Non-Specific Autosomal Deletion Syndromes	0.969197857674979	0	0
Malignant Brain Neoplasm	Non-Specific Autosomal Deletion Syndromes	0.972213357000747	0	0
Melanoma	Non-Specific Autosomal Deletion Syndromes	0.988217276559551	0	0
Prostate Cancer	Non-Specific Autosomal Deletion Syndromes	0.989230672237096	0	0
Uterine Cancer	Non-Specific Autosomal Deletion Syndromes	0.981943557291395	0	0
Bladder Cancer	Tuberous Sclerosis	0.485306113759132	0	0
Female Breast Cancer	Tuberous Sclerosis	0.313762829950502	0	0
Colorectal Cancer	Tuberous Sclerosis	0.330541053583929	0	0
Gastric Cancer	Tuberous Sclerosis	0.376721713056914	0	0
Kidney Cancer	Tuberous Sclerosis	0.280082996865676	0	1
Lung Cancer	Tuberous Sclerosis	0.268965898618875	0	0
Malignant Brain Neoplasm	Tuberous Sclerosis	0.296588389699352	0	1
Melanoma	Tuberous Sclerosis	0.479686308697077	0	1
Prostate Cancer	Tuberous Sclerosis	0.483903118847504	0	0
Uterine Cancer	Tuberous Sclerosis	0.297426512337388	0	0
Bladder Cancer	Friedreich Ataxia	0.588872473602444	0	0
Female Breast Cancer	Friedreich Ataxia	0.578954484947849	0	0
Colorectal Cancer	Friedreich Ataxia	0.737905113216699	0	0
Gastric Cancer	Friedreich Ataxia	0.705180337659663	0	0
Kidney Cancer	Friedreich Ataxia	0.735696141780359	0	0
Lung Cancer	Friedreich Ataxia	0.579555814736879	0	1
Malignant Brain Neoplasm	Friedreich Ataxia	0.628204025807889	0	1
Melanoma	Friedreich Ataxia	0.539209357052576	0	0
Prostate Cancer	Friedreich Ataxia	0.573592159451876	0	0
Uterine Cancer	Friedreich Ataxia	0.551839819577059	0	0
Bladder Cancer	Anophthalmos/Micropthalmos	0.872595511504034	0	0
Female Breast Cancer	Anophthalmos/Micropthalmos	0.618490736560612	0	0
Colorectal Cancer	Anophthalmos/Micropthalmos	0.335124525712673	0	0
Gastric Cancer	Anophthalmos/Micropthalmos	0.358366915304718	0	0
Kidney Cancer	Anophthalmos/Micropthalmos	0.156266279161275	0	0
Lung Cancer	Anophthalmos/Micropthalmos	0.0777750979435097	0	0
Malignant Brain Neoplasm	Anophthalmos/Micropthalmos	0.333604653538815	0	1
Melanoma	Anophthalmos/Micropthalmos	0.253488271853913	0	1
Prostate Cancer	Anophthalmos/Micropthalmos	0.257549027016117	0	0
Uterine Cancer	Anophthalmos/Micropthalmos	0.460737836373189	0	0
Bladder Cancer	Chondrodystrophy	0.94420275948996	0	0
Female Breast Cancer	Chondrodystrophy	0.964599972465409	0	0
Colorectal Cancer	Chondrodystrophy	0.960953942231796	0	0
Gastric Cancer	Chondrodystrophy	0.95539683848158	0	0
Kidney Cancer	Chondrodystrophy	0.880051952710538	0	0
Lung Cancer	Chondrodystrophy	0.952205830664826	0	0
Malignant Brain Neoplasm	Chondrodystrophy	0.964532822433512	0	1
Melanoma	Chondrodystrophy	0.961290254576817	0	0
Prostate Cancer	Chondrodystrophy	0.964354605002897	0	0
Uterine Cancer	Chondrodystrophy	0.962675491853502	0	0
Bladder Cancer	Chronic Progressive External Ophthalmoplegia	0.268307291861644	0	0
Female Breast Cancer	Chronic Progressive External Ophthalmoplegia	0.283331153292225	0	0
Colorectal Cancer	Chronic Progressive External Ophthalmoplegia	0.281013708761768	0	0
Gastric Cancer	Chronic Progressive External Ophthalmoplegia	0.295151542377032	0	0
Kidney Cancer	Chronic Progressive External Ophthalmoplegia	0.276383669334269	0	0
Lung Cancer	Chronic Progressive External Ophthalmoplegia	0.291446452474282	0	0
Malignant Brain Neoplasm	Chronic Progressive External Ophthalmoplegia	0.41014738755414	0	1
Melanoma	Chronic Progressive External Ophthalmoplegia	0.290815355467039	0	0
Prostate Cancer	Chronic Progressive External Ophthalmoplegia	0.282735338131884	0	0
Uterine Cancer	Chronic Progressive External Ophthalmoplegia	0.243372865957709	0	0
Bladder Cancer	Congenital Hydrocephalus	0.000195689017304013	1	0
Female Breast Cancer	Congenital Hydrocephalus	7.41632602554287e-06	1	0
Colorectal Cancer	Congenital Hydrocephalus	1.51867665468295e-06	1	0
Gastric Cancer	Congenital Hydrocephalus	1.08332073405797e-05	1	0
Kidney Cancer	Congenital Hydrocephalus	0.00142133958345936	1	0
Lung Cancer	Congenital Hydrocephalus	6.68672822022854e-07	1	0
Malignant Brain Neoplasm	Congenital Hydrocephalus	4.94445020069327e-07	1	1
Melanoma	Congenital Hydrocephalus	0.0199253395413821	1	0
Prostate Cancer	Congenital Hydrocephalus	0.000129129800748741	1	0
Uterine Cancer	Congenital Hydrocephalus	1.33345902226106e-05	1	0
Bladder Cancer	Holoprosencephaly	0.954380429613031	0	0
Female Breast Cancer	Holoprosencephaly	0.951847345271869	0	0
Colorectal Cancer	Holoprosencephaly	0.936394248149291	0	0
Gastric Cancer	Holoprosencephaly	0.953024091648527	0	0
Kidney Cancer	Holoprosencephaly	0.916336680097553	0	0
Lung Cancer	Holoprosencephaly	0.957546765868325	0	0
Malignant Brain Neoplasm	Holoprosencephaly	0.959284693057751	0	1
Melanoma	Holoprosencephaly	0.958853662100323	0	0
Prostate Cancer	Holoprosencephaly	0.917530691523339	0	0
Uterine Cancer	Holoprosencephaly	0.963060274549842	0	0
Bladder Cancer	Osteogenesis Imperfecta	0.0591773640112574	0	0
Female Breast Cancer	Osteogenesis Imperfecta	0.0694170701307403	0	0
Colorectal Cancer	Osteogenesis Imperfecta	0.0454021052153904	1	0
Gastric Cancer	Osteogenesis Imperfecta	0.0429035472825921	1	0
Kidney Cancer	Osteogenesis Imperfecta	0.03209656014159	1	0
Lung Cancer	Osteogenesis Imperfecta	0.0577113078487525	0	0
Malignant Brain Neoplasm	Osteogenesis Imperfecta	0.0381614043658081	1	1
Melanoma	Osteogenesis Imperfecta	0.0260076232894986	1	0
Prostate Cancer	Osteogenesis Imperfecta	0.0374301038023985	1	0
Uterine Cancer	Osteogenesis Imperfecta	0.0515863822701714	0	0
Bladder Cancer	Specified Anomalies of the Musculoskeletal System	0.0314306735504907	1	0
Female Breast Cancer	Specified Anomalies of the Musculoskeletal System	0.0532490913836949	0	0
Colorectal Cancer	Specified Anomalies of the Musculoskeletal System	0.0837261344636882	0	0
Gastric Cancer	Specified Anomalies of the Musculoskeletal System	0.126123084947829	0	0
Kidney Cancer	Specified Anomalies of the Musculoskeletal System	0.0850660122837485	0	0
Lung Cancer	Specified Anomalies of the Musculoskeletal System	0.423176491487509	0	0
Malignant Brain Neoplasm	Specified Anomalies of the Musculoskeletal System	0.0257983915519349	1	1
Melanoma	Specified Anomalies of the Musculoskeletal System	0.4379018793433	0	0
Prostate Cancer	Specified Anomalies of the Musculoskeletal System	0.566621630440125	0	0
Uterine Cancer	Specified Anomalies of the Musculoskeletal System	0.34167886325363	0	0
Bladder Cancer	Congenital Ectodermal Dysplasia	9.67688870931403e-08	1	0
Female Breast Cancer	Congenital Ectodermal Dysplasia	1.45952285546507e-07	1	0
Colorectal Cancer	Congenital Ectodermal Dysplasia	1.97185454315711e-07	1	0
Gastric Cancer	Congenital Ectodermal Dysplasia	2.61060488137664e-07	1	0
Kidney Cancer	Congenital Ectodermal Dysplasia	1.02106048906475e-06	1	0
Lung Cancer	Congenital Ectodermal Dysplasia	1.66700471073044e-07	1	0
Malignant Brain Neoplasm	Congenital Ectodermal Dysplasia	1.47515646243229e-07	1	0
Melanoma	Congenital Ectodermal Dysplasia	1.38029012751118e-07	1	1
Prostate Cancer	Congenital Ectodermal Dysplasia	5.6218393341348e-07	1	0
Uterine Cancer	Congenital Ectodermal Dysplasia	1.71333499125071e-07	1	0
Bladder Cancer	Disorders of Aromatic Amino Acid Metabolism	0.113291951638305	0	0
Female Breast Cancer	Disorders of Aromatic Amino Acid Metabolism	0.0570867474577315	0	0
Colorectal Cancer	Disorders of Aromatic Amino Acid Metabolism	0.0562783496294847	0	0
Gastric Cancer	Disorders of Aromatic Amino Acid Metabolism	0.0874622932839177	0	0
Kidney Cancer	Disorders of Aromatic Amino Acid Metabolism	0.100919295652772	0	0
Lung Cancer	Disorders of Aromatic Amino Acid Metabolism	0.0882545824165218	0	0
Malignant Brain Neoplasm	Disorders of Aromatic Amino Acid Metabolism	0.19685072416635	0	0
Melanoma	Disorders of Aromatic Amino Acid Metabolism	0.279548209818574	0	1
Prostate Cancer	Disorders of Aromatic Amino Acid Metabolism	0.220481146095614	0	0
Uterine Cancer	Disorders of Aromatic Amino Acid Metabolism	0.0421531036024305	1	0
