complex_disease	mendelian_disease	comorbidity
Benign Brain Neoplasm	Severe Combined Immunodeficiency	1
Benign Brain Neoplasm	Sickle Cell Anemia	1
Benign Brain Neoplasm	Specified Hamartoses	1
Benign Brain Neoplasm	Spinocerebellar Ataxia	1
Benign Brain Neoplasm	Thalassemia	1
Benign Brain Neoplasm	Tuberous Sclerosis	1
Benign Brain Neoplasm	Wiskott-Aldrich Syndrome	1
Bipolar Disorder	Androgen Insensitivity Syndrome	1
Bipolar Disorder	Anophthalmos/Micropthalmos	1
Bipolar Disorder	Autoimmune Lymphoproliferative Syndrome	1
Bipolar Disorder	Autoimmune Polyglandular Syndrome	1
Bipolar Disorder	Cerebral Degeneration Due to Generalized Lipidoses	1
Bipolar Disorder	Chondrodystrophy	1
Bipolar Disorder	Chronic Granulomatous Disease	1
Bipolar Disorder	Circulating Enzyme Deficiencies	1
Bipolar Disorder	Combined Heart and Skeletal Defects	1
Bipolar Disorder	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Bipolar Disorder	Congenital Hydrocephalus	1
Bipolar Disorder	Congenital Hypogammaglobulinemia	1
Bipolar Disorder	Congenital Ichthyosis	1
Bipolar Disorder	Cystic Fibrosis	1
Bipolar Disorder	Degenerative Diseases of the Basal Ganglia	1
Bipolar Disorder	Disorders of Aromatic Amino Acid Metabolism	1
Bipolar Disorder	Disorders of Copper Metabolism	1
Bipolar Disorder	Disorders of Phosphorous Metabolism	1
Bipolar Disorder	Disorders of Straight Chain Amino Acid Metabolism	1
Bipolar Disorder	Disorders of Urea Cycle Metabolism	1
Bipolar Disorder	Dopa-Responsive Dystonia	1
Bipolar Disorder	Facial and Skull Anomalies	1
Bipolar Disorder	Familial Dysautonomia	1
Bipolar Disorder	Fragile-X Syndrome	1
Bipolar Disorder	Friedreich Ataxia	1
Bipolar Disorder	Genetic Anomalies of Leukocytes	1
Bipolar Disorder	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Bipolar Disorder	Glycogenosis	1
Bipolar Disorder	Haemophilia	1
Bipolar Disorder	Hereditary Hemorrhagic Telangiectasia	1
Bipolar Disorder	Hereditary Muscular Dystrophy	1
Bipolar Disorder	Hereditary Sensory Neuropathy	1
Bipolar Disorder	Holoprosencephaly	1
Bipolar Disorder	Huntington Disease	1
Bipolar Disorder	Hypopituitarism	1
Bipolar Disorder	Inherited Adrenogenital Disorders	1
Bipolar Disorder	Inherited Anomalies of the Skin	1
Bipolar Disorder	Li Fraumeni and Related Syndromes	1
Bipolar Disorder	Lipoprotein Deficiencies	1
Bipolar Disorder	Long QT Syndrome	1
Bipolar Disorder	Marfan Syndrome	1
Bipolar Disorder	Neurofibromatosis	1
Bipolar Disorder	Non-Specified Osteodystrophy	1
Bipolar Disorder	Osteogenesis Imperfecta	1
Bipolar Disorder	Other Specified Disorders of Amino Acid Metabolism	1
Bipolar Disorder	Pervasive, Specified Congenital Anomalies	1
Bipolar Disorder	Phenylketonuria	1
Bipolar Disorder	Polycystic Kidney, Autosomal Dominant	1
Bipolar Disorder	Retinitis Pigmentosa	1
Bipolar Disorder	Severe Combined Immunodeficiency	1
Bipolar Disorder	Sickle Cell Anemia	1
Bipolar Disorder	Specific Nail Anomalies	1
Bipolar Disorder	Spinocerebellar Ataxia	1
Bipolar Disorder	Systemic Primary Carnitine Deficiency	1
Bipolar Disorder	Thalassemia	1
Bipolar Disorder	Tongue Tie	1
Bipolar Disorder	Tuberous Sclerosis	1
Bladder Cancer	Cerebral Degeneration Due to Generalized Lipidoses	1
Bladder Cancer	Chronic Granulomatous Disease	1
Bladder Cancer	Circulating Enzyme Deficiencies	1
Bladder Cancer	Combined Heart and Skeletal Defects	1
Bladder Cancer	Congenital Ichthyosis	1
Bladder Cancer	Degenerative Diseases of the Basal Ganglia	1
Bladder Cancer	Diamond-Blackfan Anemia	1
Bladder Cancer	Disorders of Phosphorous Metabolism	1
Bladder Cancer	Disorders of Straight Chain Amino Acid Metabolism	1
Bladder Cancer	Disorders of Urea Cycle Metabolism	1
Bladder Cancer	Dopa-Responsive Dystonia	1
Bladder Cancer	Genetic Anomalies of Leukocytes	1
Bladder Cancer	Glycogenosis	1
Bladder Cancer	Haemophilia	1
Bladder Cancer	Hereditary Hemorrhagic Telangiectasia	1
Bladder Cancer	Hereditary Sensory Neuropathy	1
Bladder Cancer	Hypopituitarism	1
Bladder Cancer	Inherited Anomalies of the Skin	1
Bladder Cancer	Lipoprotein Deficiencies	1
Bladder Cancer	Long QT Syndrome	1
Bladder Cancer	Neurofibromatosis	1
Bladder Cancer	Polycystic Kidney, Autosomal Dominant	1
Bladder Cancer	Specified Hamartoses	1
Bladder Cancer	Spinocerebellar Ataxia	1
Bladder Cancer	Tongue Tie	1
Female Breast Cancer	Androgen Insensitivity Syndrome	1
Female Breast Cancer	Cerebral Degeneration Due to Generalized Lipidoses	1
Female Breast Cancer	Chronic Granulomatous Disease	1
Female Breast Cancer	Circulating Enzyme Deficiencies	1
Female Breast Cancer	Combined Heart and Skeletal Defects	1
Female Breast Cancer	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Female Breast Cancer	Congenital Ichthyosis	1
Female Breast Cancer	Congenital Pigmentary Anomalies	1
Female Breast Cancer	Cystic Fibrosis	1
Female Breast Cancer	Degenerative Diseases of the Basal Ganglia	1
Female Breast Cancer	Diamond-Blackfan Anemia	1
Female Breast Cancer	Disorders of Copper Metabolism	1
Female Breast Cancer	Disorders of Phosphorous Metabolism	1
Female Breast Cancer	Disorders of Straight Chain Amino Acid Metabolism	1
Female Breast Cancer	Disorders of Urea Cycle Metabolism	1
Female Breast Cancer	Dopa-Responsive Dystonia	1
Female Breast Cancer	Facial and Skull Anomalies	1
Female Breast Cancer	Genetic Anomalies of Leukocytes	1
Female Breast Cancer	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Female Breast Cancer	Haemophilia	1
Female Breast Cancer	Hereditary Hemorrhagic Telangiectasia	1
Female Breast Cancer	Hereditary Sensory Neuropathy	1
Female Breast Cancer	Hypopituitarism	1
Female Breast Cancer	Inherited Anomalies of the Skin	1
Female Breast Cancer	Li Fraumeni and Related Syndromes	1
Female Breast Cancer	Lipoprotein Deficiencies	1
Female Breast Cancer	Long QT Syndrome	1
Female Breast Cancer	Multiple Endocrine Neoplasia Type I	1
Female Breast Cancer	Neurofibromatosis	1
Female Breast Cancer	Non-Specified Osteodystrophy	1
Female Breast Cancer	Pervasive, Specified Congenital Anomalies	1
Female Breast Cancer	Phenylketonuria	1
Female Breast Cancer	Polycystic Kidney, Autosomal Dominant	1
Female Breast Cancer	Retinitis Pigmentosa	1
Female Breast Cancer	Sensory Retina Dystropies	1
Female Breast Cancer	Severe Combined Immunodeficiency	1
Female Breast Cancer	Sickle Cell Anemia	1
Female Breast Cancer	Specific Nail Anomalies	1
Female Breast Cancer	Specified Hamartoses	1
Female Breast Cancer	Spinocerebellar Ataxia	1
Female Breast Cancer	Thalassemia	1
Female Breast Cancer	Tongue Tie	1
Bronchitis	Androgen Insensitivity Syndrome	1
Bronchitis	Anophthalmos/Micropthalmos	1
Bronchitis	Anterior Eye Anomalies	1
Bronchitis	Autoimmune Lymphoproliferative Syndrome	1
Bronchitis	Autoimmune Polyglandular Syndrome	1
Bronchitis	Bartter Syndrome	1
Bronchitis	Cerebral Degeneration Due to Generalized Lipidoses	1
Bronchitis	Cerebral Lipidoses	1
Bronchitis	Chondrodystrophy	1
Bronchitis	Chronic Granulomatous Disease	1
Bronchitis	Circulating Enzyme Deficiencies	1
Bronchitis	Combined Heart and Skeletal Defects	1
Bronchitis	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Bronchitis	Congenital Ectodermal Dysplasia	1
Bronchitis	Congenital Hirschsprung Disease	1
Bronchitis	Congenital Hydrocephalus	1
Bronchitis	Congenital Hypogammaglobulinemia	1
Bronchitis	Congenital Ichthyosis	1
Bronchitis	Congenital Pigmentary Anomalies	1
Bronchitis	Cri-Du-Chat Syndrome	1
Bronchitis	Cystic Fibrosis	1
Bronchitis	Degenerative Diseases of the Basal Ganglia	1
Bronchitis	Diamond-Blackfan Anemia	1
Bronchitis	Disorders of Aromatic Amino Acid Metabolism	1
Bronchitis	Disorders of Branched Chain Amino Acid Metabolism	1
Bronchitis	Disorders of Copper Metabolism	1
Bronchitis	Disorders of Fatty Acid Oxidation	1
Bronchitis	Disorders of Phosphorous Metabolism	1
Bronchitis	Disorders of Straight Chain Amino Acid Metabolism	1
Bronchitis	Disorders of Urea Cycle Metabolism	1
Bronchitis	Dopa-Responsive Dystonia	1
Bronchitis	Erythromelalgia	1
Bronchitis	Facial and Skull Anomalies	1
Bronchitis	Familial Dysautonomia	1
Bronchitis	Familial Mediterranean Fever	1
Bronchitis	Fragile-X Syndrome	1
Bronchitis	Friedreich Ataxia	1
Bronchitis	Genetic Anomalies of Leukocytes	1
Bronchitis	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Bronchitis	Glycogenosis	1
Bronchitis	Haemophilia	1
Bronchitis	Hereditary Color Blindness	1
Bronchitis	Hereditary Hemorrhagic Telangiectasia	1
Bronchitis	Hereditary Muscular Dystrophy	1
Bronchitis	Hereditary Sensory Neuropathy	1
Bronchitis	Hereditary Thrombocytopenic Purpura	1
Bronchitis	Holoprosencephaly	1
Bronchitis	Huntington Disease	1
Bronchitis	Hypopituitarism	1
Bronchitis	Immunodeficiency with Increased IgM	1
Bronchitis	Inherited Adrenogenital Disorders	1
Bronchitis	Inherited Anomalies of the Skin	1
Bronchitis	Li Fraumeni and Related Syndromes	1
Bronchitis	Lipoprotein Deficiencies	1
Bronchitis	Long QT Syndrome	1
Bronchitis	Marfan Syndrome	1
Bronchitis	Multiple Endocrine Neoplasia Type IIA	1
Bronchitis	Neurofibromatosis	1
Bronchitis	Non-Specific Autosomal Deletion Syndromes	1
Bronchitis	Non-Specified Osteodystrophy	1
Bronchitis	Osteogenesis Imperfecta	1
Bronchitis	Other Specified Disorders of Amino Acid Metabolism	1
Bronchitis	Peroxisomal Disorders	1
Bronchitis	Pervasive, Specified Congenital Anomalies	1
Bronchitis	Phenylketonuria	1
Bronchitis	Polycystic Kidney, Autosomal Dominant	1
Bronchitis	Retinitis Pigmentosa	1
Bronchitis	Rett Syndrome	1
Bronchitis	Sensory Retina Dystropies	1
Bronchitis	Severe Combined Immunodeficiency	1
Bronchitis	Sickle Cell Anemia	1
Bronchitis	Smith-Magenis Syndrome	1
Bronchitis	Specific Nail Anomalies	1
Bronchitis	Specified Anomalies of the Musculoskeletal System	1
Bronchitis	Specified Hamartoses	1
Bronchitis	Spinocerebellar Ataxia	1
Bronchitis	Systemic Primary Carnitine Deficiency	1
Bronchitis	Thalassemia	1
Bronchitis	Tongue Tie	1
Bronchitis	Tuberous Sclerosis	1
Bronchitis	Velo-Cardio-Facial Syndrome	1
Bronchitis	Wiskott-Aldrich Syndrome	1
Burkitts Lymphoma	Combined Heart and Skeletal Defects	1
Burkitts Lymphoma	Congenital Hypogammaglobulinemia	1
Burkitts Lymphoma	Diamond-Blackfan Anemia	1
Burkitts Lymphoma	Disorders of Phosphorous Metabolism	1
Burkitts Lymphoma	Genetic Anomalies of Leukocytes	1
Burkitts Lymphoma	Haemophilia	1
Burkitts Lymphoma	Lipoprotein Deficiencies	1
Burkitts Lymphoma	Long QT Syndrome	1
Burkitts Lymphoma	Pervasive, Specified Congenital Anomalies	1
Burkitts Lymphoma	Severe Combined Immunodeficiency	1
Burkitts Lymphoma	Sickle Cell Anemia	1
Burkitts Lymphoma	Wiskott-Aldrich Syndrome	1
Cataract	Androgen Insensitivity Syndrome	1
Cataract	Anophthalmos/Micropthalmos	1
Cataract	Anterior Eye Anomalies	1
Cataract	Autoimmune Lymphoproliferative Syndrome	1
Cataract	Autoimmune Polyglandular Syndrome	1
Cataract	Bartter Syndrome	1
Cataract	Cerebral Degeneration Due to Generalized Lipidoses	1
Cataract	Chondrodystrophy	1
Cataract	Chronic Granulomatous Disease	1
Cataract	Chronic Progressive External Ophthalmoplegia	1
Cataract	Circulating Enzyme Deficiencies	1
Cataract	Combined Heart and Skeletal Defects	1
Cataract	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Cataract	Congenital Hirschsprung Disease	1
Cataract	Congenital Hypogammaglobulinemia	1
Cataract	Congenital Ichthyosis	1
Cataract	Congenital Pigmentary Anomalies	1
Cataract	Degenerative Diseases of the Basal Ganglia	1
Cataract	Diamond-Blackfan Anemia	1
Cataract	Disorders of Aromatic Amino Acid Metabolism	1
Cataract	Disorders of Copper Metabolism	1
Cataract	Disorders of Phosphorous Metabolism	1
Cataract	Disorders of Straight Chain Amino Acid Metabolism	1
Cataract	Disorders of Urea Cycle Metabolism	1
Cataract	Dopa-Responsive Dystonia	1
Cataract	Erythromelalgia	1
Cataract	Facial and Skull Anomalies	1
Cataract	Familial Dysautonomia	1
Cataract	Friedreich Ataxia	1
Cataract	Genetic Anomalies of Leukocytes	1
Cataract	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Cataract	Glycogenosis	1
Cataract	Haemophilia	1
Cataract	Hereditary Color Blindness	1
Cataract	Hereditary Hemorrhagic Telangiectasia	1
Cataract	Hereditary Muscular Dystrophy	1
Cataract	Hereditary Sensory Neuropathy	1
Cataract	Holoprosencephaly	1
Cataract	Huntington Disease	1
Cataract	Hypopituitarism	1
Cataract	Immunodeficiency with Increased IgM	1
Cataract	Inherited Adrenogenital Disorders	1
Cataract	Inherited Anomalies of the Skin	1
Cataract	Li Fraumeni and Related Syndromes	1
Cataract	Lipoprotein Deficiencies	1
Cataract	Long QT Syndrome	1
Cataract	Marfan Syndrome	1
Cataract	Multiple Endocrine Neoplasia Type I	1
Cataract	Multiple Endocrine Neoplasia Type IIA	1
Cataract	Neurofibromatosis	1
Cataract	Non-Specified Osteodystrophy	1
Cataract	Osteogenesis Imperfecta	1
Cataract	Other Specified Disorders of Amino Acid Metabolism	1
Cataract	Pervasive, Specified Congenital Anomalies	1
Cataract	Phenylketonuria	1
Cataract	Polycystic Kidney, Autosomal Dominant	1
Cataract	Retinitis Pigmentosa	1
Cataract	Sensory Retina Dystropies	1
Cataract	Severe Combined Immunodeficiency	1
Cataract	Sickle Cell Anemia	1
Cataract	Specific Nail Anomalies	1
Cataract	Specified Hamartoses	1
Cataract	Spinocerebellar Ataxia	1
Cataract	Systemic Primary Carnitine Deficiency	1
Cataract	Thalassemia	1
Cataract	Tongue Tie	1
Cataract	Tuberous Sclerosis	1
Celiac Disease	Autoimmune Lymphoproliferative Syndrome	1
Celiac Disease	Autoimmune Polyglandular Syndrome	1
Celiac Disease	Cerebral Degeneration Due to Generalized Lipidoses	1
Celiac Disease	Chronic Granulomatous Disease	1
Celiac Disease	Circulating Enzyme Deficiencies	1
Celiac Disease	Combined Heart and Skeletal Defects	1
Celiac Disease	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Celiac Disease	Congenital Hirschsprung Disease	1
Celiac Disease	Congenital Hypogammaglobulinemia	1
Celiac Disease	Congenital Ichthyosis	1
Celiac Disease	Congenital Pigmentary Anomalies	1
Celiac Disease	Cystic Fibrosis	1
Celiac Disease	Disorders of Aromatic Amino Acid Metabolism	1
Celiac Disease	Disorders of Copper Metabolism	1
Celiac Disease	Disorders of Fatty Acid Oxidation	1
Celiac Disease	Disorders of Phosphorous Metabolism	1
Celiac Disease	Disorders of Straight Chain Amino Acid Metabolism	1
Celiac Disease	Disorders of Urea Cycle Metabolism	1
Celiac Disease	Dopa-Responsive Dystonia	1
Celiac Disease	Erythromelalgia	1
Celiac Disease	Facial and Skull Anomalies	1
Celiac Disease	Familial Dysautonomia	1
Celiac Disease	Genetic Anomalies of Leukocytes	1
Celiac Disease	Glycogenosis	1
Celiac Disease	Haemophilia	1
Celiac Disease	Hereditary Hemorrhagic Telangiectasia	1
Celiac Disease	Hereditary Muscular Dystrophy	1
Celiac Disease	Hereditary Sensory Neuropathy	1
Celiac Disease	Holoprosencephaly	1
Celiac Disease	Hypopituitarism	1
Celiac Disease	Immunodeficiency with Increased IgM	1
Celiac Disease	Inherited Adrenogenital Disorders	1
Celiac Disease	Inherited Anomalies of the Skin	1
Celiac Disease	Li Fraumeni and Related Syndromes	1
Celiac Disease	Lipoprotein Deficiencies	1
Celiac Disease	Long QT Syndrome	1
Celiac Disease	Marfan Syndrome	1
Celiac Disease	Osteogenesis Imperfecta	1
Celiac Disease	Other Specified Disorders of Amino Acid Metabolism	1
Celiac Disease	Pervasive, Specified Congenital Anomalies	1
Celiac Disease	Retinitis Pigmentosa	1
Celiac Disease	Sensory Retina Dystropies	1
Celiac Disease	Severe Combined Immunodeficiency	1
Celiac Disease	Specific Nail Anomalies	1
Celiac Disease	Specified Hamartoses	1
Celiac Disease	Spinocerebellar Ataxia	1
Celiac Disease	Systemic Primary Carnitine Deficiency	1
Celiac Disease	Thalassemia	1
Celiac Disease	Velo-Cardio-Facial Syndrome	1
Cerebral Infarction	Androgen Insensitivity Syndrome	1
Cerebral Infarction	Anophthalmos/Micropthalmos	1
Cerebral Infarction	Autoimmune Lymphoproliferative Syndrome	1
Cerebral Infarction	Autoimmune Polyglandular Syndrome	1
Cerebral Infarction	Bartter Syndrome	1
Cerebral Infarction	Cerebral Degeneration Due to Generalized Lipidoses	1
Cerebral Infarction	Cerebral Lipidoses	1
Cerebral Infarction	Chondrodystrophy	1
Cerebral Infarction	Chronic Granulomatous Disease	1
Cerebral Infarction	Chronic Progressive External Ophthalmoplegia	1
Cerebral Infarction	Circulating Enzyme Deficiencies	1
Cerebral Infarction	Combined Heart and Skeletal Defects	1
Cerebral Infarction	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Cerebral Infarction	Congenital Hydrocephalus	1
Cerebral Infarction	Congenital Hypogammaglobulinemia	1
Cerebral Infarction	Congenital Ichthyosis	1
Cerebral Infarction	Congenital Pigmentary Anomalies	1
Cerebral Infarction	Cystic Fibrosis	1
Cerebral Infarction	Degenerative Diseases of the Basal Ganglia	1
Cerebral Infarction	Diamond-Blackfan Anemia	1
Cerebral Infarction	Disorders of Aromatic Amino Acid Metabolism	1
Cerebral Infarction	Disorders of Copper Metabolism	1
Cerebral Infarction	Disorders of Phosphorous Metabolism	1
Cerebral Infarction	Disorders of Straight Chain Amino Acid Metabolism	1
Cerebral Infarction	Disorders of Urea Cycle Metabolism	1
Cerebral Infarction	Dopa-Responsive Dystonia	1
Cerebral Infarction	Erythromelalgia	1
Cerebral Infarction	Facial and Skull Anomalies	1
Cerebral Infarction	Familial Dysautonomia	1
Cerebral Infarction	Friedreich Ataxia	1
Cerebral Infarction	Genetic Anomalies of Leukocytes	1
Cerebral Infarction	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Cerebral Infarction	Glycogenosis	1
Cerebral Infarction	Haemophilia	1
Cerebral Infarction	Hereditary Hemorrhagic Telangiectasia	1
Cerebral Infarction	Hereditary Muscular Dystrophy	1
Cerebral Infarction	Hereditary Sensory Neuropathy	1
Cerebral Infarction	Hereditary Thrombocytopenic Purpura	1
Cerebral Infarction	Holoprosencephaly	1
Cerebral Infarction	Huntington Disease	1
Cerebral Infarction	Hypopituitarism	1
Cerebral Infarction	Immunodeficiency with Increased IgM	1
Cerebral Infarction	Inherited Adrenogenital Disorders	1
Cerebral Infarction	Inherited Anomalies of the Skin	1
Cerebral Infarction	Li Fraumeni and Related Syndromes	1
Cerebral Infarction	Lipoprotein Deficiencies	1
Cerebral Infarction	Long QT Syndrome	1
Cerebral Infarction	Marfan Syndrome	1
Cerebral Infarction	Multiple Endocrine Neoplasia Type I	1
Cerebral Infarction	Neurofibromatosis	1
Cerebral Infarction	Non-Specified Osteodystrophy	1
Cerebral Infarction	Osteogenesis Imperfecta	1
Cerebral Infarction	Other Specified Disorders of Amino Acid Metabolism	1
Cerebral Infarction	Pervasive, Specified Congenital Anomalies	1
Cerebral Infarction	Polycystic Kidney, Autosomal Dominant	1
Cerebral Infarction	Retinitis Pigmentosa	1
Cerebral Infarction	Sensory Retina Dystropies	1
Cerebral Infarction	Severe Combined Immunodeficiency	1
Cerebral Infarction	Sickle Cell Anemia	1
Cerebral Infarction	Specific Nail Anomalies	1
Cerebral Infarction	Specified Anomalies of the Musculoskeletal System	1
Cerebral Infarction	Specified Hamartoses	1
Cerebral Infarction	Spinocerebellar Ataxia	1
Cerebral Infarction	Systemic Primary Carnitine Deficiency	1
Cerebral Infarction	Thalassemia	1
Cerebral Infarction	Tongue Tie	1
Cerebral Infarction	Tuberous Sclerosis	1
Colorectal Cancer	Cerebral Degeneration Due to Generalized Lipidoses	1
Colorectal Cancer	Chronic Granulomatous Disease	1
Colorectal Cancer	Circulating Enzyme Deficiencies	1
Colorectal Cancer	Combined Heart and Skeletal Defects	1
Colorectal Cancer	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Colorectal Cancer	Congenital Hirschsprung Disease	1
Colorectal Cancer	Congenital Hypogammaglobulinemia	1
Colorectal Cancer	Congenital Pigmentary Anomalies	1
Colorectal Cancer	Cystic Fibrosis	1
Colorectal Cancer	Degenerative Diseases of the Basal Ganglia	1
Colorectal Cancer	Disorders of Copper Metabolism	1
Colorectal Cancer	Disorders of Phosphorous Metabolism	1
Colorectal Cancer	Disorders of Straight Chain Amino Acid Metabolism	1
Colorectal Cancer	Disorders of Urea Cycle Metabolism	1
Colorectal Cancer	Dopa-Responsive Dystonia	1
Colorectal Cancer	Facial and Skull Anomalies	1
Colorectal Cancer	Genetic Anomalies of Leukocytes	1
Colorectal Cancer	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Colorectal Cancer	Glycogenosis	1
Colorectal Cancer	Haemophilia	1
Colorectal Cancer	Hereditary Hemorrhagic Telangiectasia	1
Colorectal Cancer	Hereditary Sensory Neuropathy	1
Colorectal Cancer	Hypopituitarism	1
Colorectal Cancer	Immunodeficiency with Increased IgM	1
Colorectal Cancer	Inherited Adrenogenital Disorders	1
Colorectal Cancer	Inherited Anomalies of the Skin	1
Colorectal Cancer	Li Fraumeni and Related Syndromes	1
Colorectal Cancer	Lipoprotein Deficiencies	1
Colorectal Cancer	Long QT Syndrome	1
Colorectal Cancer	Multiple Endocrine Neoplasia Type I	1
Colorectal Cancer	Neurofibromatosis	1
Colorectal Cancer	Polycystic Kidney, Autosomal Dominant	1
Colorectal Cancer	Retinitis Pigmentosa	1
Colorectal Cancer	Severe Combined Immunodeficiency	1
Colorectal Cancer	Sickle Cell Anemia	1
Colorectal Cancer	Specified Hamartoses	1
Colorectal Cancer	Spinocerebellar Ataxia	1
Colorectal Cancer	Thalassemia	1
Colorectal Cancer	Tongue Tie	1
Crohns Disease	Autoimmune Lymphoproliferative Syndrome	1
Crohns Disease	Autoimmune Polyglandular Syndrome	1
Crohns Disease	Bartter Syndrome	1
Crohns Disease	Cerebral Degeneration Due to Generalized Lipidoses	1
Crohns Disease	Chronic Granulomatous Disease	1
Crohns Disease	Circulating Enzyme Deficiencies	1
Crohns Disease	Combined Heart and Skeletal Defects	1
Crohns Disease	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Crohns Disease	Congenital Hirschsprung Disease	1
Crohns Disease	Congenital Hypogammaglobulinemia	1
Crohns Disease	Congenital Ichthyosis	1
Crohns Disease	Cystic Fibrosis	1
Crohns Disease	Degenerative Diseases of the Basal Ganglia	1
Crohns Disease	Disorders of Copper Metabolism	1
Crohns Disease	Disorders of Phosphorous Metabolism	1
Crohns Disease	Disorders of Straight Chain Amino Acid Metabolism	1
Crohns Disease	Disorders of Urea Cycle Metabolism	1
Crohns Disease	Dopa-Responsive Dystonia	1
Crohns Disease	Erythromelalgia	1
Crohns Disease	Familial Mediterranean Fever	1
Crohns Disease	Genetic Anomalies of Leukocytes	1
Crohns Disease	Glycogenosis	1
Crohns Disease	Haemophilia	1
Crohns Disease	Hereditary Hemorrhagic Telangiectasia	1
Crohns Disease	Hereditary Sensory Neuropathy	1
Crohns Disease	Holoprosencephaly	1
Crohns Disease	Hypopituitarism	1
Crohns Disease	Immunodeficiency with Increased IgM	1
Crohns Disease	Inherited Adrenogenital Disorders	1
Crohns Disease	Inherited Anomalies of the Skin	1
Crohns Disease	Li Fraumeni and Related Syndromes	1
Crohns Disease	Lipoprotein Deficiencies	1
Crohns Disease	Long QT Syndrome	1
Crohns Disease	Neurofibromatosis	1
Crohns Disease	Pervasive, Specified Congenital Anomalies	1
Crohns Disease	Polycystic Kidney, Autosomal Dominant	1
Crohns Disease	Retinitis Pigmentosa	1
Crohns Disease	Sensory Retina Dystropies	1
Crohns Disease	Severe Combined Immunodeficiency	1
Crohns Disease	Specified Hamartoses	1
Crohns Disease	Spinocerebellar Ataxia	1
Crohns Disease	Thalassemia	1
Crohns Disease	Tongue Tie	1
Cushings Syndrome	Autoimmune Lymphoproliferative Syndrome	1
Cushings Syndrome	Autoimmune Polyglandular Syndrome	1
Cushings Syndrome	Bartter Syndrome	1
Cushings Syndrome	Cerebral Degeneration Due to Generalized Lipidoses	1
Cushings Syndrome	Chronic Granulomatous Disease	1
Cushings Syndrome	Circulating Enzyme Deficiencies	1
Cushings Syndrome	Combined Heart and Skeletal Defects	1
Cushings Syndrome	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Cushings Syndrome	Congenital Hydrocephalus	1
Cushings Syndrome	Congenital Ichthyosis	1
Cushings Syndrome	Cystic Fibrosis	1
Cushings Syndrome	Degenerative Diseases of the Basal Ganglia	1
Cushings Syndrome	Diamond-Blackfan Anemia	1
Cushings Syndrome	Disorders of Copper Metabolism	1
Cushings Syndrome	Disorders of Phosphorous Metabolism	1
Cushings Syndrome	Disorders of Straight Chain Amino Acid Metabolism	1
Cushings Syndrome	Disorders of Urea Cycle Metabolism	1
Cushings Syndrome	Dopa-Responsive Dystonia	1
Cushings Syndrome	Erythromelalgia	1
Cushings Syndrome	Familial Dysautonomia	1
Cushings Syndrome	Genetic Anomalies of Leukocytes	1
Cushings Syndrome	Haemophilia	1
Cushings Syndrome	Hereditary Muscular Dystrophy	1
Cushings Syndrome	Hereditary Sensory Neuropathy	1
Cushings Syndrome	Holoprosencephaly	1
Cushings Syndrome	Hypopituitarism	1
Cushings Syndrome	Immunodeficiency with Increased IgM	1
Cushings Syndrome	Inherited Adrenogenital Disorders	1
Cushings Syndrome	Inherited Anomalies of the Skin	1
Cushings Syndrome	Lipoprotein Deficiencies	1
Cushings Syndrome	Long QT Syndrome	1
Cushings Syndrome	Multiple Endocrine Neoplasia Type I	1
Cushings Syndrome	Multiple Endocrine Neoplasia Type IIA	1
Cushings Syndrome	Neurofibromatosis	1
Cushings Syndrome	Non-Specified Osteodystrophy	1
Cushings Syndrome	Osteogenesis Imperfecta	1
Cushings Syndrome	Other Specified Disorders of Amino Acid Metabolism	1
Cushings Syndrome	Pervasive, Specified Congenital Anomalies	1
Cushings Syndrome	Polycystic Kidney, Autosomal Dominant	1
Cushings Syndrome	Severe Combined Immunodeficiency	1
Cushings Syndrome	Sickle Cell Anemia	1
Cushings Syndrome	Specified Anomalies of the Musculoskeletal System	1
Cushings Syndrome	Specified Hamartoses	1
Cushings Syndrome	Systemic Primary Carnitine Deficiency	1
Cushings Syndrome	Thalassemia	1
Deep Vein Thrombosis	Autoimmune Lymphoproliferative Syndrome	1
Deep Vein Thrombosis	Autoimmune Polyglandular Syndrome	1
Deep Vein Thrombosis	Bartter Syndrome	1
Deep Vein Thrombosis	Cerebral Degeneration Due to Generalized Lipidoses	1
Deep Vein Thrombosis	Chondrodystrophy	1
Deep Vein Thrombosis	Circulating Enzyme Deficiencies	1
Deep Vein Thrombosis	Combined Heart and Skeletal Defects	1
Deep Vein Thrombosis	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Deep Vein Thrombosis	Congenital Hirschsprung Disease	1
