drug_target	db_id	drug_name
ADRB1	DB01182	Propafenone
ADRB2	DB01182	Propafenone
CREB1	DB01183	Naloxone
TLR4	DB01183	Naloxone
CES1	DB01183	Naloxone
OPRD1	DB01183	Naloxone
OPRK1	DB01183	Naloxone
ESR1	DB01183	Naloxone
OPRM1	DB01183	Naloxone
DRD3	DB01184	Domperidone
DRD2	DB01184	Domperidone
HSD11B2	DB01185	Fluoxymesterone
AR	DB01185	Fluoxymesterone
ESR1	DB01185	Fluoxymesterone
NR3C1	DB01185	Fluoxymesterone
DRD5	DB01186	Pergolide
ADRA2A	DB01186	Pergolide
ADRA2B	DB01186	Pergolide
ADRA2C	DB01186	Pergolide
DRD4	DB01186	Pergolide
HTR2B	DB01186	Pergolide
DRD3	DB01186	Pergolide
HTR1D	DB01186	Pergolide
DRD1	DB01186	Pergolide
HTR1B	DB01186	Pergolide
ADRA1D	DB01186	Pergolide
HTR1A	DB01186	Pergolide
HTR2C	DB01186	Pergolide
ADRA1B	DB01186	Pergolide
HTR2A	DB01186	Pergolide
DRD2	DB01186	Pergolide
ADRA1A	DB01186	Pergolide
ATP1A1	DB01188	Ciclopirox
ATP2C1	DB01189	Desflurane
ATP2C2	DB01189	Desflurane
ATP2B1	DB01189	Desflurane
ATP2B2	DB01189	Desflurane
ATP2B3	DB01189	Desflurane
ATP2B4	DB01189	Desflurane
ATP2A1	DB01189	Desflurane
ATP2A2	DB01189	Desflurane
ATP5D	DB01189	Desflurane
MT-ND1	DB01189	Desflurane
KCNA1	DB01189	Desflurane
GRIA1	DB01189	Desflurane
GLRA1	DB01189	Desflurane
GABRA1	DB01189	Desflurane
GABRA2	DB01189	Desflurane
GABRA3	DB01189	Desflurane
GABRA4	DB01189	Desflurane
GABRA5	DB01189	Desflurane
GABRA6	DB01189	Desflurane
GABRB1	DB01189	Desflurane
GABRB2	DB01189	Desflurane
GABRB3	DB01189	Desflurane
GABRD	DB01189	Desflurane
GABRE	DB01189	Desflurane
GABRG1	DB01189	Desflurane
GABRG2	DB01189	Desflurane
GABRG3	DB01189	Desflurane
GABRP	DB01189	Desflurane
GABRQ	DB01189	Desflurane
SLC6A4	DB01191	Dexfenfluramine
HTR2C	DB01191	Dexfenfluramine
OPRD1	DB01192	Oxymorphone
OPRM1	DB01192	Oxymorphone
ADRB1	DB01193	Acebutolol
ADRB2	DB01193	Acebutolol
CA5A	DB01194	Brinzolamide
CA3	DB01194	Brinzolamide
CA4	DB01194	Brinzolamide
CA1	DB01194	Brinzolamide
CA2	DB01194	Brinzolamide
RYR2	DB01195	Flecainide
SCN4A	DB01195	Flecainide
SCN5A	DB01195	Flecainide
KCNH2	DB01195	Flecainide
MAP2	DB01196	Estramustine
MAP1A	DB01196	Estramustine
ESR2	DB01196	Estramustine
ESR1	DB01196	Estramustine
LTA4H	DB01197	Captopril
MMP2	DB01197	Captopril
BDKRB1	DB01197	Captopril
MMP9	DB01197	Captopril
ACE	DB01197	Captopril
TSPO	DB01198	Zopiclone
GABRA2	DB01198	Zopiclone
GABRA5	DB01198	Zopiclone
GABRA3	DB01198	Zopiclone
GABRA1	DB01198	Zopiclone
CHRNA2	DB01199	Tubocurarine
ACHE	DB01199	Tubocurarine
CHRNA7	DB01199	Tubocurarine
HTR3A	DB01199	Tubocurarine
DRD5	DB01200	Bromocriptine
ADRA2C	DB01200	Bromocriptine
DRD4	DB01200	Bromocriptine
HTR2B	DB01200	Bromocriptine
HTR7	DB01200	Bromocriptine
DRD3	DB01200	Bromocriptine
HTR1D	DB01200	Bromocriptine
DRD1	DB01200	Bromocriptine
ADRA2B	DB01200	Bromocriptine
HTR1B	DB01200	Bromocriptine
ADRA1D	DB01200	Bromocriptine
ADRA2A	DB01200	Bromocriptine
HTR1A	DB01200	Bromocriptine
ADRA1B	DB01200	Bromocriptine
HTR2C	DB01200	Bromocriptine
HTR2A	DB01200	Bromocriptine
DRD2	DB01200	Bromocriptine
ADRA1A	DB01200	Bromocriptine
SV2A	DB01202	Levetiracetam
CACNA1B	DB01202	Levetiracetam
ADRB1	DB01203	Nadolol
ADRB2	DB01203	Nadolol
TOP2A	DB01204	Mitoxantrone
GABRG2	DB01205	Flumazenil
GABRA5	DB01205	Flumazenil
GABRA1	DB01205	Flumazenil
GABRA2	DB01205	Flumazenil
GABRA3	DB01205	Flumazenil
GABRA4	DB01205	Flumazenil
GABRA6	DB01205	Flumazenil
GABRB1	DB01205	Flumazenil
GABRB2	DB01205	Flumazenil
GABRB3	DB01205	Flumazenil
GABRD	DB01205	Flumazenil
GABRE	DB01205	Flumazenil
GABRG1	DB01205	Flumazenil
GABRG3	DB01205	Flumazenil
GABRP	DB01205	Flumazenil
GABRQ	DB01205	Flumazenil
STMN4	DB01206	Lomustine
TBXA2R	DB01207	Ridogrel
TBXAS1	DB01207	Ridogrel
TOP2A	DB01208	Sparfloxacin
OPRK1	DB01209	Dezocine
OPRM1	DB01209	Dezocine
ADRB1	DB01210	Levobunolol
ADRB2	DB01210	Levobunolol
SLCO1B1	DB01211	Clarithromycin
SLCO1B3	DB01211	Clarithromycin
KCNH2	DB01211	Clarithromycin
SLC22A11	DB01212	Ceftriaxone
SLC22A6	DB01212	Ceftriaxone
SLC22A8	DB01212	Ceftriaxone
SLC15A1	DB01212	Ceftriaxone
CAT	DB01213	Fomepizole
ADH1A	DB01213	Fomepizole
ADH1B	DB01213	Fomepizole
ADH1C	DB01213	Fomepizole
ADRB1	DB01214	Metipranolol
ADRB2	DB01214	Metipranolol
GABRA1	DB01215	Estazolam
GABRA2	DB01215	Estazolam
GABRA3	DB01215	Estazolam
GABRA5	DB01215	Estazolam
GABRG1	DB01215	Estazolam
GABRG2	DB01215	Estazolam
GABRG3	DB01215	Estazolam
GABRA4	DB01215	Estazolam
GABRA6	DB01215	Estazolam
GABRB1	DB01215	Estazolam
GABRB2	DB01215	Estazolam
GABRB3	DB01215	Estazolam
GABRD	DB01215	Estazolam
GABRE	DB01215	Estazolam
GABRP	DB01215	Estazolam
GABRQ	DB01215	Estazolam
AKR1D1	DB01216	Finasteride
SRD5A1	DB01216	Finasteride
SRD5A2	DB01216	Finasteride
CYP19A1	DB01217	Anastrozole
KCNH2	DB01218	Halofantrine
RYR1	DB01219	Dantrolene
NR1I2	DB01220	Rifaximin
HTR2A	DB01221	Ketamine
HTR2B	DB01221	Ketamine
HTR2C	DB01221	Ketamine
HTR1A	DB01221	Ketamine
HTR1B	DB01221	Ketamine
HTR1D	DB01221	Ketamine
HTR1E	DB01221	Ketamine
HTR1F	DB01221	Ketamine
NOS1	DB01221	Ketamine
TACR1	DB01221	Ketamine
CHRNA7	DB01221	Ketamine
GRIN3A	DB01221	Ketamine
CHRM1	DB01221	Ketamine
CHRM2	DB01221	Ketamine
CHRM3	DB01221	Ketamine
CHRM4	DB01221	Ketamine
CHRM5	DB01221	Ketamine
BCHE	DB01221	Ketamine
HTR3A	DB01221	Ketamine
OPRD1	DB01221	Ketamine
OPRK1	DB01221	Ketamine
OPRM1	DB01221	Ketamine
SLC6A2	DB01221	Ketamine
DRD2	DB01221	Ketamine
ANXA1	DB01222	Budesonide
NR3C1	DB01222	Budesonide
ADORA3	DB01223	Aminophylline
PDE3A	DB01223	Aminophylline
HDAC2	DB01223	Aminophylline
ADORA1	DB01223	Aminophylline
HTR1E	DB01224	Quetiapine
HTR6	DB01224	Quetiapine
DRD5	DB01224	Quetiapine
ADRA1A	DB01224	Quetiapine
ADRA1B	DB01224	Quetiapine
ADRA1D	DB01224	Quetiapine
ADRA2C	DB01224	Quetiapine
DRD4	DB01224	Quetiapine
HTR7	DB01224	Quetiapine
HTR3A	DB01224	Quetiapine
CHRM5	DB01224	Quetiapine
DRD3	DB01224	Quetiapine
HTR1D	DB01224	Quetiapine
DRD1	DB01224	Quetiapine
ADRA2B	DB01224	Quetiapine
HTR1B	DB01224	Quetiapine
CHRM4	DB01224	Quetiapine
ADRA2A	DB01224	Quetiapine
HTR1A	DB01224	Quetiapine
HTR2C	DB01224	Quetiapine
CHRM3	DB01224	Quetiapine
HTR2A	DB01224	Quetiapine
CHRM2	DB01224	Quetiapine
DRD2	DB01224	Quetiapine
CHRM1	DB01224	Quetiapine
HRH1	DB01224	Quetiapine
SERPINC1	DB01225	Enoxaparin
F10	DB01225	Enoxaparin
F2	DB01225	Enoxaparin
CHRNA2	DB01226	Mivacurium
BCHE	DB01226	Mivacurium
CHRM3	DB01226	Mivacurium
CHRM2	DB01226	Mivacurium
CHRNB4	DB01227	Levacetylmethadol
CHRNA3	DB01227	Levacetylmethadol
OPRM1	DB01227	Levacetylmethadol
SCN5A	DB01228	Encainide
MAP4	DB01229	Paclitaxel
TUBB1	DB01229	Paclitaxel
BCL2	DB01229	Paclitaxel
MAP2	DB01229	Paclitaxel
MAPT	DB01229	Paclitaxel
NR1I2	DB01229	Paclitaxel
CHRM3	DB01231	Diphenidol
CHRM2	DB01231	Diphenidol
CHRM1	DB01231	Diphenidol
HTR4	DB01233	Metoclopramide
HTR3A	DB01233	Metoclopramide
DRD2	DB01233	Metoclopramide
CHRM1	DB01233	Metoclopramide
NR0B1	DB01234	Dexamethasone
NOS2	DB01234	Dexamethasone
ANXA1	DB01234	Dexamethasone
NR1I2	DB01234	Dexamethasone
NR3C1	DB01234	Dexamethasone
DRD5	DB01235	Levodopa
DRD4	DB01235	Levodopa
DRD3	DB01235	Levodopa
DRD1	DB01235	Levodopa
DRD2	DB01235	Levodopa
CCDC51	DB01236	Sevoflurane
ATP2C1	DB01236	Sevoflurane
MT-ND1	DB01236	Sevoflurane
GRIA1	DB01236	Sevoflurane
GLRA1	DB01236	Sevoflurane
GABRA1	DB01236	Sevoflurane
GABRA2	DB01236	Sevoflurane
GABRA3	DB01236	Sevoflurane
GABRA4	DB01236	Sevoflurane
GABRA5	DB01236	Sevoflurane
GABRA6	DB01236	Sevoflurane
GABRB1	DB01236	Sevoflurane
GABRB2	DB01236	Sevoflurane
GABRB3	DB01236	Sevoflurane
GABRD	DB01236	Sevoflurane
GABRE	DB01236	Sevoflurane
GABRG1	DB01236	Sevoflurane
GABRG2	DB01236	Sevoflurane
GABRG3	DB01236	Sevoflurane
GABRP	DB01236	Sevoflurane
GABRQ	DB01236	Sevoflurane
HRH1	DB01237	Bromodiphenhydramine
HRH3	DB01238	Aripiprazole
HTR5A	DB01238	Aripiprazole
GRIN1	DB01238	Aripiprazole
GRIN2A	DB01238	Aripiprazole
GRIN2B	DB01238	Aripiprazole
GRIN2C	DB01238	Aripiprazole
GRIN2D	DB01238	Aripiprazole
GRIN3A	DB01238	Aripiprazole
GRIN3B	DB01238	Aripiprazole
HRH4	DB01238	Aripiprazole
HTR1E	DB01238	Aripiprazole
HTR6	DB01238	Aripiprazole
DRD5	DB01238	Aripiprazole
HRH2	DB01238	Aripiprazole
ADRA2C	DB01238	Aripiprazole
HTR2B	DB01238	Aripiprazole
HTR7	DB01238	Aripiprazole
DRD4	DB01238	Aripiprazole
CHRM5	DB01238	Aripiprazole
HTR3A	DB01238	Aripiprazole
OPRD1	DB01238	Aripiprazole
HTR1D	DB01238	Aripiprazole
DRD3	DB01238	Aripiprazole
ADRA2B	DB01238	Aripiprazole
HTR1B	DB01238	Aripiprazole
DRD1	DB01238	Aripiprazole
OPRK1	DB01238	Aripiprazole
CHRM4	DB01238	Aripiprazole
SLC6A3	DB01238	Aripiprazole
OPRM1	DB01238	Aripiprazole
ADRB1	DB01238	Aripiprazole
ADRB2	DB01238	Aripiprazole
SLC6A4	DB01238	Aripiprazole
ADRA1B	DB01238	Aripiprazole
ADRA2A	DB01238	Aripiprazole
HTR1A	DB01238	Aripiprazole
HTR2C	DB01238	Aripiprazole
CHRM3	DB01238	Aripiprazole
HTR2A	DB01238	Aripiprazole
CHRM2	DB01238	Aripiprazole
ADRA1A	DB01238	Aripiprazole
DRD2	DB01238	Aripiprazole
CHRM1	DB01238	Aripiprazole
HRH1	DB01238	Aripiprazole
HTR1A	DB01239	Chlorprothixene
HTR1B	DB01239	Chlorprothixene
HTR1D	DB01239	Chlorprothixene
HTR1E	DB01239	Chlorprothixene
HTR1F	DB01239	Chlorprothixene
HTR2A	DB01239	Chlorprothixene
HTR2B	DB01239	Chlorprothixene
HTR2C	DB01239	Chlorprothixene
HTR3A	DB01239	Chlorprothixene
HTR3B	DB01239	Chlorprothixene
HTR3C	DB01239	Chlorprothixene
HTR3D	DB01239	Chlorprothixene
HTR3E	DB01239	Chlorprothixene
HTR4	DB01239	Chlorprothixene
HTR6	DB01239	Chlorprothixene
HTR7	DB01239	Chlorprothixene
CHRM5	DB01239	Chlorprothixene
DRD3	DB01239	Chlorprothixene
DRD1	DB01239	Chlorprothixene
CHRM4	DB01239	Chlorprothixene
CHRM3	DB01239	Chlorprothixene
CHRM2	DB01239	Chlorprothixene
DRD2	DB01239	Chlorprothixene
CHRM1	DB01239	Chlorprothixene
HRH1	DB01239	Chlorprothixene
PTGIS	DB01240	Epoprostenol
P2RY12	DB01240	Epoprostenol
PTGIR	DB01240	Epoprostenol
SLCO2B1	DB01241	Gemfibrozil
SLCO1B1	DB01241	Gemfibrozil
SLCO1B3	DB01241	Gemfibrozil
SLC22A8	DB01241	Gemfibrozil
PPARA	DB01241	Gemfibrozil
GSTP1	DB01242	Clomipramine
HTR2B	DB01242	Clomipramine
SLC6A4	DB01242	Clomipramine
SLC6A2	DB01242	Clomipramine
HTR2C	DB01242	Clomipramine
HTR2A	DB01242	Clomipramine
KCNQ1	DB01244	Bepridil
CACNA1A	DB01244	Bepridil
PDE1B	DB01244	Bepridil
PDE1A	DB01244	Bepridil
TNNC1	DB01244	Bepridil
CACNA2D2	DB01244	Bepridil
CACNA1H	DB01244	Bepridil
ATP1A1	DB01244	Bepridil
CALM1	DB01244	Bepridil
KCNH2	DB01244	Bepridil
CHRNB2	DB01245	Decamethonium
CHRNA2	DB01245	Decamethonium
ACHE	DB01245	Decamethonium
CHRNA4	DB01245	Decamethonium
HRH1	DB01246	Alimemazine
MAOA	DB01247	Isocarboxazid
MAOB	DB01247	Isocarboxazid
MAP4	DB01248	Docetaxel
TUBB1	DB01248	Docetaxel
BCL2	DB01248	Docetaxel
MAP2	DB01248	Docetaxel
MAPT	DB01248	Docetaxel
NR1I2	DB01248	Docetaxel
IFNG	DB01250	Olsalazine
TPMT	DB01250	Olsalazine
KCNJ8	DB01251	Gliquidone
ABCC8	DB01251	Gliquidone
ABCC8	DB01252	Mitiglinide
PPARG	DB01252	Mitiglinide
ADRA1A	DB01253	Ergometrine
SRC	DB01254	Dasatinib
FYN	DB01254	Dasatinib
YES1	DB01254	Dasatinib
EPHA2	DB01254	Dasatinib
LCK	DB01254	Dasatinib
STAT5B	DB01254	Dasatinib
MAPK14	DB01254	Dasatinib
BTK	DB01254	Dasatinib
CSK	DB01254	Dasatinib
EPHB4	DB01254	Dasatinib
HSPA8	DB01254	Dasatinib
LYN	DB01254	Dasatinib
FRK	DB01254	Dasatinib
FGR	DB01254	Dasatinib
EPHA5	DB01254	Dasatinib
ZAK	DB01254	Dasatinib
NR4A3	DB01254	Dasatinib
ABL2	DB01254	Dasatinib
BCR	DB01254	Dasatinib
ABL1	DB01254	Dasatinib
PPAT	DB01254	Dasatinib
KIT	DB01254	Dasatinib
PDGFRB	DB01254	Dasatinib
TAAR1	DB01255	Lisdexamfetamine
C5	DB01257	Eculizumab
ERBB2	DB01259	Lapatinib
EGFR	DB01259	Lapatinib
NR3C1	DB01260	Desonide
DPP4	DB01261	Sitagliptin
DNMT3B	DB01262	Decitabine
DNMT3A	DB01262	Decitabine
DNMT1	DB01262	Decitabine
ADRA2C	DB01267	Paliperidone
HTR7	DB01267	Paliperidone
DRD4	DB01267	Paliperidone
HTR1D	DB01267	Paliperidone
ADRA2B	DB01267	Paliperidone
DRD3	DB01267	Paliperidone
DRD1	DB01267	Paliperidone
ADRA1B	DB01267	Paliperidone
ADRA2A	DB01267	Paliperidone
HTR1A	DB01267	Paliperidone
HTR2C	DB01267	Paliperidone
HTR2A	DB01267	Paliperidone
ADRA1A	DB01267	Paliperidone
DRD2	DB01267	Paliperidone
HRH1	DB01267	Paliperidone
FLT4	DB01268	Sunitinib
FLT1	DB01268	Sunitinib
FLT3	DB01268	Sunitinib
KDR	DB01268	Sunitinib
CSF1R	DB01268	Sunitinib
PDGFRA	DB01268	Sunitinib
KIT	DB01268	Sunitinib
PDGFRB	DB01268	Sunitinib
EGFR	DB01269	Panitumumab
VEGFA	DB01270	Ranibizumab
PLIN3	DB01271	Idursulfase
M6PR	DB01272	Alglucosidase alfa
CHRNA6	DB01273	Varenicline
CHRNB2	DB01273	Varenicline
CHRNA3	DB01273	Varenicline
CHRNA7	DB01273	Varenicline
CHRNA4	DB01273	Varenicline
ADRB2	DB01274	Arformoterol
AOC3	DB01275	Hydralazine
HIF1A	DB01275	Hydralazine
P4HA1	DB01275	Hydralazine
GLP1R	DB01276	Exenatide
IGF2R	DB01277	Mecasermin
IGFBP3	DB01277	Mecasermin
INSR	DB01277	Mecasermin
IGF1R	DB01277	Mecasermin
RAMP1	DB01278	Pramlintide
RAMP2	DB01278	Pramlintide
RAMP3	DB01278	Pramlintide
CALCR	DB01278	Pramlintide
PLIN3	DB01279	Galsulfase
POLA1	DB01280	Nelarabine
CD80	DB01281	Abatacept
CD86	DB01281	Abatacept
OXTR	DB01282	Carbetocin
PTGS1	DB01283	Lumiracoxib
PTGS2	DB01283	Lumiracoxib
MC2R	DB01284	Tetracosactide
CRH	DB01285	Corticotropin
MC2R	DB01285	Corticotropin
ADRB3	DB01288	Fenoterol
ADRB1	DB01288	Fenoterol
ADRB2	DB01288	Fenoterol
KCNJ8	DB01289	Glisoxepide
ADRB1	DB01291	Pirbuterol
ADRB2	DB01291	Pirbuterol
ADRB1	DB01295	Bevantolol
ADRB2	DB01295	Bevantolol
ADRA1A	DB01295	Bevantolol
RELA	DB01296	Glucosamine
IFNG	DB01296	Glucosamine
ADRB1	DB01297	Practolol
PDE4A	DB01303	Oxtriphylline
PDE3A	DB01303	Oxtriphylline
ADORA2A	DB01303	Oxtriphylline
HDAC2	DB01303	Oxtriphylline
ADORA1	DB01303	Oxtriphylline
INSR	DB01306	Insulin aspart
IGF1R	DB01306	Insulin aspart
INSR	DB01307	Insulin detemir
IGF1R	DB01307	Insulin detemir
INSR	DB01309	Insulin glulisine
IGF1R	DB01309	Insulin glulisine
SCN5A	DB01320	Fosphenytoin
SLC12A3	DB01324	Polythiazide
SLC12A2	DB01325	Quinethazone
SLC12A3	DB01325	Quinethazone
SLC12A1	DB01325	Quinethazone
CA1	DB01325	Quinethazone
CA2	DB01325	Quinethazone
PON1	DB01327	Cefazolin
IL15	DB01327	Cefazolin
IL2	DB01327	Cefazolin
CHRNA2	DB01336	Metocurine
CHRM2	DB01336	Metocurine
CHRNA2	DB01337	Pancuronium
CHRM3	DB01337	Pancuronium
CHRM2	DB01337	Pancuronium
CHRNA2	DB01338	Pipecuronium
CHRM3	DB01338	Pipecuronium
CHRM2	DB01338	Pipecuronium
CHRNA2	DB01339	Vecuronium
ACE	DB01340	Cilazapril
GABRA1	DB01341	Dihydroquinidine barbiturate
AGTR1	DB01342	Forasartan
ATP1A1	DB01345	Potassium cation
KCNK1	DB01346	Quinidine barbiturate
GRIA2	DB01346	Quinidine barbiturate
GABRA2	DB01346	Quinidine barbiturate
SCN5A	DB01346	Quinidine barbiturate
GABRA1	DB01346	Quinidine barbiturate
AGTR1	DB01347	Saprisartan
ACE	DB01348	Spirapril
AGTR2	DB01349	Tasosartan
AGTR1	DB01349	Tasosartan
GABRA4	DB01351	Amobarbital
GABRA6	DB01351	Amobarbital
GRIK2	DB01351	Amobarbital
GRIA2	DB01351	Amobarbital
GABRA2	DB01351	Amobarbital
GABRA5	DB01351	Amobarbital
GABRA3	DB01351	Amobarbital
CHRNA7	DB01351	Amobarbital
CHRNA4	DB01351	Amobarbital
GABRA1	DB01351	Amobarbital
GABRA4	DB01352	Aprobarbital
GABRA6	DB01352	Aprobarbital
GRIK2	DB01352	Aprobarbital
GRIA2	DB01352	Aprobarbital
GABRA2	DB01352	Aprobarbital
GABRA5	DB01352	Aprobarbital
GABRA3	DB01352	Aprobarbital
CHRNA7	DB01352	Aprobarbital
CHRNA4	DB01352	Aprobarbital
GABRA1	DB01352	Aprobarbital
GABRA4	DB01353	Butobarbital
GABRA6	DB01353	Butobarbital
GRIK2	DB01353	Butobarbital
GRIA2	DB01353	Butobarbital
GABRA2	DB01353	Butobarbital
GABRA5	DB01353	Butobarbital
GABRA3	DB01353	Butobarbital
CHRNA7	DB01353	Butobarbital
CHRNA4	DB01353	Butobarbital
GABRA1	DB01353	Butobarbital
GABRA4	DB01354	Heptabarbital
GABRA6	DB01354	Heptabarbital
GRIK2	DB01354	Heptabarbital
GRIA2	DB01354	Heptabarbital
GABRA2	DB01354	Heptabarbital
GABRA5	DB01354	Heptabarbital
GABRA3	DB01354	Heptabarbital
CHRNA7	DB01354	Heptabarbital
CHRNA4	DB01354	Heptabarbital
GABRA1	DB01354	Heptabarbital
GABRA4	DB01355	Hexobarbital
GABRA6	DB01355	Hexobarbital
GRIK2	DB01355	Hexobarbital
GRIA2	DB01355	Hexobarbital
GABRA2	DB01355	Hexobarbital
GABRA5	DB01355	Hexobarbital
GABRA3	DB01355	Hexobarbital
CHRNA7	DB01355	Hexobarbital
CHRNA4	DB01355	Hexobarbital
GABRA1	DB01355	Hexobarbital
IMPA2	DB01356	Lithium cation
GSK3B	DB01356	Lithium cation
IMPA1	DB01356	Lithium cation
GRIA3	DB01356	Lithium cation
ESR1	DB01357	Mestranol
HTR1B	DB01359	Penbutolol
ADRB1	DB01359	Penbutolol
HTR1A	DB01359	Penbutolol
ADRB2	DB01359	Penbutolol
SLC18A1	DB01363	Ephedra sinica root
SLC18A2	DB01363	Ephedra sinica root
MAOA	DB01363	Ephedra sinica root
MAOB	DB01363	Ephedra sinica root
ADRB3	DB01363	Ephedra sinica root
ADRA2C	DB01363	Ephedra sinica root
ADRA2B	DB01363	Ephedra sinica root
SLC6A3	DB01363	Ephedra sinica root
SLC6A4	DB01363	Ephedra sinica root
SLC6A2	DB01363	Ephedra sinica root
ADRA2A	DB01363	Ephedra sinica root
ADRB1	DB01363	Ephedra sinica root
ADRB2	DB01363	Ephedra sinica root
SLC6A2	DB01364	Ephedrine
ADRB1	DB01364	Ephedrine
ADRB2	DB01364	Ephedrine
ADRA1A	DB01364	Ephedrine
ADRA1A	DB01365	Mephentermine
ADRA1B	DB01365	Mephentermine
ADRA1D	DB01365	Mephentermine
ADRA2A	DB01365	Mephentermine
ADRA2B	DB01365	Mephentermine
ADRA2C	DB01365	Mephentermine
ADRB1	DB01365	Mephentermine
ADRB2	DB01365	Mephentermine
ADRB3	DB01365	Mephentermine
ADRB2	DB01366	Procaterol
BCL2	DB01367	Rasagiline
MAOB	DB01367	Rasagiline
KLK1	DB01370	Aluminium
APP	DB01370	Aluminium
TF	DB01370	Aluminium
ATP1A1	DB01370	Aluminium
COMP	DB01373	Calcium
CAST	DB01373	Calcium
CP	DB01373	Calcium
ALPP	DB01373	Calcium
SPTBN1	DB01373	Calcium
PDCD6	DB01373	Calcium
MGP	DB01373	Calcium
PCDH19	DB01373	Calcium
S100A8	DB01373	Calcium
S100A9	DB01373	Calcium
BMP4	DB01373	Calcium
AOC1	DB01373	Calcium
S100B	DB01373	Calcium
TNNC2	DB01373	Calcium
S100A2	DB01373	Calcium
S100A13	DB01373	Calcium
ATP2C1	DB01373	Calcium
TNNC1	DB01373	Calcium
CACNA1C	DB01373	Calcium
CALM1	DB01373	Calcium
VDAC1	DB01375	Aluminium monostearate
VDAC2	DB01375	Aluminium monostearate
VDAC3	DB01375	Aluminium monostearate
TNNC1	DB01375	Aluminium monostearate
ATP1A1	DB01378	Magnesium cation
ANXA1	DB01380	Cortisone acetate
NR3C1	DB01380	Cortisone acetate
PLA2G2A	DB01381	Ginkgo biloba
GABRB2	DB01381	Ginkgo biloba
GABRG2	DB01381	Ginkgo biloba
NOS2	DB01381	Ginkgo biloba
MAOA	DB01381	Ginkgo biloba
GLRA1	DB01381	Ginkgo biloba
GABRA1	DB01381	Ginkgo biloba
SLC6A2	DB01381	Ginkgo biloba
KCNJ1	DB01382	Glymidine
ABCC8	DB01382	Glymidine
NR3C1	DB01384	Paramethasone
CACNB4	DB01388	Mibefradil
CACNB3	DB01388	Mibefradil
CACNA1F	DB01388	Mibefradil
CACNB1	DB01388	Mibefradil
CACNA1I	DB01388	Mibefradil
CACNA1G	DB01388	Mibefradil
CACNA1H	DB01388	Mibefradil
CACNB2	DB01388	Mibefradil
CACNA1S	DB01388	Mibefradil
CACNA1D	DB01388	Mibefradil
CACNA1C	DB01388	Mibefradil
KCNJ1	DB01392	Yohimbine
KCNJ10	DB01392	Yohimbine
KCNJ11	DB01392	Yohimbine
KCNJ12	DB01392	Yohimbine
KCNJ14	DB01392	Yohimbine
KCNJ15	DB01392	Yohimbine
KCNJ8	DB01392	Yohimbine
HTR2B	DB01392	Yohimbine
ADRA2C	DB01392	Yohimbine
HTR1D	DB01392	Yohimbine
DRD3	DB01392	Yohimbine
HTR1B	DB01392	Yohimbine
ADRA2B	DB01392	Yohimbine
ADRA2A	DB01392	Yohimbine
HTR1A	DB01392	Yohimbine
HTR2C	DB01392	Yohimbine
HTR2A	DB01392	Yohimbine
DRD2	DB01392	Yohimbine
RXRG	DB01393	Bezafibrate
PPARD	DB01393	Bezafibrate
RXRB	DB01393	Bezafibrate
RXRA	DB01393	Bezafibrate
PPARA	DB01393	Bezafibrate
PPARG	DB01393	Bezafibrate
NR1I2	DB01393	Bezafibrate
TUBB	DB01394	Colchicine
NR3C2	DB01395	Drospirenone
PGR	DB01395	Drospirenone
AR	DB01395	Drospirenone
NR3C1	DB01395	Drospirenone
ATP1A1	DB01396	Digitoxin
PTGS1	DB01397	Magnesium salicylate
PTGS2	DB01397	Magnesium salicylate
PTGS1	DB01399	Salsalate
PTGS2	DB01399	Salsalate
ACHE	DB01400	Neostigmine
PTGS1	DB01401	Choline magnesium trisalicylate
PTGS2	DB01401	Choline magnesium trisalicylate
DRD5	DB01403	Methotrimeprazine
ADRA2C	DB01403	Methotrimeprazine
DRD4	DB01403	Methotrimeprazine
CHRM5	DB01403	Methotrimeprazine
DRD3	DB01403	Methotrimeprazine
ADRA1D	DB01403	Methotrimeprazine
DRD1	DB01403	Methotrimeprazine
ADRA2B	DB01403	Methotrimeprazine
CHRM4	DB01403	Methotrimeprazine
ADRA1B	DB01403	Methotrimeprazine
ADRA2A	DB01403	Methotrimeprazine
HTR2C	DB01403	Methotrimeprazine
CHRM3	DB01403	Methotrimeprazine
HTR2A	DB01403	Methotrimeprazine
CHRM2	DB01403	Methotrimeprazine
ADRA1A	DB01403	Methotrimeprazine
DRD2	DB01403	Methotrimeprazine
CHRM1	DB01403	Methotrimeprazine
HRH1	DB01403	Methotrimeprazine
IL6	DB01404	Ginseng
AHR	DB01404	Ginseng
PTGS2	DB01404	Ginseng
CCL2	DB01406	Danazol
GNRHR2	DB01406	Danazol
GNRHR	DB01406	Danazol
PGR	DB01406	Danazol
AR	DB01406	Danazol
ESR1	DB01406	Danazol
NGF	DB01407	Clenbuterol
TNF	DB01407	Clenbuterol
ADRB3	DB01407	Clenbuterol
ADRB1	DB01407	Clenbuterol
ADRB2	DB01407	Clenbuterol
ADRB2	DB01408	Bambuterol
CHRM5	DB01409	Tiotropium
CHRM4	DB01409	Tiotropium
CHRM3	DB01409	Tiotropium
CHRM2	DB01409	Tiotropium
CHRM1	DB01409	Tiotropium
NR3C1	DB01410	Ciclesonide
RNASE3	DB01411	Pranlukast
MUC2	DB01411	Pranlukast
IL5	DB01411	Pranlukast
